profile	umap1	umap2	is_control	is_highlight
control	8.698752	15.7122198	True	False
NAF1	5.3361745	13.257585	False	False
BUB1	8.723466	15.541945	False	False
UBL5	2.8061297	13.373832	False	False
C9orf16	5.1086035	12.998931	False	False
TIMM9	10.195968	15.250091	False	False
SMG5	9.948041	16.440159	False	False
ZNF687	5.9508224	14.521029	False	False
MED9	5.7570577	7.9130507	False	False
RPL3	7.232592	16.241528	False	False
PSTK	7.1167912	16.2415	False	False
RNF8	10.557234	15.872929	False	False
MED1	5.7292247	7.987178	False	False
HNRNPH1	5.7545295	11.81441	False	False
RPL10A	-1.2193158	14.15727	False	False
SLC35B1	5.2294807	14.234117	False	False
LIN54	8.183279	16.071377	False	False
EIF1AX	0.70023876	14.125294	False	False
OR7A17	7.2265368	15.752353	False	False
NUP98	4.7582345	11.851826	False	False
OIP5	9.949805	14.236412	False	False
ANAPC15	7.614515	15.386122	False	False
RRM2	10.623071	14.318921	False	False
N6AMT1	3.1632283	13.128643	False	False
RPS20	1.4673033	7.2238507	False	False
WTAP	5.423319	14.535095	False	False
RIOK2	2.8435473	7.3426385	False	False
CIAO1	6.593427	14.115104	False	False
POP7	5.5826187	11.974095	False	False
EIF3E	8.418674	11.942189	False	False
MRPS14	1.1648723	11.80114	False	False
MYO1H	7.8247676	15.21381	False	False
MRPL2	11.902829	11.428379	False	False
MED10	5.470676	8.799415	False	False
TRA2B	1.8665253	12.571805	False	False
PSMC4	3.77815	10.337049	False	False
NAA38	2.641656	13.483992	False	False
LENG8	7.6116443	16.494003	False	False
CDAN1	4.8408065	13.167661	False	False
KLC2	7.0163894	15.525982	False	False
CHORDC1	4.069639	14.224998	False	False
PPP4C	10.420023	14.439903	False	False
RAB18	4.37045	13.986177	False	False
TUBGCP2	12.531966	14.067717	False	False
EIF3M	8.535712	11.722783	False	False
CADM4	6.094872	15.080615	False	False
RPL5	-0.77110785	14.270626	False	False
TICRR	13.209835	13.232871	False	False
RPL13	-1.1895263	14.216929	False	False
KIF11	9.624227	15.289014	False	False
ASF1B	8.353133	16.018356	False	False
CNOT3	10.499103	14.165965	False	False
WDR36	2.9822743	7.4193854	False	False
RPL31	-1.666486	13.943132	False	False
SNAPC3	5.610295	13.969647	False	False
MED12	5.766571	7.911475	False	False
