cell_line	truth_metric	depmap_endpoint	n_replicates	spearman_aligned_mean	spearman_aligned_std	spearman_aligned_q025	spearman_aligned_q50	spearman_aligned_q975	configured_replicates	completed_replicates	formal_interval_citable	sensitivity_claim_status
HCC38	real_shift_L2	depmap_gene_dependency	24	0.7005483124741358	0.0091288888366291	0.6832947879470607	0.7011650432232396	0.7139834063866429	24	24	True	formal_interval_citable
HCC38	real_shift_mean_abs	depmap_gene_dependency	24	0.7252922246774353	0.0103386088233394	0.7057890783788247	0.7253620887076071	0.7410713772574343	24	24	True	formal_interval_citable
HCC38	real_shift_top20_mean	depmap_gene_dependency	24	0.6322020181300987	0.0130082787755869	0.6085051027375825	0.6361770405364315	0.650831141320214	24	24	True	formal_interval_citable
HCC38	real_shift_top50_mean	depmap_gene_dependency	24	0.6287256803529241	0.0139583538298956	0.6048090546310396	0.6319273802183885	0.6515278543383421	24	24	True	formal_interval_citable
HCC38	real_shift_top100_mean	depmap_gene_dependency	24	0.6326404751470397	0.0153355886331227	0.6017706920499082	0.6354832184436898	0.6572099681853583	24	24	True	formal_interval_citable
HCC38	real_Edistance	depmap_gene_dependency	24	0.6182942579169114	0.0139791658509047	0.5886184270043728	0.6172414792553554	0.6364863695527788	24	24	True	formal_interval_citable
HCC38	real_DEG_burden	depmap_gene_dependency	24	0.5705137233301059	0.0470799690662171	0.4947132622736594	0.5672931922896918	0.6692809300568351	24	24	True	formal_interval_citable
HCC1143	real_shift_L2	depmap_gene_dependency	24	0.7608334970956124	0.0085423626156912	0.7458779253047323	0.7617406220181897	0.774415034776833	24	24	True	formal_interval_citable
HCC1143	real_shift_mean_abs	depmap_gene_dependency	24	0.7794080675177621	0.0071227622505961	0.7651487876250599	0.7786525071084335	0.7931579096733963	24	24	True	formal_interval_citable
HCC1143	real_shift_top20_mean	depmap_gene_dependency	24	0.7061956211479586	0.0137276544205293	0.6811119204210111	0.7098376937797528	0.7268228727540152	24	24	True	formal_interval_citable
HCC1143	real_shift_top50_mean	depmap_gene_dependency	24	0.7157215639134771	0.011469569587377	0.6968022407776097	0.7139095762252368	0.7366605407423048	24	24	True	formal_interval_citable
HCC1143	real_shift_top100_mean	depmap_gene_dependency	24	0.7264962172956109	0.0108710649703058	0.7058879678076333	0.7270481835826654	0.7407948587186196	24	24	True	formal_interval_citable
HCC1143	real_Edistance	depmap_gene_dependency	24	0.7342848235510563	0.0178093254541048	0.695461234158897	0.736847847334797	0.7565734031948704	24	24	True	formal_interval_citable
HCC1143	real_DEG_burden	depmap_gene_dependency	24	0.7051065293757022	0.0210456432326704	0.6653687907228616	0.7044130835465408	0.7421523073685213	24	24	True	formal_interval_citable
