cell_line	depmap_model_id	target_gene	n_cells_target	n_cells_control	n_sgrnas_observed	truth_source_cell_count	gene_universe_size	source_kind	dataset_role	control_target_prefix	single_perturbation_filter_status	single_perturbation_evidence_source	real_shift_L2	real_shift_mean_abs	real_shift_top20_mean	real_shift_top50_mean	real_shift_top100_mean	real_shift_top50_concentration	real_Edistance	real_DEG_burden	depmap_gene_effect	depmap_gene_dependency	depmap_effect_found	depmap_dependency_found	depmap_join_status	quadrant	shift_quantile	depmap_quantile	bridge_truth_metric	bridge_depmap_endpoint	bridge_n_targets	bridge_spearman_rho_aligned	bridge_ci_lo_fisher95	bridge_ci_hi_fisher95	bridge_ci_method	bridge_empirical_p_two_sided_shuffle	bridge_perm_iterations	bridge_perm_seed	bridge_null_type	record_type
K562_essential_day7	ACH-000551	AAAS	212.0	10691.0	1.0	310385.0	8563.0	h5ad_obs	supplementary	ctrl	verified_via_num_features_eq_1	num_features	2.2845046274351173	0.0188181311476713	0.1044162967157104	0.0914394440754484	0.0833009529486069	0.0283727313834087	0.0619158336178085	0.0	-0.1428666889740776	0.0728277707907095	1.0	1.0	both	Q4_low_info	0.039319872476089264	0.0563230605738576												joint_grid_target
K562_essential_day7	ACH-000551	AAMP	99.0	10691.0	1.0	310385.0	8563.0	h5ad_obs	supplementary	ctrl	verified_via_num_features_eq_1	num_features	4.641214122223659	0.0355997462996858	0.2859470318593785	0.2391352923281678	0.206136186798928	0.0392230022354545	1.0653404011252547	18.0	-0.4179579143996411	0.3869225947450684	1.0	1.0	both	middle	0.5626992561105207	0.19819341126461212												joint_grid_target
K562_essential_day7	ACH-000551	AARS2	181.0	10691.0	1.0	310385.0	8563.0	h5ad_obs	supplementary	ctrl	verified_via_num_features_eq_1	num_features	2.6437656343556264	0.0213194620336328	0.1437416431760218	0.1190766070797491	0.1040963609619068	0.0326132643105354	0.1468144086578817	0.0	-1.1426911042074577	0.9728191479871524	1.0	1.0	both	middle	0.10361317747077577	0.6509032943676939												joint_grid_target
K562_essential_day7	ACH-000551	AASDHPPT	49.0	10691.0	1.0	310385.0	8563.0	h5ad_obs	supplementary	ctrl	verified_via_num_features_eq_1	num_features	4.545699356316503	0.0371853029833754	0.2380938015731735	0.1951607468970828	0.17061156560123	0.0306453938632879	0.2547375987806806	3.0	-0.1492539348523318	0.0764874542634314	1.0	1.0	both	middle	0.5982996811902231	0.05844845908607864												joint_grid_target
K562_essential_day7	ACH-000551	AATF	298.0	10691.0	1.0	310385.0	8563.0	h5ad_obs	supplementary	ctrl	verified_via_num_features_eq_1	num_features	6.289347498051812	0.0451498241723166	0.4350247736782501	0.368328367223886	0.3157131207076118	0.0476346704247478	2.838993663553449	84.0	-0.675353669691895	0.7870986544118178	1.0	1.0	both	middle	0.7497343251859724	0.38150903294367694												joint_grid_target
K562_essential_day7	ACH-000551	ABCB10	51.0	10691.0	1.0	310385.0	8563.0	h5ad_obs	supplementary	ctrl	verified_via_num_features_eq_1	num_features	5.6942357270660064	0.0434876292049681	0.3925200108526896	0.2997739821309559	0.2505231971769154	0.0402505913484606	1.0138254227563903	28.0	0.2410819482820091	0.0027785972487876	1.0	1.0	both	middle	0.7167906482465463	0.001594048884165781												joint_grid_target
K562_essential_day7	ACH-000551	ABCB7	199.0	10691.0	1.0	310385.0	8563.0	h5ad_obs	supplementary	ctrl	verified_via_num_features_eq_1	num_features	3.131896071527785	0.0238384980491964	0.2157583635515824	0.1739736141070213	0.1462851437139336	0.0426136325552522	0.3658701461012228	3.0	-1.0788304414312984	0.9640166763808132	1.0	1.0	both	middle	0.19075451647183847	0.6200850159404888												joint_grid_target
K562_essential_day7	ACH-000551	ABCE1	249.0	10691.0	1.0	310385.0	8563.0	h5ad_obs	supplementary	ctrl	verified_via_num_features_eq_1	num_features	7.040232182633785	0.0492673571811268	0.5303847681668106	0.4260323011006408	0.3574471391475893	0.0504925520555527	2.631243154724732	113.0	-2.0349161874344097	0.999995451750728	1.0	1.0	both	Q1_anchor	0.8087141339001063	0.9091392136025505												joint_grid_target
K562_essential_day7	ACH-000551	ABCF1	329.0	10691.0	1.0	310385.0	8563.0	h5ad_obs	supplementary	ctrl	verified_via_num_features_eq_1	num_features	2.7988481285924784	0.0209711753491647	0.1906572920245923	0.1567219188867838	0.1334912172120242	0.0436366125155936	0.3765070913419137	2.0	-1.0699312295530827	0.9626641092360269	1.0	1.0	both	middle	0.09192348565356004	0.6168969181721573												joint_grid_target
K562_essential_day7	ACH-000551	ABCG1	144.0	10691.0	1.0	310385.0	8563.0	h5ad_obs	supplementary	ctrl	verified_via_num_features_eq_1	num_features	3.1182756601004447	0.0250475603129295	0.1744705884651599	0.1412169146487994	0.1223153825401784	0.0329204185310703	0.1936551748809218	1.0	0.2165248193218489	0.0034408658118736	1.0	1.0	both	Q4_low_info	0.23910733262486716	0.002656748140276302												joint_grid_target
K562_essential_day7	ACH-000551	ABHD11	49.0	10691.0	1.0	310385.0	8563.0	h5ad_obs	supplementary	ctrl	verified_via_num_features_eq_1	num_features	4.755414607347445	0.0392299798241804	0.2353257510170917	0.1968965420560216	0.1739400972152002	0.0293065074027229	0.2270675998062472	4.0	-0.5350822553059569	0.5889416753850295	1.0	1.0	both	middle	0.6354941551540914	0.28533475026567484												joint_grid_target
K562_essential_day7	ACH-000551	ABHD17A	95.0	10691.0	1.0	310385.0	8563.0	h5ad_obs	supplementary	ctrl	verified_via_num_features_eq_1	num_features	3.3698117741011075	0.0275306837588398	0.1589836279626673	0.1361159175191583	0.12175747080683	0.0288692816484167	0.1633483865611236	1.0	-0.3657564721188157	0.3030564899445587	1.0	1.0	both	middle	0.32784272051009566	0.1663124335812965												joint_grid_target
K562_essential_day7	ACH-000551	ABT1	107.0	10691.0	1.0	310385.0	8563.0	h5ad_obs	supplementary	ctrl	verified_via_num_features_eq_1	num_features	4.917490809645618	0.0368140643099399	0.3482804118874515	0.2805004338621966	0.2361612114078939	0.0444901460064694	1.177159575314521	26.0	-0.5139178013730151	0.5529593672433197	1.0	1.0	both	middle	0.59192348565356	0.26567481402763016												joint_grid_target
K562_essential_day7	ACH-000551	ACD	77.0	10691.0	1.0	310385.0	8563.0	h5ad_obs	supplementary	ctrl	verified_via_num_features_eq_1	num_features	3.622167375424282	0.0298204545609862	0.166255380421922	0.1446924432743945	0.1310979523555597	0.0283318968052638	0.1664555923000872	1.0	-0.3464950102421709	0.2744812688245184	1.0	1.0	both	middle	0.3995749202975558	0.15621679064824653												joint_grid_target
K562_essential_day7	ACH-000551	ACIN1	191.0	10691.0	1.0	310385.0	8563.0	h5ad_obs	supplementary	ctrl	verified_via_num_features_eq_1	num_features	2.447750171753308	0.0197923412520315	0.1291211685539363	0.1097556562059435	0.0954337934431223	0.0323797730664353	0.0932892979818706	0.0	-0.932901529571468	0.93564352088327	1.0	1.0	both	middle	0.06110520722635494	0.5313496280552603												joint_grid_target
K562_essential_day7	ACH-000551	ACOT12	180.0	10691.0	1.0	310385.0	8563.0	h5ad_obs	supplementary	ctrl	verified_via_num_features_eq_1	num_features	2.586829973549733	0.020975205616531	0.1377891202029041	0.1129059467740841	0.0988110577970415	0.0314307432037247	0.1417860032071924	1.0	-0.1393882717344906	0.070911645651601	1.0	1.0	both	Q4_low_info	0.0924548352816153	0.05526036131774708												joint_grid_target
K562_essential_day7	ACH-000551	ACTB	168.0	10691.0	1.0	310385.0	8563.0	h5ad_obs	supplementary	ctrl	verified_via_num_features_eq_1	num_features	3.5491622311984563	0.0242510299250438	0.3830031323216207	0.2512509453505593	0.1824323461954186	0.0604952919936573	0.2838704968066512	14.0	-0.3753884308382251	0.3178726180696602	1.0	1.0	both	Q4_low_info	0.20935175345377258	0.1716259298618491												joint_grid_target
K562_essential_day7	ACH-000551	ACTL6A	55.0	10691.0	1.0	310385.0	8563.0	h5ad_obs	supplementary	ctrl	verified_via_num_features_eq_1	num_features	7.932885769949203	0.057537570237245	0.5929785999840228	0.4621283723146637	0.3897578879782124	0.0468980920861297	1.1288735738319495	154.0	-1.318707437487129	0.987065050169683	1.0	1.0	both	middle	0.8947927736450585	0.7290116896918172												joint_grid_target
K562_essential_day7	ACH-000551	ACTR10	116.0	10691.0	1.0	310385.0	8563.0	h5ad_obs	supplementary	ctrl	verified_via_num_features_eq_1	num_features	3.492388312087382	0.0276638081308772	0.2120292030792791	0.170895027543568	0.1471621528644078	0.0360712774503069	0.3674659092234602	4.0	-0.927652954371358	0.9342582521539302	1.0	1.0	both	middle	0.33475026567481403	0.5281615302869288												joint_grid_target
K562_essential_day7	ACH-000551	ACTR1A	143.0	10691.0	1.0	310385.0	8563.0	h5ad_obs	supplementary	ctrl	verified_via_num_features_eq_1	num_features	2.686183395229212	0.0222746499271169	0.1145112894913669	0.103309826490382	0.0945447189054624	0.0270816303034275	0.0782139359911635	0.0	-0.664554535750982	0.7751256352041794	1.0	1.0	both	middle	0.140807651434644	0.3740701381509033												joint_grid_target
K562_essential_day7	ACH-000551	ACTR1B	206.0	10691.0	1.0	310385.0	8563.0	h5ad_obs	supplementary	ctrl	verified_via_num_features_eq_1	num_features	2.2959658422162192	0.018757352332876	0.1196725569906494	0.0978734016465004	0.0849897581585052	0.0304675271560306	0.0593849466355429	1.0	-0.3140122245850869	0.229765584435569	1.0	1.0	both	Q4_low_info	0.03772582359192349	0.14240170031880978												joint_grid_target
K562_essential_day7	ACH-000551	ACTR2	236.0	10691.0	1.0	310385.0	8563.0	h5ad_obs	supplementary	ctrl	verified_via_num_features_eq_1	num_features	2.4167742629800726	0.0181460759248337	0.1669635341121575	0.11660660344779	0.0949422346647196	0.0375218706457992	0.1004028964994923	2.0	-1.0240959290305307	0.9550959701350764	1.0	1.0	both	middle	0.028692879914984058	0.5908607863974495												joint_grid_target
K562_essential_day7	ACH-000551	ACTR3	118.0	10691.0	1.0	310385.0	8563.0	h5ad_obs	supplementary	ctrl	verified_via_num_features_eq_1	num_features	3.153555487115365	0.0254673839671229	0.1626495050338481	0.1329487760238379	0.1158601730314836	0.0304820427334102	0.1095616445087284	1.0	-0.3105403494584876	0.2252419196425454	1.0	1.0	both	middle	0.2534537725823592	0.13974495217853347												joint_grid_target
K562_essential_day7	ACH-000551	ACTR6	108.0	10691.0	1.0	310385.0	8563.0	h5ad_obs	supplementary	ctrl	verified_via_num_features_eq_1	num_features	4.584023704581179	0.0362538109443825	0.2435988023826501	0.2157481705251926	0.1912135310282993	0.0347486163666614	0.3565584518968219	7.0	-0.4087332123465966	0.3715251474486026	1.0	1.0	both	middle	0.5797024442082891	0.19128586609989373												joint_grid_target
K562_essential_day7	ACH-000551	ACTR8	252.0	10691.0	1.0	310385.0	8563.0	h5ad_obs	supplementary	ctrl	verified_via_num_features_eq_1	num_features	4.540418727125064	0.0319497128688651	0.355298549620526	0.2807867147453413	0.233046349419901	0.0513161016045361	0.5397143834205771	27.0	-0.8484159337163043	0.9081986806015684	1.0	1.0	both	middle	0.46439957492029754	0.48405951115834217												joint_grid_target
K562_essential_day7	ACH-000551	ADAT2	85.0	10691.0	1.0	310385.0	8563.0	h5ad_obs	supplementary	ctrl	verified_via_num_features_eq_1	num_features	3.544882592608463	0.0293941171644626	0.1539144150554256	0.1369675904490657	0.1244735515714038	0.0272083029785508	0.158508083275457	0.0	-0.0781936398150496	0.0434372327319659	1.0	1.0	both	middle	0.39107332624867164	0.03772582359192349												joint_grid_target
K562_essential_day7	ACH-000551	ADAT3	125.0	10691.0	1.0	310385.0	8563.0	h5ad_obs	supplementary	ctrl	verified_via_num_features_eq_1	num_features	3.5842711463185046	0.0279322257582162	0.2235209563578372	0.1770338839470301	0.1495276821059759	0.0370079402507517	0.3769046321207945	3.0	-0.3737292032066097	0.3152843912288637	1.0	1.0	both	middle	0.34484590860786396	0.17056323060573858												joint_grid_target
K562_essential_day7	ACH-000551	ADRM1	105.0	10691.0	1.0	310385.0	8563.0	h5ad_obs	supplementary	ctrl	verified_via_num_features_eq_1	num_features	3.277515464665292	0.0264673535453528	0.1730346139860603	0.142928283443972	0.1249056130790852	0.0315320146442433	0.1024460440408496	1.0	-0.1669207141890697	0.0873759716190889	1.0	1.0	both	middle	0.28905419766206164	0.06535600425079703												joint_grid_target
K562_essential_day7	ACH-000551	ADSL	133.0	10691.0	1.0	310385.0	8563.0	h5ad_obs	supplementary	ctrl	verified_via_num_features_eq_1	num_features	3.197504958927072	0.0255296319219157	0.1899884088579206	0.1491754032860878	0.1267870391108294	0.0341190340741335	0.1982654846543035	1.0	-1.657838645651981	0.9965181757880386	1.0	1.0	both	middle	0.255047821466525	0.834750265674814												joint_grid_target
K562_essential_day7	ACH-000551	AHCTF1	290.0	10691.0	1.0	310385.0	8563.0	h5ad_obs	supplementary	ctrl	verified_via_num_features_eq_1	num_features	2.449065053864037	0.0188905149291295	0.1728973905311492	0.1262877632490729	0.1033382467071962	0.0390356607741935	0.1426515294892834	2.0	-0.8219775458282654	0.8966390272125959	1.0	1.0	both	middle	0.04091392136025505	0.46599362380446335												joint_grid_target
K562_essential_day7	ACH-000551	AHCY	147.0	10691.0	1.0	310385.0	8563.0	h5ad_obs	supplementary	ctrl	verified_via_num_features_eq_1	num_features	3.7061199760443135	0.0284556379761407	0.2435368744750654	0.1885437941973056	0.1590812031350704	0.0386890419779028	0.2652788845684508	7.0	-1.2859586470312088	0.9856882225325264	1.0	1.0	both	middle	0.36397449521785336	0.7146652497343252												joint_grid_target
K562_essential_day7	ACH-000551	AIFM1	50.0	10691.0	1.0	310385.0	8563.0	h5ad_obs	supplementary	ctrl	verified_via_num_features_eq_1	num_features	4.493563242002355	0.0367901024305852	0.2181632369411072	0.1839863563536364	0.1642935179869243	0.0292010644005245	0.288089621037507	4.0	0.0299400142419671	0.0171839040296953	1.0	1.0	both	middle	0.5908607863974495	0.012221041445270989												joint_grid_target
K562_essential_day7	ACH-000551	AKIRIN2	169.0	10691.0	1.0	310385.0	8563.0	h5ad_obs	supplementary	ctrl	verified_via_num_features_eq_1	num_features	3.533623350636377	0.0269696419740336	0.2438821402776087	0.1855802925840027	0.1533298274632902	0.0401791490135207	0.3258224454049419	6.0	-0.4804899211790195	0.4948737928144421	1.0	1.0	both	middle	0.30765143464399575	0.23645058448459086												joint_grid_target
K562_essential_day7	ACH-000551	ALDOA	78.0	10691.0	1.0	310385.0	8563.0	h5ad_obs	supplementary	ctrl	verified_via_num_features_eq_1	num_features	7.616218348266302	0.0557848366534843	0.4658027904480948	0.3898515711913689	0.343100859368773	0.0408062967447236	3.163007527935376	146.0	-0.9517176706175704	0.9403122830718808	1.0	1.0	both	middle	0.8788522848034006	0.5462274176408076												joint_grid_target
K562_essential_day7	ACH-000551	ALG1	69.0	10691.0	1.0	310385.0	8563.0	h5ad_obs	supplementary	ctrl	verified_via_num_features_eq_1	num_features	3.811901338934312	0.031571229043547	0.1665901756996063	0.1498830849739187	0.1362872225627283	0.0277207639510072	0.1801473719710511	0.0	-0.5435174592037577	0.6030173966293053	1.0	1.0	both	middle	0.4537725823591923	0.2917109458023379												joint_grid_target
K562_essential_day7	ACH-000551	ALG11	97.0	10691.0	1.0	310385.0	8563.0	h5ad_obs	supplementary	ctrl	verified_via_num_features_eq_1	num_features	3.317277198137736	0.0272556991902189	0.161059180919355	0.1369527343551284	0.123047202850353	0.0293398196894044	0.1574660823805729	0.0	-1.254998830974289	0.9838629332382398	1.0	1.0	both	middle	0.3177470775770457	0.7029755579171094												joint_grid_target
K562_essential_day7	ACH-000551	ALG13	170.0	10691.0	1.0	310385.0	8563.0	h5ad_obs	supplementary	ctrl	verified_via_num_features_eq_1	num_features	3.221198281777503	0.024808205064186	0.2290420839918903	0.1776584077540925	0.1475637564465697	0.0418152293022355	0.1821347045882788	4.0	-0.5926279217257419	0.6804771840233945	1.0	1.0	both	middle	0.22582359192348567	0.3241232731137088												joint_grid_target
K562_essential_day7	ACH-000551	ALG14	183.0	10691.0	1.0	310385.0	8563.0	h5ad_obs	supplementary	ctrl	verified_via_num_features_eq_1	num_features	2.4067992058262204	0.0193669516676142	0.1392675327289156	0.1117446947931299	0.0955875619642402	0.0336906744572414	0.0760503294398606	2.0	-0.5561422556327947	0.6236940986961947	1.0	1.0	both	middle	0.048352816153028694	0.3007438894792774												joint_grid_target
