target_gene	shift_quantile_mean	depmap_quantile_mean	q1_anchor_count	min_shift_quantile_mean	min_depmap_quantile_mean	max_shift_quantile_mean	max_depmap_quantile_mean	final_wording_tier	covariate_cleanliness	panel	cell_line	shift_quantile	depmap_quantile	is_q1_anchor	joint_quantile_mean	n_cutoff_pairs	n_shared_anchor_calls	shared_anchor_stability_fraction	stability_call	is_stable	stability_min_fraction	stability_max_fraction	shift_value_mean	depmap_strength_mean	strat_column	n_target_cells	n_control_cells	total_variation_distance	n_strata	structural_stability	recommended_writeup
PRPF6	0.9895833333333331	0.9524601063829788	2.0	0.9895833333333331	0.9524601063829788	0.9895833333333331	0.9524601063829788	supporting_only	supporting_but_covariate_exposed	a																					
PMF1	0.9153368794326242	0.9162234042553192	2.0	0.9153368794326242	0.9162234042553192	0.9153368794326242	0.9162234042553192	supporting_only	supporting_but_covariate_exposed	a																					
ZNF131	0.905363475177305	0.8526152482269503	2.0	0.905363475177305	0.8526152482269503	0.905363475177305	0.8526152482269503	supporting_only	supporting_but_covariate_exposed	a																					
RUVBL2	0.8623670212765957	0.9418218085106382	2.0	0.8623670212765957	0.9418218085106382	0.8623670212765957	0.9418218085106382	supporting_but_sensitive		a																					
ZBTB17	0.8413120567375887	0.799645390070922	2.0	0.8413120567375887	0.799645390070922	0.8413120567375887	0.799645390070922	supporting_but_sensitive		a																					
RPS3	0.8322251773049645	0.97905585106383	2.0	0.8322251773049645	0.97905585106383	0.8322251773049645	0.97905585106383	supporting_but_sensitive		a																					
PFDN5	0.8315602836879432	0.8840868794326242	2.0	0.8315602836879432	0.8840868794326242	0.8315602836879432	0.8840868794326242	primary_but_qualified	retain_with_caution	a																					
PFDN5										b	HCC1143	0.8333333333333334	0.8958333333333334	True	0.8645833333333334																
PMF1										b	HCC1143	0.9583333333333334	0.875	True	0.9166666666666667																
PRPF6										b	HCC1143	0.9791666666666666	0.96875	True	0.9739583333333333																
ZNF131										b	HCC1143	0.8958333333333334	0.8541666666666666	True	0.875																
PFDN5										b	HCC38	0.8297872340425532	0.8723404255319149	True	0.851063829787234																
PMF1										b	HCC38	0.8723404255319149	0.9574468085106383	True	0.9148936170212767																
PRPF6										b	HCC38	1.0	0.9361702127659576	True	0.9680851063829787																
ZNF131										b	HCC38	0.9148936170212766	0.851063829787234	True	0.8829787234042553																
RPS3				0.8322251773049645	0.97905585106383	0.8322251773049645	0.97905585106383	supporting_but_sensitive		c						3.0	2.0	0.6666666666666666	cutoff_sensitive_shared_anchor	False	0.67	1.0									
RUVBL2				0.8623670212765957	0.9418218085106382	0.8623670212765957	0.9418218085106382	supporting_but_sensitive		c						3.0	2.0	0.6666666666666666	cutoff_sensitive_shared_anchor	False	0.67	1.0									
ZBTB17				0.8413120567375887	0.799645390070922	0.8413120567375887	0.799645390070922	supporting_but_sensitive		c						3.0	2.0	0.6666666666666666	cutoff_sensitive_shared_anchor	False	0.67	1.0									
ENY2				0.9055851063829788	0.7586436170212766	0.9055851063829788	0.7586436170212766	supporting_but_sensitive		c						3.0	1.0	0.3333333333333333	cutoff_sensitive_shared_anchor	False	0.33	0.67									
NPM1				0.8435283687943262	0.8113918439716312	0.8435283687943262	0.8113918439716312	supporting_but_sensitive		c						3.0	1.0	0.3333333333333333	cutoff_sensitive_shared_anchor	False	0.33	0.67									
PFDN5				0.8315602836879432	0.8840868794326242	0.8315602836879432	0.8840868794326242	primary_but_qualified	retain_with_caution	c						3.0	3.0	1.0	stable_shared_anchor	True	0.67	1.0									
PMF1				0.9153368794326242	0.9162234042553192	0.9153368794326242	0.9162234042553192	supporting_only	supporting_but_covariate_exposed	c						3.0	3.0	1.0	stable_shared_anchor	True	0.67	1.0									
PRPF6				0.9895833333333331	0.9524601063829788	0.9895833333333331	0.9524601063829788	supporting_only	supporting_but_covariate_exposed	c						3.0	3.0	1.0	stable_shared_anchor	True	0.67	1.0									
ZNF131				0.905363475177305	0.8526152482269503	0.905363475177305	0.8526152482269503	supporting_only	supporting_but_covariate_exposed	c						3.0	3.0	1.0	stable_shared_anchor	True	0.67	1.0									
PRPF6	0.9895833333333331	0.9524601063829788						supporting_only	supporting_but_covariate_exposed	d													0.0149455319000838	0.9986398078273973							
PMF1	0.9153368794326242	0.9162234042553192						supporting_only	supporting_but_covariate_exposed	d													0.0109882755714093	0.9744461229672754							
ZNF131	0.905363475177305	0.8526152482269503						supporting_only	supporting_but_covariate_exposed	d													0.0101988361608718	0.8043337303914575							
PFDN5	0.8315602836879432	0.8840868794326242						primary_but_qualified	retain_with_caution	d													0.0096754645617479	0.8948474981425748							
PFDN5										e	HCC1143														barcode_gem_group	57.0	1325.0	0.0042767295597484	3.0		
PFDN5										e	HCC1143														num_umis_over_threshold_bin	57.0	1325.0	0.1900562727573651	4.0		
PFDN5										e	HCC1143														num_umis_quantile_bin	57.0	1325.0	0.1202118503806686	4.0		
PFDN5										e	HCC1143														transcriptome_detected_genes_quantile_bin	57.0	1325.0	0.1508639523336643	4.0		
PFDN5										e	HCC1143														transcriptome_total_signal_quantile_bin	57.0	1325.0	0.1376100628930817	4.0		
PFDN5										e	HCC38														barcode_gem_group	67.0	1666.0	0.0292236297504076	3.0		
PFDN5										e	HCC38														num_umis_over_threshold_bin	67.0	1666.0	0.1471125763738331	4.0		
PFDN5										e	HCC38														num_umis_quantile_bin	67.0	1666.0	0.1578362688358925	4.0		
PFDN5										e	HCC38														transcriptome_detected_genes_quantile_bin	67.0	1666.0	0.0827704216014764	4.0		
PFDN5										e	HCC38														transcriptome_total_signal_quantile_bin	67.0	1666.0	0.077198043396463	4.0		
PMF1										e	HCC1143														barcode_gem_group	40.0	1325.0	0.145566037735849	3.0		
PMF1										e	HCC1143														num_umis_over_threshold_bin	40.0	1325.0	0.2133018867924528	4.0		
PMF1										e	HCC1143														num_umis_quantile_bin	40.0	1325.0	0.1714150943396226	4.0		
PMF1										e	HCC1143														transcriptome_detected_genes_quantile_bin	40.0	1325.0	0.2554716981132076	4.0		
PMF1										e	HCC1143														transcriptome_total_signal_quantile_bin	40.0	1325.0	0.1026415094339622	4.0		
PMF1										e	HCC38														barcode_gem_group	94.0	1666.0	0.1347092028300682	3.0		
PMF1										e	HCC38														num_umis_over_threshold_bin	94.0	1666.0	0.4809072565196292	4.0		
PMF1										e	HCC38														num_umis_quantile_bin	94.0	1666.0	0.4913795305356184	4.0		
PMF1										e	HCC38														transcriptome_detected_genes_quantile_bin	94.0	1666.0	0.0632295471380041	4.0		
PMF1										e	HCC38														transcriptome_total_signal_quantile_bin	94.0	1666.0	0.1489361702127659	4.0		
PRPF6										e	HCC1143														barcode_gem_group	23.0	1325.0	0.0681870385561936	3.0		
PRPF6										e	HCC1143														num_umis_over_threshold_bin	23.0	1325.0	0.3438228055783429	4.0		
PRPF6										e	HCC1143														num_umis_quantile_bin	23.0	1325.0	0.1922559474979491	4.0		
PRPF6										e	HCC1143														transcriptome_detected_genes_quantile_bin	23.0	1325.0	0.1234126333059884	4.0		
PRPF6										e	HCC1143														transcriptome_total_signal_quantile_bin	23.0	1325.0	0.0261525840853158	4.0		
PRPF6										e	HCC38														barcode_gem_group	25.0	1666.0	0.1526530612244897	3.0		
PRPF6										e	HCC38														num_umis_over_threshold_bin	25.0	1666.0	0.197406962785114	4.0		
PRPF6										e	HCC38														num_umis_quantile_bin	25.0	1666.0	0.3078031212484994	4.0		
PRPF6										e	HCC38														transcriptome_detected_genes_quantile_bin	25.0	1666.0	0.0993997599039615	4.0		
PRPF6										e	HCC38														transcriptome_total_signal_quantile_bin	25.0	1666.0	0.26	4.0		
ZNF131										e	HCC1143														barcode_gem_group	43.0	1325.0	0.0732426502852128	3.0		
ZNF131										e	HCC1143														num_umis_over_threshold_bin	43.0	1325.0	0.3549451513821852	4.0		
ZNF131										e	HCC1143														num_umis_quantile_bin	43.0	1325.0	0.3975778850372971	4.0		
ZNF131										e	HCC1143														transcriptome_detected_genes_quantile_bin	43.0	1325.0	0.0666432645897323	4.0		
ZNF131										e	HCC1143														transcriptome_total_signal_quantile_bin	43.0	1325.0	0.1109609477841158	4.0		
ZNF131										e	HCC38														barcode_gem_group	118.0	1666.0	0.0510102346023155	3.0		
ZNF131										e	HCC38														num_umis_over_threshold_bin	118.0	1666.0	0.2320792723869209	4.0		
ZNF131										e	HCC38														num_umis_quantile_bin	118.0	1666.0	0.3144952896412802	4.0		
ZNF131										e	HCC38														transcriptome_detected_genes_quantile_bin	118.0	1666.0	0.1137709321016541	4.0		
ZNF131										e	HCC38														transcriptome_total_signal_quantile_bin	118.0	1666.0	0.1252467088530327	4.0		
PFDN5								primary_but_qualified	retain_with_caution	f																				stable_shared_anchor	可保留为相对更轻风险的 stable anchor，但不得写成 fully deconfounded strongest anchor
PMF1								supporting_only	supporting_but_covariate_exposed	f																				stable_shared_anchor	保留结构稳定性价值，但不得继续承担 strongest wording
PRPF6								supporting_only	supporting_but_covariate_exposed	f																				stable_shared_anchor	保留结构稳定性价值，但不得继续承担 strongest wording
ZNF131								supporting_only	supporting_but_covariate_exposed	f																				stable_shared_anchor	保留结构稳定性价值，但不得继续承担 strongest wording
