step_order	step	detail	variant_id	epochs	lr	weight_decay	candidate_rank	model_id	config_path	panel	model_label	plot_color	backbone_recovery_score	structure_vs_context_separation_score	shift_excess_identification_score	is_sweep	object_role	display_label	cell_line	baseline_backbone	delta_backbone
1.0	pre_specified_neighborhood	GEARS hyperparameter neighborhood defined in advance								a											
2.0	finite_sweep_budget	limited candidate set, no open-ended search								a											
3.0	truth_and_scoring_unchanged	truth object and scoring system fixed								a											
4.0	check_gap_closure	compare sweep candidates to shared-mean baseline								a											
5.0	stop_if_gap_remains	stop rule triggered when baseline backbone gap remains open								a											
0.0	sweep_recipe_entry	epochs=30, lr=0.001, wd=1e-06	e30_lr1e-03_wd1e-06	30.0	0.001	1e-06	1.0	gears_hcc_formal_v1_e30_lr1e-03_wd1e-06	configs/generated/gears_hcc_backbone_sweep_v1/e30_lr1e-03_wd1e-06.json	a											
0.0	sweep_recipe_entry	epochs=30, lr=0.001, wd=1e-05	e30_lr1e-03_wd1e-05	30.0	0.001	1e-05	2.0	gears_hcc_formal_v1_e30_lr1e-03_wd1e-05	configs/generated/gears_hcc_backbone_sweep_v1/e30_lr1e-03_wd1e-05.json	a											
0.0	sweep_recipe_entry	epochs=30, lr=0.0005, wd=1e-06	e30_lr5e-04_wd1e-06	30.0	0.0005	1e-06	3.0	gears_hcc_formal_v1_e30_lr5e-04_wd1e-06	configs/generated/gears_hcc_backbone_sweep_v1/e30_lr5e-04_wd1e-06.json	a											
0.0	sweep_recipe_entry	epochs=30, lr=0.002, wd=1e-06	e30_lr2e-03_wd1e-06	30.0	0.002	1e-06	4.0	gears_hcc_formal_v1_e30_lr2e-03_wd1e-06	configs/generated/gears_hcc_backbone_sweep_v1/e30_lr2e-03_wd1e-06.json	a											
0.0	sweep_recipe_entry	epochs=20, lr=0.001, wd=1e-06	e20_lr1e-03_wd1e-06	20.0	0.001	1e-06	5.0	gears_hcc_formal_v1_e20_lr1e-03_wd1e-06	configs/generated/gears_hcc_backbone_sweep_v1/e20_lr1e-03_wd1e-06.json	a											
0.0	sweep_recipe_entry	epochs=40, lr=0.001, wd=1e-06	e40_lr1e-03_wd1e-06	40.0	0.001	1e-06	6.0	gears_hcc_formal_v1_e40_lr1e-03_wd1e-06	configs/generated/gears_hcc_backbone_sweep_v1/e40_lr1e-03_wd1e-06.json	a											
								shared_mean_baseline		b	"shared mean
baseline"	#2B2B2B	0.8066666666666666	0.3526145586462627	0.3333333333333333	False	baseline				
								gears_hcc_formal_v1		b	"GEARS
formal"	#4C78A8	0.6599999999999999	0.4284153807253488	0.3333333333333333	False	entrant				
								gears_hcc_formal_v1_e30_lr2e-03_wd1e-06		b	"GEARS
sweep A"	#8DB7D6	0.6433333333333333	0.4485243810877402	0.8333333333333333	True	entrant				
								gears_hcc_formal_v1_e20_lr1e-03_wd1e-06		b	"GEARS
sweep B"	#8DB7D6	0.6266666666666667	0.4591562997768912	0.5	True	entrant				
								lm_g_geneformer_ridge_hcc_formal_v1		b	"LM +
Geneformer"	#A6A6A6	0.6266666666666666	0.3256623817641846	0.1666666666666666	False	entrant				
								gears_hcc_formal_v1_e30_lr1e-03_wd1e-05		b	"GEARS
sweep C"	#8DB7D6	0.6133333333333333	0.427833160600328	0.9166666666666669	True	entrant				
								lm_train_lowrank_hcc_formal_v1		b	"LM
low-rank"	#A6A6A6	0.5366666666666666	0.2862358413992706	0.5833333333333333	False	entrant				
								gears_hcc_formal_v1_e30_lr5e-04_wd1e-06		b	"GEARS
sweep D"	#8DB7D6	0.53	0.4458928896160027	0.9166666666666669	True	entrant				
								gears_hcc_formal_v1_e40_lr1e-03_wd1e-06		b	"GEARS
sweep E"	#8DB7D6	0.4933333333333333	0.4684217036980002	0.6666666666666667	True	entrant				
								lm_g_scgpt_ridge_hcc_formal_v1		b	"LM +
scGPT"	#A6A6A6	0.4666666666666667	0.2589613597519035	0.1666666666666666	False	entrant				
								gears_hcc_formal_v1		c			0.6					GEARS formal	HCC38	0.7733333333333333	-0.17333333333333334
								gears_hcc_formal_v1		c			0.7199999999999999					GEARS formal	HCC1143	0.84	-0.1200000000000001
								gears_hcc_formal_v1_e30_lr2e-03_wd1e-06		c			0.58					Best GEARS sweep candidate	HCC38	0.7733333333333333	-0.19333333333333336
								gears_hcc_formal_v1_e30_lr2e-03_wd1e-06		c			0.7066666666666667					Best GEARS sweep candidate	HCC1143	0.84	-0.1333333333333333
								lm_g_scgpt_ridge_hcc_formal_v1		c			0.5					scGPT-ridge control	HCC38	0.7733333333333333	-0.2733333333333333
								lm_g_scgpt_ridge_hcc_formal_v1		c			0.4333333333333333					scGPT-ridge control	HCC1143	0.84	-0.4066666666666667
								lm_g_geneformer_ridge_hcc_formal_v1		c			0.5333333333333333					Geneformer-ridge control	HCC38	0.7733333333333333	-0.24
								lm_g_geneformer_ridge_hcc_formal_v1		c			0.7199999999999999					Geneformer-ridge control	HCC1143	0.84	-0.1200000000000001
								lm_train_lowrank_hcc_formal_v1		c			0.5599999999999999					Low-rank decoder	HCC38	0.7733333333333333	-0.21333333333333337
								lm_train_lowrank_hcc_formal_v1		c			0.5133333333333333					Low-rank decoder	HCC1143	0.84	-0.32666666666666666
