context	target	expression_control	expression_perturbed	delta	abs_delta	direction	expression_available	shown_in_panel
HCC38	YBX1	2.753895694178297	1.2657589610008255	-1.4881367331774715	1.4881367331774715	decreased_or_unchanged	True	True
HCC38	NPM1	2.5542043616564376	1.5023607917525588	-1.0518435699038788	1.0518435699038788	decreased_or_unchanged	True	True
HCC38	MTDH	2.1767164375021526	1.3112430135910065	-0.8654734239111461	0.8654734239111461	decreased_or_unchanged	True	True
HCC38	PA2G4	1.71702164672781	0.8916140490020633	-0.8254075977257468	0.8254075977257468	decreased_or_unchanged	True	True
HCC38	RPS3	2.872508160213884	2.048226732996976	-0.8242814272169081	0.8242814272169081	decreased_or_unchanged	True	True
HCC38	PARK7	1.710567265548525	0.9007798039645544	-0.8097874615839705	0.8097874615839705	decreased_or_unchanged	True	True
HCC38	TMSB4X	2.278649585681332	1.5004702877609883	-0.7781792979203437	0.7781792979203437	decreased_or_unchanged	True	True
HCC38	PFDN5	2.0418437454004583	1.3080087318309688	-0.7338350135694895	0.7338350135694895	decreased_or_unchanged	True	True
HCC38	PRDX2	1.1204492668940536	0.3993185399374006	-0.7211307269566529	0.7211307269566529	decreased_or_unchanged	True	True
HCC38	LAMTOR5	1.4994687109774216	0.7936987479602056	-0.7057699630172161	0.7057699630172161	decreased_or_unchanged	True	True
HCC38	HDGF	1.2909423891193306	0.7719348816219834	-0.5190075074973471	0.5190075074973471	decreased_or_unchanged	True	True
HCC38	STAT3	1.0368426916090745	0.6483112774198038	-0.38853141418927073	0.38853141418927073	decreased_or_unchanged	True	True
HCC38	ENY2	1.3251324262636834	0.9496100394815022	-0.3755223867821812	0.3755223867821812	decreased_or_unchanged	True	True
HCC38	RUVBL2	0.8453965111815326	0.4949642841365425	-0.3504322270449901	0.3504322270449901	decreased_or_unchanged	True	True
HCC38	PCBD1	0.775830772818279	0.4942722238716602	-0.28155854894661875	0.28155854894661875	decreased_or_unchanged	True	True
HCC38	TADA3	0.5235151402351582	0.2827443745320848	-0.24077076570307343	0.24077076570307343	decreased_or_unchanged	True	True
HCC38	ERC1	1.1250777682034827	0.925711290172477	-0.1993664780310057	0.1993664780310057	decreased_or_unchanged	True	True
HCC38	COMMD6	0.5569688420837176	0.3824899960290012	-0.17447884605471636	0.17447884605471636	decreased_or_unchanged	True	True
HCC38	MIER1	0.5140016179980074	0.3512363583903707	-0.16276525960763666	0.16276525960763666	decreased_or_unchanged	True	True
HCC38	VEZF1	0.3214663458514829	0.1698228211592622	-0.15164352469222073	0.15164352469222073	decreased_or_unchanged	True	True
HCC38	ZNF131	0.5681403834197247	0.4178847683220465	-0.1502556150976782	0.1502556150976782	decreased_or_unchanged	True	True
HCC38	TMF1	0.3045405731231822	0.1684615918327227	-0.13607898129045953	0.13607898129045953	decreased_or_unchanged	True	True
HCC38	XBP1	0.2590864958308512	0.1351557629036585	-0.1239307329271927	0.1239307329271927	decreased_or_unchanged	True	True
HCC38	GON4L	0.5221827268180124	0.4143579131661185	-0.10782481365189389	0.10782481365189389	decreased_or_unchanged	True	True
HCC38	ARID1A	0.3453377932011671	0.2543086970963735	-0.0910290961047936	0.0910290961047936	decreased_or_unchanged	True	True
HCC38	ZNF24	0.4605697256099211	0.3699001128312667	-0.09066961277865437	0.09066961277865437	decreased_or_unchanged	True	True
HCC38	MYBL1	0.6186016328585443	0.5425370207758815	-0.0760646120826628	0.0760646120826628	decreased_or_unchanged	True	True
HCC38	PRPF6	0.7501733642260896	0.6816850555962899	-0.06848830862979971	0.06848830862979971	decreased_or_unchanged	True	True
HCC38	ZBTB20	0.522172414363789	0.45895174389619	-0.06322067046759905	0.06322067046759905	decreased_or_unchanged	True	True
HCC38	SMAD1	0.1720074660673447	0.1106133166148265	-0.06139414945251821	0.06139414945251821	decreased_or_unchanged	True	True
HCC38	ZBTB17	0.1668171248811452	0.1062224526752529	-0.06059467220589229	0.06059467220589229	decreased_or_unchanged	True	True
HCC38	PMF1	0.5067607732222534	0.4495771763798371	-0.05718359684241636	0.05718359684241636	decreased_or_unchanged	True	True
HCC38	UBP1	0.2790985776824063	0.2299501583738788	-0.04914841930852751	0.04914841930852751	decreased_or_unchanged	True	True
HCC38	THRA	0.072256460146912	0.0449839349835958	-0.027272525163316207	0.027272525163316207	decreased_or_unchanged	True	True
HCC38	NCOA1	0.2794101748506761	0.2532203096473268	-0.026189865203349316	0.026189865203349316	decreased_or_unchanged	True	True
HCC38	PEX14	0.4066850584978156	0.3807886775016379	-0.025896380996177693	0.025896380996177693	decreased_or_unchanged	True	True
HCC38	THAP8	0.0680149392973465	0.0446050803315923	-0.023409858965754204	0.023409858965754204	decreased_or_unchanged	True	True
HCC38	MAML3	0.0199903809527318	0.0381132509437493	0.018122869991017504	0.018122869991017504	increased	True	True
HCC38	KLF3	0.2120900876356372	0.2267965580115683	0.014706470375931119	0.014706470375931119	increased	True	True
HCC38	ETV3	0.0997709770441688	0.1126830350289894	0.01291205798482059	0.01291205798482059	increased	True	True
HCC38	ZNF566	0.1209523200273713	0.1093744285532109	-0.011577891474160398	0.011577891474160398	decreased_or_unchanged	True	True
HCC38	ZBTB5	0.0322529146132658	0.0411498716865583	0.008896957073292501	0.008896957073292501	increased	True	True
HCC38	TAB3	0.057935140079965	0.0491442875639962	-0.008790852515968804	0.008790852515968804	decreased_or_unchanged	True	True
HCC38	BMPR1A	0.4919387716015872	0.485194685799392	-0.00674408580219521	0.00674408580219521	decreased_or_unchanged	True	True
HCC38	HLX	0.0131048094326769	0.006370106916067	-0.006734702516609899	0.006734702516609899	decreased_or_unchanged	True	True
HCC38	RORC	0.0014271333778412	0.0	-0.0014271333778412	0.0014271333778412	decreased_or_unchanged	True	True
HCC38	CDKN2A	0.0	0.0	0.0	0.0	decreased_or_unchanged	True	True
HCC1143	NPM1	3.200219458361781	1.6100133911394396	-1.5902060672223415	1.5902060672223415	decreased_or_unchanged	True	True
HCC1143	YBX1	2.365043609778736	0.9220443289861086	-1.4429992807926273	1.4429992807926273	decreased_or_unchanged	True	True
HCC1143	RPS3	3.4133886358164847	2.3463561035610816	-1.067032532255403	1.067032532255403	decreased_or_unchanged	True	True
HCC1143	PARK7	1.828021715441076	0.7855993977292716	-1.0424223177118046	1.0424223177118046	decreased_or_unchanged	True	True
HCC1143	PA2G4	1.8033421374653973	0.818670672853417	-0.9846714646119803	0.9846714646119803	decreased_or_unchanged	True	True
HCC1143	TMSB4X	2.694746527720992	1.741135644510528	-0.9536108832104642	0.9536108832104642	decreased_or_unchanged	True	True
HCC1143	PFDN5	1.9577072921258452	1.0411342732941833	-0.9165730188316619	0.9165730188316619	decreased_or_unchanged	True	True
HCC1143	MTDH	1.3839579495378933	0.6764320351920228	-0.7075259143458705	0.7075259143458705	decreased_or_unchanged	True	True
HCC1143	ENY2	1.946445248306935	1.3458442990049593	-0.6006009493019757	0.6006009493019757	decreased_or_unchanged	True	True
HCC1143	PRDX2	1.0675689459474895	0.477135673185228	-0.5904332727622615	0.5904332727622615	decreased_or_unchanged	True	True
HCC1143	LAMTOR5	0.9693553893748604	0.5230891466616678	-0.4462662427131926	0.4462662427131926	decreased_or_unchanged	True	True
HCC1143	RUVBL2	0.8470247934206425	0.4065367239007564	-0.4404880695198861	0.4404880695198861	decreased_or_unchanged	True	True
