summary_kind	cell_line	ranking	top_n	n_genes	truth_metric	depmap_endpoint	aligned_spearman	n_targets	panel	timepoint	platform_pair	context_role	spearman_rho_aligned	n_replicates	spearman_aligned_mean	spearman_aligned_std	spearman_aligned_q025	spearman_aligned_q50	spearman_aligned_q975	configured_replicates	completed_replicates	formal_interval_citable	sensitivity_claim_status
topn_curve	HCC38	control_expression	100	100.0	real_shift_mean_abs	depmap_gene_dependency	0.5333757337951995	47.0	a														
topn_curve	HCC38	control_expression	100	100.0	real_shift_L2	depmap_gene_dependency	0.539504495614418	47.0	a														
topn_curve	HCC38	control_expression	100	100.0	real_DEG_burden	depmap_gene_dependency	0.3234079244340435	47.0	a														
topn_curve	HCC38	control_expression	500	500.0	real_shift_mean_abs	depmap_gene_dependency	0.6059957795021665	47.0	a														
topn_curve	HCC38	control_expression	500	500.0	real_shift_L2	depmap_gene_dependency	0.631378104394968	47.0	a														
topn_curve	HCC38	control_expression	500	500.0	real_DEG_burden	depmap_gene_dependency	0.4999911046546708	47.0	a														
topn_curve	HCC38	control_expression	1000	1000.0	real_shift_mean_abs	depmap_gene_dependency	0.6346159408277626	47.0	a														
topn_curve	HCC38	control_expression	1000	1000.0	real_shift_L2	depmap_gene_dependency	0.6560666071950275	47.0	a														
topn_curve	HCC38	control_expression	1000	1000.0	real_DEG_burden	depmap_gene_dependency	0.5518770911474068	47.0	a														
topn_curve	HCC38	control_expression	2000	2000.0	real_shift_mean_abs	depmap_gene_dependency	0.6686710418798355	47.0	a														
topn_curve	HCC38	control_expression	2000	2000.0	real_shift_L2	depmap_gene_dependency	0.6651441129083985	47.0	a														
topn_curve	HCC38	control_expression	2000	2000.0	real_DEG_burden	depmap_gene_dependency	0.5552988466703043	47.0	a														
topn_curve	HCC38	control_expression	all	36601.0	real_shift_mean_abs	depmap_gene_dependency	0.7257957275155708	47.0	a														
topn_curve	HCC38	control_expression	all	36601.0	real_shift_L2	depmap_gene_dependency	0.7019745023314382	47.0	a														
topn_curve	HCC38	control_expression	all	36601.0	real_DEG_burden	depmap_gene_dependency	0.5510637306326212	47.0	a														
topn_curve	HCC38	perturbation_response	100	100.0	real_shift_mean_abs	depmap_gene_dependency	0.6380850512914713	47.0	a														
topn_curve	HCC38	perturbation_response	100	100.0	real_shift_L2	depmap_gene_dependency	0.6687288603875641	47.0	a														
topn_curve	HCC38	perturbation_response	100	100.0	real_DEG_burden	depmap_gene_dependency	0.527499264044825	47.0	a														
topn_curve	HCC38	perturbation_response	500	500.0	real_shift_mean_abs	depmap_gene_dependency	0.6313202858872395	47.0	a														
topn_curve	HCC38	perturbation_response	500	500.0	real_shift_L2	depmap_gene_dependency	0.6570495218264117	47.0	a														
topn_curve	HCC38	perturbation_response	500	500.0	real_DEG_burden	depmap_gene_dependency	0.5458985491096813	47.0	a														
topn_curve	HCC38	perturbation_response	1000	1000.0	real_shift_mean_abs	depmap_gene_dependency	0.6449076352034315	47.0	a														
topn_curve	HCC38	perturbation_response	1000	1000.0	real_shift_L2	depmap_gene_dependency	0.6623110060297032	47.0	a														
topn_curve	HCC38	perturbation_response	1000	1000.0	real_DEG_burden	depmap_gene_dependency	0.5506585335388137	47.0	a														
topn_curve	HCC38	perturbation_response	2000	2000.0	real_shift_mean_abs	depmap_gene_dependency	0.6669364866479812	47.0	a														
topn_curve	HCC38	perturbation_response	2000	2000.0	real_shift_L2	depmap_gene_dependency	0.6673990347098091	47.0	a														
topn_curve	HCC38	perturbation_response	2000	2000.0	real_DEG_burden	depmap_gene_dependency	0.5510637306326212	47.0	a														
topn_curve	HCC38	perturbation_response	all	36601.0	real_shift_mean_abs	depmap_gene_dependency	0.7257957275155708	47.0	a														
topn_curve	HCC38	perturbation_response	all	36601.0	real_shift_L2	depmap_gene_dependency	0.7019745023314382	47.0	a														
topn_curve	HCC38	perturbation_response	all	36601.0	real_DEG_burden	depmap_gene_dependency	0.5510637306326212	47.0	a														
topn_curve	HCC1143	control_expression	100	100.0	real_shift_mean_abs	depmap_gene_dependency	0.7523752923935764	48.0	a														
topn_curve	HCC1143	control_expression	100	100.0	real_shift_L2	depmap_gene_dependency	0.6876595073933496	48.0	a														
topn_curve	HCC1143	control_expression	100	100.0	real_DEG_burden	depmap_gene_dependency	0.5513713747750024	48.0	a														
topn_curve	HCC1143	control_expression	500	500.0	real_shift_mean_abs	depmap_gene_dependency	0.77957546712941	48.0	a														
topn_curve	HCC1143	control_expression	500	500.0	real_shift_L2	depmap_gene_dependency	0.734839051995025	48.0	a														
topn_curve	HCC1143	control_expression	500	500.0	real_DEG_burden	depmap_gene_dependency	0.6861693937435943	48.0	a														
topn_curve	HCC1143	control_expression	1000	1000.0	real_shift_mean_abs	depmap_gene_dependency	0.7840273919364725	48.0	a														
topn_curve	HCC1143	control_expression	1000	1000.0	real_shift_L2	depmap_gene_dependency	0.7608990996461229	48.0	a														
topn_curve	HCC1143	control_expression	1000	1000.0	real_DEG_burden	depmap_gene_dependency	0.7419926373278856	48.0	a														
topn_curve	HCC1143	control_expression	2000	2000.0	real_shift_mean_abs	depmap_gene_dependency	0.7655138997510049	48.0	a														
topn_curve	HCC1143	control_expression	2000	2000.0	real_shift_L2	depmap_gene_dependency	0.7489006193734299	48.0	a														
topn_curve	HCC1143	control_expression	2000	2000.0	real_DEG_burden	depmap_gene_dependency	0.7145473237809881	48.0	a														
topn_curve	HCC1143	control_expression	all	36601.0	real_shift_mean_abs	depmap_gene_dependency	0.7792497165337711	48.0	a														
topn_curve	HCC1143	control_expression	all	36601.0	real_shift_L2	depmap_gene_dependency	0.7612248502417618	48.0	a														
topn_curve	HCC1143	control_expression	all	36601.0	real_DEG_burden	depmap_gene_dependency	0.7135785375072098	48.0	a														
topn_curve	HCC1143	perturbation_response	100	100.0	real_shift_mean_abs	depmap_gene_dependency	0.7524838759254561	48.0	a														
topn_curve	HCC1143	perturbation_response	100	100.0	real_shift_L2	depmap_gene_dependency	0.7321244636980355	48.0	a														
topn_curve	HCC1143	perturbation_response	100	100.0	real_DEG_burden	depmap_gene_dependency	0.717170181460855	48.0	a														
topn_curve	HCC1143	perturbation_response	500	500.0	real_shift_mean_abs	depmap_gene_dependency	0.7608448078801832	48.0	a														
topn_curve	HCC1143	perturbation_response	500	500.0	real_shift_L2	depmap_gene_dependency	0.7430914004178726	48.0	a														
topn_curve	HCC1143	perturbation_response	500	500.0	real_DEG_burden	depmap_gene_dependency	0.7276510533776028	48.0	a														
topn_curve	HCC1143	perturbation_response	1000	1000.0	real_shift_mean_abs	depmap_gene_dependency	0.7611705584758218	48.0	a														
topn_curve	HCC1143	perturbation_response	1000	1000.0	real_shift_L2	depmap_gene_dependency	0.7445572780982469	48.0	a														
topn_curve	HCC1143	perturbation_response	1000	1000.0	real_DEG_burden	depmap_gene_dependency	0.7135785375072098	48.0	a														
topn_curve	HCC1143	perturbation_response	2000	2000.0	real_shift_mean_abs	depmap_gene_dependency	0.7639937303046909	48.0	a														
topn_curve	HCC1143	perturbation_response	2000	2000.0	real_shift_L2	depmap_gene_dependency	0.7441229439707285	48.0	a														
topn_curve	HCC1143	perturbation_response	2000	2000.0	real_DEG_burden	depmap_gene_dependency	0.7135785375072098	48.0	a														
topn_curve	HCC1143	perturbation_response	all	36601.0	real_shift_mean_abs	depmap_gene_dependency	0.7792497165337711	48.0	a														
topn_curve	HCC1143	perturbation_response	all	36601.0	real_shift_L2	depmap_gene_dependency	0.7612248502417618	48.0	a														
topn_curve	HCC1143	perturbation_response	all	36601.0	real_DEG_burden	depmap_gene_dependency	0.7135785375072098	48.0	a														
