summary_kind	cell_line	ranking	top_n	n_genes	truth_metric	depmap_endpoint	aligned_spearman	n_targets	panel	timepoint	platform_pair	context_role	spearman_rho_aligned	n_replicates	spearman_aligned_mean	spearman_aligned_std	spearman_aligned_q025	spearman_aligned_q50	spearman_aligned_q975	configured_replicates	completed_replicates	formal_interval_citable	sensitivity_claim_status
crispr_metric_endpoint	HCC38				real_shift_L2	depmap_gene_effect		47.0	b	HCC38	crispr	primary_hcc	0.7017807585568918										
crispr_metric_endpoint	HCC38				real_shift_L2	depmap_gene_dependency		47.0	b	HCC38	crispr	primary_hcc	0.7019745023314382										
crispr_metric_endpoint	HCC38				real_shift_mean_abs	depmap_gene_effect		47.0	b	HCC38	crispr	primary_hcc	0.7253700277520815										
crispr_metric_endpoint	HCC38				real_shift_mean_abs	depmap_gene_dependency		47.0	b	HCC38	crispr	primary_hcc	0.7257957275155708										
crispr_metric_endpoint	HCC38				real_shift_top20_mean	depmap_gene_effect		47.0	b	HCC38	crispr	primary_hcc	0.6332099907493062										
crispr_metric_endpoint	HCC38				real_shift_top20_mean	depmap_gene_dependency		47.0	b	HCC38	crispr	primary_hcc	0.6333439336577362										
crispr_metric_endpoint	HCC38				real_shift_top50_mean	depmap_gene_effect		47.0	b	HCC38	crispr	primary_hcc	0.6271970397779834										
crispr_metric_endpoint	HCC38				real_shift_top50_mean	depmap_gene_dependency		47.0	b	HCC38	crispr	primary_hcc	0.6273886273617031										
crispr_metric_endpoint	HCC38				real_shift_top100_mean	depmap_gene_effect		47.0	b	HCC38	crispr	primary_hcc	0.6399167437557817										
crispr_metric_endpoint	HCC38				real_shift_top100_mean	depmap_gene_dependency		47.0	b	HCC38	crispr	primary_hcc	0.6400508805542395										
crispr_metric_endpoint	HCC38				real_Edistance	depmap_gene_effect		47.0	b	HCC38	crispr	primary_hcc	0.6290471785383904										
crispr_metric_endpoint	HCC38				real_Edistance	depmap_gene_dependency		47.0	b	HCC38	crispr	primary_hcc	0.6291810011012858										
crispr_metric_endpoint	HCC38				real_DEG_burden	depmap_gene_effect		47.0	b	HCC38	crispr	primary_hcc	0.5508667130022153										
crispr_metric_endpoint	HCC38				real_DEG_burden	depmap_gene_dependency		47.0	b	HCC38	crispr	primary_hcc	0.5510637306326212										
crispr_metric_endpoint	HCC1143				real_shift_L2	depmap_gene_effect		48.0	b	HCC1143	crispr	primary_hcc	0.7630264871906209										
crispr_metric_endpoint	HCC1143				real_shift_L2	depmap_gene_dependency		48.0	b	HCC1143	crispr	primary_hcc	0.7612248502417618										
crispr_metric_endpoint	HCC1143				real_shift_mean_abs	depmap_gene_effect		48.0	b	HCC1143	crispr	primary_hcc	0.7807207989578809										
crispr_metric_endpoint	HCC1143				real_shift_mean_abs	depmap_gene_dependency		48.0	b	HCC1143	crispr	primary_hcc	0.7792497165337711										
crispr_metric_endpoint	HCC1143				real_shift_top20_mean	depmap_gene_effect		48.0	b	HCC1143	crispr	primary_hcc	0.7063612679114198										
crispr_metric_endpoint	HCC1143				real_shift_top20_mean	depmap_gene_dependency		48.0	b	HCC1143	crispr	primary_hcc	0.7044899548346837										
crispr_metric_endpoint	HCC1143				real_shift_top50_mean	depmap_gene_effect		48.0	b	HCC1143	crispr	primary_hcc	0.7295918367346939										
crispr_metric_endpoint	HCC1143				real_shift_top50_mean	depmap_gene_dependency		48.0	b	HCC1143	crispr	primary_hcc	0.7276725388909729										
crispr_metric_endpoint	HCC1143				real_shift_top100_mean	depmap_gene_effect		48.0	b	HCC1143	crispr	primary_hcc	0.7345853234910985										
crispr_metric_endpoint	HCC1143				real_shift_top100_mean	depmap_gene_dependency		48.0	b	HCC1143	crispr	primary_hcc	0.7324502142936743										
crispr_metric_endpoint	HCC1143				real_Edistance	depmap_gene_effect		48.0	b	HCC1143	crispr	primary_hcc	0.7430525401650021										
crispr_metric_endpoint	HCC1143				real_Edistance	depmap_gene_dependency		48.0	b	HCC1143	crispr	primary_hcc	0.740702562716522										
crispr_metric_endpoint	HCC1143				real_DEG_burden	depmap_gene_effect		48.0	b	HCC1143	crispr	primary_hcc	0.7162847950457641										
crispr_metric_endpoint	HCC1143				real_DEG_burden	depmap_gene_dependency		48.0	b	HCC1143	crispr	primary_hcc	0.7135785375072098										
