cell_line	quantile_low	quantile_high	joint_grid	n_targets	fraction_targets
HCC1143	0.2	0.8	Endpoint anchors	7	0.1458333333333333
HCC1143	0.2	0.8	Low-information	5	0.1041666666666666
HCC1143	0.2	0.8	middle	36	0.75
HCC38	0.2	0.8	Endpoint anchors	7	0.1489361702127659
HCC38	0.2	0.8	Low-information	6	0.1276595744680851
HCC38	0.2	0.8	middle	34	0.723404255319149
HCC1143	0.25	0.75	Endpoint anchors	10	0.2083333333333333
HCC1143	0.25	0.75	Low-information	6	0.125
HCC1143	0.25	0.75	middle	32	0.6666666666666666
HCC38	0.25	0.75	Endpoint anchors	9	0.1914893617021276
HCC38	0.25	0.75	Low-information	6	0.1276595744680851
HCC38	0.25	0.75	middle	32	0.6808510638297872
HCC1143	0.33	0.67	Endpoint anchors	14	0.2916666666666667
HCC1143	0.33	0.67	Low-information	10	0.2083333333333333
HCC1143	0.33	0.67	middle	24	0.5
HCC38	0.33	0.67	Endpoint anchors	11	0.2340425531914893
HCC38	0.33	0.67	shift_excess	1	0.0212765957446808
HCC38	0.33	0.67	Dependency-excess	2	0.0425531914893617
HCC38	0.33	0.67	Low-information	10	0.2127659574468085
HCC38	0.33	0.67	middle	23	0.4893617021276595
