target_gene	real_shift_mean_abs	depmap_gene_dependency	context	empirical_p
CREB1	0.0026383122258462	0.0071578592789096	K562 TF day 7	0.028
E2F4	0.0031633745164676	0.0737611734867184	K562 TF day 7	0.028
EGR1	0.0028422518033918	0.0951212499906231	K562 TF day 7	0.028
ELF1	0.0023201360490387	0.0214694821905055	K562 TF day 7	0.028
ELK1	0.0024652698331102	0.0115968945203785	K562 TF day 7	0.028
ETS1	0.0028045103468223	0.0104489076569362	K562 TF day 7	0.028
GABPA	0.0032335956895071	0.3039556555377878	K562 TF day 7	0.028
IRF1	0.0032418031709357	0.0282070976172631	K562 TF day 7	0.028
NR2C2	0.0029624276925827	0.0531572523792977	K562 TF day 7	0.028
YY1	0.0053201925384121	0.7276949214878715	K562 TF day 7	0.028
CREB1	0.0039865045133055	0.0071578592789096	K562 TF day 13	0.149
E2F4	0.0046425123797298	0.0737611734867184	K562 TF day 13	0.149
EGR1	0.0041187526611999	0.0951212499906231	K562 TF day 13	0.149
ELF1	0.0033302761709936	0.0214694821905055	K562 TF day 13	0.149
ELK1	0.0039757957071744	0.0115968945203785	K562 TF day 13	0.149
ETS1	0.0044597684393875	0.0104489076569362	K562 TF day 13	0.149
GABPA	0.0043769327212049	0.3039556555377878	K562 TF day 13	0.149
IRF1	0.0049139718663376	0.0282070976172631	K562 TF day 13	0.149
NR2C2	0.0046086260733258	0.0531572523792977	K562 TF day 13	0.149
YY1	0.005413713961871	0.7276949214878715	K562 TF day 13	0.149
AAAS	0.0188181311476713	0.0728277707907095	K562 essential CRISPRi day 6	0.001
AAMP	0.0355997462996858	0.3869225947450684	K562 essential CRISPRi day 6	0.001
AARS2	0.0213194620336328	0.9728191479871524	K562 essential CRISPRi day 6	0.001
AASDHPPT	0.0371853029833754	0.0764874542634314	K562 essential CRISPRi day 6	0.001
AATF	0.0451498241723166	0.7870986544118178	K562 essential CRISPRi day 6	0.001
ABCB10	0.0434876292049681	0.0027785972487876	K562 essential CRISPRi day 6	0.001
ABCB7	0.0238384980491964	0.9640166763808132	K562 essential CRISPRi day 6	0.001
ABCE1	0.0492673571811268	0.999995451750728	K562 essential CRISPRi day 6	0.001
ABCF1	0.0209711753491647	0.9626641092360269	K562 essential CRISPRi day 6	0.001
ABCG1	0.0250475603129295	0.0034408658118736	K562 essential CRISPRi day 6	0.001
ABHD11	0.0392299798241804	0.5889416753850295	K562 essential CRISPRi day 6	0.001
ABHD17A	0.0275306837588398	0.3030564899445587	K562 essential CRISPRi day 6	0.001
ABT1	0.0368140643099399	0.5529593672433197	K562 essential CRISPRi day 6	0.001
ACD	0.0298204545609862	0.2744812688245184	K562 essential CRISPRi day 6	0.001
ACIN1	0.0197923412520315	0.93564352088327	K562 essential CRISPRi day 6	0.001
ACOT12	0.020975205616531	0.070911645651601	K562 essential CRISPRi day 6	0.001
ACTB	0.0242510299250438	0.3178726180696602	K562 essential CRISPRi day 6	0.001
ACTL6A	0.057537570237245	0.987065050169683	K562 essential CRISPRi day 6	0.001
ACTR10	0.0276638081308772	0.9342582521539302	K562 essential CRISPRi day 6	0.001
ACTR1A	0.0222746499271169	0.7751256352041794	K562 essential CRISPRi day 6	0.001
ACTR1B	0.018757352332876	0.229765584435569	K562 essential CRISPRi day 6	0.001
ACTR2	0.0181460759248337	0.9550959701350764	K562 essential CRISPRi day 6	0.001
ACTR3	0.0254673839671229	0.2252419196425454	K562 essential CRISPRi day 6	0.001
ACTR6	0.0362538109443825	0.3715251474486026	K562 essential CRISPRi day 6	0.001
ACTR8	0.0319497128688651	0.9081986806015684	K562 essential CRISPRi day 6	0.001
ADAT2	0.0293941171644626	0.0434372327319659	K562 essential CRISPRi day 6	0.001
ADAT3	0.0279322257582162	0.3152843912288637	K562 essential CRISPRi day 6	0.001
ADRM1	0.0264673535453528	0.0873759716190889	K562 essential CRISPRi day 6	0.001
ADSL	0.0255296319219157	0.9965181757880386	K562 essential CRISPRi day 6	0.001
AHCTF1	0.0188905149291295	0.8966390272125959	K562 essential CRISPRi day 6	0.001
AHCY	0.0284556379761407	0.9856882225325264	K562 essential CRISPRi day 6	0.001
AIFM1	0.0367901024305852	0.0171839040296953	K562 essential CRISPRi day 6	0.001
AKIRIN2	0.0269696419740336	0.4948737928144421	K562 essential CRISPRi day 6	0.001
ALDOA	0.0557848366534843	0.9403122830718808	K562 essential CRISPRi day 6	0.001
ALG1	0.031571229043547	0.6030173966293053	K562 essential CRISPRi day 6	0.001
ALG11	0.0272556991902189	0.9838629332382398	K562 essential CRISPRi day 6	0.001
ALG13	0.024808205064186	0.6804771840233945	K562 essential CRISPRi day 6	0.001
ALG14	0.0193669516676142	0.6236940986961947	K562 essential CRISPRi day 6	0.001
ALG2	0.020196794535706	0.9695627568263976	K562 essential CRISPRi day 6	0.001
ALYREF	0.019687016725978	0.980287775796484	K562 essential CRISPRi day 6	0.001
ANAPC1	0.0268624009296784	0.9909655193558876	K562 essential CRISPRi day 6	0.001
ANAPC10	0.0476633490728805	0.985697253557718	K562 essential CRISPRi day 6	0.001
ANAPC11	0.0315158003597508	1.0	K562 essential CRISPRi day 6	0.001
ANAPC13	0.0256329351560104	0.9423657563726124	K562 essential CRISPRi day 6	0.001
ANAPC15	0.0132207083131801	0.987889086744036	K562 essential CRISPRi day 6	0.001
ANAPC2	0.0221952622699242	0.9936053817413212	K562 essential CRISPRi day 6	0.001
ANAPC4	0.0431127709621715	0.9830426074463712	K562 essential CRISPRi day 6	0.001
ANAPC5	0.0431947020998292	0.9850143484423488	K562 essential CRISPRi day 6	0.001
ANKLE2	0.0248169691732812	1.0	K562 essential CRISPRi day 6	0.001
ANKRD11	0.0227465035535173	0.0506000142857949	K562 essential CRISPRi day 6	0.001
ANKRD49	0.0229802361038848	0.6529991700483915	K562 essential CRISPRi day 6	0.001
ANKS6	0.027776491751957	0.2073774431120377	K562 essential CRISPRi day 6	0.001
ANLN	0.0263559844228732	0.0051276800321084	K562 essential CRISPRi day 6	0.001
AP2M1	0.0186887165138633	0.961296929840996	K562 essential CRISPRi day 6	0.001
