cell_line	depmap_model_id	target_gene	n_cells_target	n_cells_control	n_sgrnas_observed	truth_source_cell_count	gene_universe_size	source_kind	dataset_role	control_target_prefix	single_perturbation_filter_status	single_perturbation_evidence_source	real_shift_L2	real_shift_mean_abs	real_shift_top20_mean	real_shift_top50_mean	real_shift_top100_mean	real_shift_top50_concentration	real_Edistance	real_DEG_burden	depmap_gene_effect	depmap_gene_dependency	depmap_effect_found	depmap_dependency_found	depmap_join_status	context
dixit_2016_k562_tf_13d_gse90063	ACH-000551	CREB1	1568	3491	3	15849	21713	h5ad_obs	supplementary	intergenic_chr_	verified_single_perturbation	is_single_perturbation	1.161588842133596	0.0039865045133055	0.0749930666657795	0.0608395994342017	0.0511723075508695	0.0351434390213135	0.0323119818634296	0	0.1309068989504612	0.0071578592789096	True	True	both	K562 TF day 13
dixit_2016_k562_tf_13d_gse90063	ACH-000551	E2F4	840	3491	2	15849	21713	h5ad_obs	supplementary	intergenic_chr_	verified_single_perturbation	is_single_perturbation	1.3049036344384783	0.0046425123797298	0.0713149631590371	0.0615359425865247	0.053551286646196	0.0305229115958073	0.0304852992701079	0	-0.1444957567793325	0.0737611734867184	True	True	both	K562 TF day 13
dixit_2016_k562_tf_13d_gse90063	ACH-000551	EGR1	1246	3491	3	15849	21713	h5ad_obs	supplementary	intergenic_chr_	verified_single_perturbation	is_single_perturbation	1.1602093455546034	0.0041187526611999	0.0590675822903731	0.0515937989375286	0.0458219575726087	0.0288457587043617	0.0291017912242459	0	-0.1784621064355158	0.0951212499906231	True	True	both	K562 TF day 13
dixit_2016_k562_tf_13d_gse90063	ACH-000551	ELF1	2347	3491	4	15849	21713	h5ad_obs	supplementary	intergenic_chr_	verified_single_perturbation	is_single_perturbation	0.9401318802022346	0.0033302761709936	0.0508426501717092	0.0434492724829431	0.0384189422353109	0.0300436318161118	0.0163632033231113	0	0.0044643707675075	0.0214694821905055	True	True	both	K562 TF day 13
dixit_2016_k562_tf_13d_gse90063	ACH-000551	ELK1	1507	3491	3	15849	21713	h5ad_obs	supplementary	intergenic_chr_	verified_single_perturbation	is_single_perturbation	1.1260715635987473	0.0039757957071744	0.0556544844131055	0.0491068198702714	0.0442640030772013	0.0284425101603035	0.0289369794035678	0	0.0750545005118522	0.0115968945203785	True	True	both	K562 TF day 13
dixit_2016_k562_tf_13d_gse90063	ACH-000551	ETS1	1029	3491	2	15849	21713	h5ad_obs	supplementary	intergenic_chr_	verified_single_perturbation	is_single_perturbation	1.262176622970204	0.0044597684393875	0.0648401422257421	0.0558550915002646	0.0502964462084796	0.0288403568519852	0.0299634148702807	0	0.0870167445612608	0.0104489076569362	True	True	both	K562 TF day 13
dixit_2016_k562_tf_13d_gse90063	ACH-000551	GABPA	1173	3491	2	15849	21713	h5ad_obs	supplementary	intergenic_chr_	verified_single_perturbation	is_single_perturbation	1.2747561283239923	0.0043769327212049	0.0737986801675505	0.0628940668175253	0.0550501163261937	0.0330894827712043	0.0330686367523522	0	-0.3663464919493407	0.3039556555377878	True	True	both	K562 TF day 13
dixit_2016_k562_tf_13d_gse90063	ACH-000551	IRF1	813	3491	2	15849	21713	h5ad_obs	supplementary	intergenic_chr_	verified_single_perturbation	is_single_perturbation	1.3933195557916662	0.0049139718663376	0.0711080048813291	0.0612838206929284	0.0544750391115447	0.0287186049446866	0.0419987743348659	0	-0.0270804670754626	0.0282070976172631	True	True	both	K562 TF day 13
dixit_2016_k562_tf_13d_gse90063	ACH-000551	NR2C2	1011	3491	3	15849	21713	h5ad_obs	supplementary	intergenic_chr_	verified_single_perturbation	is_single_perturbation	1.3313033408688222	0.0046086260733258	0.0692467237580882	0.0603594180442828	0.0546792039871414	0.0301594726402637	0.0339579016387521	0	-0.1029273643150633	0.0531572523792977	True	True	both	K562 TF day 13
dixit_2016_k562_tf_13d_gse90063	ACH-000551	YY1	824	3491	2	15849	21713	h5ad_obs	supplementary	intergenic_chr_	verified_single_perturbation	is_single_perturbation	1.5982591861975834	0.005413713961871	0.0961165054510552	0.0791810806068087	0.0685622470852321	0.0336803263221109	0.0700618337822351	0	-0.6261517971182733	0.7276949214878715	True	True	both	K562 TF day 13
