model_id	cell_line	total_shift_depmap_status	axis_aligned_depmap_status	target_identity_preservation_status
cellot_hcc_formal_v1	HCC1143	estimated	estimated	estimated
cellot_hcc_formal_v1	HCC38	estimated	estimated	estimated
cpa_v0.8.8	HCC1143	estimated	estimated	estimated
cpa_v0.8.8	HCC38	estimated	estimated	estimated
gears_hcc_formal_v1	HCC1143	estimated	estimated	estimated
gears_hcc_formal_v1	HCC38	estimated	estimated	estimated
gears_hcc_formal_v1_e20_lr1e-03_wd1e-06	HCC1143	estimated	estimated	estimated
gears_hcc_formal_v1_e20_lr1e-03_wd1e-06	HCC38	estimated	estimated	estimated
gears_hcc_formal_v1_e30_lr1e-03_wd1e-05	HCC1143	estimated	estimated	estimated
gears_hcc_formal_v1_e30_lr1e-03_wd1e-05	HCC38	estimated	estimated	estimated
gears_hcc_formal_v1_e30_lr2e-03_wd1e-06	HCC1143	estimated	estimated	estimated
gears_hcc_formal_v1_e30_lr2e-03_wd1e-06	HCC38	estimated	estimated	estimated
gears_hcc_formal_v1_e30_lr5e-04_wd1e-06	HCC1143	estimated	estimated	estimated
gears_hcc_formal_v1_e30_lr5e-04_wd1e-06	HCC38	estimated	estimated	estimated
gears_hcc_formal_v1_e40_lr1e-03_wd1e-06	HCC1143	estimated	estimated	estimated
gears_hcc_formal_v1_e40_lr1e-03_wd1e-06	HCC38	estimated	estimated	estimated
geneformer_hcc_formal_v1	HCC1143	estimated	estimated	estimated
geneformer_hcc_formal_v1	HCC38	estimated	estimated	estimated
lm_g_geneformer_ridge_hcc_formal_v1	HCC1143	estimated	estimated	estimated
lm_g_geneformer_ridge_hcc_formal_v1	HCC38	estimated	estimated	estimated
lm_g_scgpt_ridge_hcc_formal_v1	HCC1143	estimated	estimated	estimated
lm_g_scgpt_ridge_hcc_formal_v1	HCC38	estimated	estimated	estimated
lm_train_lowrank_hcc_formal_v1	HCC1143	estimated	estimated	estimated
lm_train_lowrank_hcc_formal_v1	HCC38	estimated	estimated	estimated
null_model	HCC1143	non_estimable_constant_score	non_estimable_constant_score	non_estimable_constant_score
null_model	HCC38	non_estimable_constant_score	non_estimable_constant_score	non_estimable_constant_score
scgen_hcc_formal_v1	HCC1143	estimated	estimated	estimated
scgen_hcc_formal_v1	HCC38	estimated	estimated	estimated
scgpt_hcc_formal_v1	HCC1143	estimated	estimated	estimated
scgpt_hcc_formal_v1	HCC38	estimated	estimated	estimated
shared_mean_baseline	HCC1143	non_estimable_constant_score	estimated	non_estimable_constant_score
shared_mean_baseline	HCC38	non_estimable_constant_score	estimated	non_estimable_constant_score
