model_name	included_role	claim_ceiling
shared_mean_diagnostic_reference	diagnostic_control	score calibration, not deployable prediction
GEARS	primary_entrant	genetic perturbation recovery in evaluated contexts
scGPT	embedding_control	embedding-based recovery, not direct perturbation deployment
Geneformer	embedding_control	embedding-based recovery, not direct perturbation deployment
scGPT-ridge	linear_embedding_control	linear recovery from pretrained embedding
Geneformer-ridge	linear_embedding_control	linear recovery from pretrained embedding
low-rank linear decoder	linear_control	linear recovery behavior
CPA	boundary_negative_entrant	current within-context endpoint-recovery entrant; HCC1143 interpreted as common/stress-like boundary case
CellOT	P2_candidate_sensitivity_entrant	optional sensitivity entrant
scGen	positive_entrant	most consistent current within-context target-observed endpoint-recovery entrant
scDisInFact	registry_only	registry-only unless benchmark design expands
