target_1	target_2	target_target_cosine_similarity	matrix_title	target_order	diagonal_masked_in_figure	color_scale
HDGF	HDGF	1.0	Observed HCC1143 target geometry	0	True	shared diverging scale, vmin=-1, center=0, vmax=1; diagonal excluded from color scaling
HDGF	GON4L	0.5445913093608962	Observed HCC1143 target geometry	0	False	shared diverging scale, vmin=-1, center=0, vmax=1; diagonal excluded from color scaling
HDGF	RORC	0.44828865653317346	Observed HCC1143 target geometry	0	False	shared diverging scale, vmin=-1, center=0, vmax=1; diagonal excluded from color scaling
HDGF	PRPF6	0.11430508881600669	Observed HCC1143 target geometry	0	False	shared diverging scale, vmin=-1, center=0, vmax=1; diagonal excluded from color scaling
HDGF	ETV3	0.05734754676632282	Observed HCC1143 target geometry	0	False	shared diverging scale, vmin=-1, center=0, vmax=1; diagonal excluded from color scaling
HDGF	HLX	0.10866710589047676	Observed HCC1143 target geometry	0	False	shared diverging scale, vmin=-1, center=0, vmax=1; diagonal excluded from color scaling
HDGF	TMSB4X	0.07713928207516	Observed HCC1143 target geometry	0	False	shared diverging scale, vmin=-1, center=0, vmax=1; diagonal excluded from color scaling
HDGF	ZNF131	0.2739926989566861	Observed HCC1143 target geometry	0	False	shared diverging scale, vmin=-1, center=0, vmax=1; diagonal excluded from color scaling
HDGF	THAP8	-0.04454937294075629	Observed HCC1143 target geometry	0	False	shared diverging scale, vmin=-1, center=0, vmax=1; diagonal excluded from color scaling
HDGF	ZNF566	-0.1501522090959319	Observed HCC1143 target geometry	0	False	shared diverging scale, vmin=-1, center=0, vmax=1; diagonal excluded from color scaling
HDGF	VEZF1	-0.12473203241273516	Observed HCC1143 target geometry	0	False	shared diverging scale, vmin=-1, center=0, vmax=1; diagonal excluded from color scaling
HDGF	ZBTB20	0.06760100017673919	Observed HCC1143 target geometry	0	False	shared diverging scale, vmin=-1, center=0, vmax=1; diagonal excluded from color scaling
HDGF	RPS3	-0.06775350433314259	Observed HCC1143 target geometry	0	False	shared diverging scale, vmin=-1, center=0, vmax=1; diagonal excluded from color scaling
HDGF	TADA3	0.010189236677770521	Observed HCC1143 target geometry	0	False	shared diverging scale, vmin=-1, center=0, vmax=1; diagonal excluded from color scaling
HDGF	MTDH	0.12881280736066977	Observed HCC1143 target geometry	0	False	shared diverging scale, vmin=-1, center=0, vmax=1; diagonal excluded from color scaling
