pathway	ES	NES	pval	padj	log2err	size	n_genes_in_set	direction	leading_edge	context	contrast_id	positive_category	negative_category	collection	ranking_method	claim_boundary	padj_within_context_contrast	display_label	q_value	minus_log10_FDR	term_order
Peptide Chain Elongation R-HSA-156902	-0.422489582245376	-0.884003251952999	0.690336358782702	0.862617137248683	0.0139406819421855	86	86	down	RPS3;RPL7A;EEF2;RPS2;RPSA;RPL27;RPL36A;RPL35;RPS8;RPL6;RPL34;RPS29;RPLP0;RPL12;RPL3;RPL41;RPL37;RPS24;RPS3A;RPS4X;RPS9;RPL23;RPL5;RPL36;RPS15A;RPS17;RPS7;RPL4;RPS15;EEF1A1;RPL28;RPS14;RPL14;RPL31	HCC1143	endpoint_anchor_vs_middle	endpoint_anchor	middle	reactome	mean_signed_shift_positive_category_minus_negative_category	exploratory response-program contrast; not a causal mechanism or target-membership enrichment claim	0.8626171372486839	"Peptide chain
elongation"	0.8626171372486839	0.06418191816014789	0
Peptide Chain Elongation R-HSA-156902	-0.875550587513506	-1.92849323444807	1e-10	1.16095155705718e-08		86	86	down	RPS3;RPL23;RPL3;RPL10A;RPS15A;RPS14;RPL14;RPL26;EEF1A1;RPS12;RPL34;RPL11;RPS8;RPL9;RPL7A;RPS23;RPL27A;RPS29;EEF2;RPL35A;RPL37A;RPS24;RPL23A;RPL19;RPL12;RPS9;RPL37;RPL29;RPL21;RPL41;RPL7;RPL18A;RPS3A;RPS17;RPL13A;RPL32;RPS28;RPL15;RPS2;RPS25;RPL30;RPS4X;RPL39;RPL27;RPL8;RPL36A;RPL22L1;RPS7;RPS27;RPLP1;RPL4;RPL28;RPL22;RPS27A;RPS20;RPL5;RPS11;RPLP0;RPL18	HCC38	endpoint_anchor_vs_middle	endpoint_anchor	middle	reactome	mean_signed_shift_positive_category_minus_negative_category	exploratory response-program contrast; not a causal mechanism or target-membership enrichment claim	1.1609515570571826e-08	"Peptide chain
elongation"	1.1609515570571826e-08	7.935185901658224	0
Cap-dependent Translation Initiation R-HSA-72737	0.456288939577794	1.1301154582092	0.178183398522382	0.492950958558028	0.0698181861471991	116	116	up	RPL30;RPS27L;RPL22L1;RPS12;EIF4A2;FAU;RPS13;PABPC1;EIF3H;EIF5;RPS5;RSL24D1;RPS27A;RPL18;UBA52;RPS11;EIF3L;RPL36AL;RPL15;RPS23;EIF2S2;RPL23A;RPS20;RPS19;RPS16;RPS28;RPL26L1;RPL27A;EIF3G;RPL13A;RPS6;RPL32;RPS25;RPL7;RPL8;EIF3F;EIF3M;EIF3E;EIF2B2;EIF2B5;RPL39L;EIF2S1;RPLP2;RPL19	HCC1143	endpoint_anchor_vs_middle	endpoint_anchor	middle	reactome	mean_signed_shift_positive_category_minus_negative_category	exploratory response-program contrast; not a causal mechanism or target-membership enrichment claim	0.4929509585580295	"Cap-dependent
initiation"	0.4929509585580295	0.3071962845504352	1
Cap-dependent Translation Initiation R-HSA-72737	-0.834372347975386	-1.89744568184506	1e-10	1.16095155705718e-08		116	116	down	RPS3;RPL23;RPL3;RPL10A;RPS15A;RPS14;RPL14;RPL26;RPS12;RPL34;RPL11;RPS8;EIF3A;RPL9;RPL7A;RPS23;RPL27A;RPS29;RPL35A;RPL37A;RPS24;RPL23A;RPL19;EIF4H;RPL12;RPS9;RPL37;EIF4EBP1;RPL29;RPL21;EIF3B;RPL41;EIF2S1;RPL7;RPL18A;RPS3A;RPS17;RPL13A;RPL32;EIF5;EIF3J;RPS28;RPL15;RPS2;RPS25;EIF1AX;RPL30;RPS4X;RPL39;RPL27;RPL8;EIF3E;RPL36A;EIF3H;EIF4A1;RPL22L1;RPS7;RPS27;RPLP1;RPL4;RPL28;RPL22;RPS27A;EIF2S2;RPS20;RPL5;RPS11;RPLP0;RPL18;EIF3D;EIF5B;EIF4E;EIF4G1;PABPC1;RPS10;EIF2B4	HCC38	endpoint_anchor_vs_middle	endpoint_anchor	middle	reactome	mean_signed_shift_positive_category_minus_negative_category	exploratory response-program contrast; not a causal mechanism or target-membership enrichment claim	1.1609515570571826e-08	"Cap-dependent
initiation"	1.1609515570571826e-08	7.935185901658224	1
Nonsense Mediated Decay (NMD) Independent Of Exon Junction Complex (EJC) R-HSA-975956	0.431716142904305	1.03505685558949	0.36400651465798	0.658546137205659	0.0460578909158033	92	92	up	RPL30;RPS27L;RPL22L1;RPS12;FAU;RPS13;PABPC1;RPS5;RSL24D1;RPS27A;RPL18;UBA52;RPS11;RPL36AL;RPL15;RPS23;RPL23A;RPS20;RPS19;RPS16;RPS28;RPL26L1;RPL27A;RPL13A;RPS6;RPL32;RPS25;ETF1;RPL7;RPL8	HCC1143	endpoint_anchor_vs_middle	endpoint_anchor	middle	reactome	mean_signed_shift_positive_category_minus_negative_category	exploratory response-program contrast; not a causal mechanism or target-membership enrichment claim	0.6585461372056586	"Nonsense-mediated
decay"	0.6585461372056586	0.18141379331887325	2
Nonsense Mediated Decay (NMD) Independent Of Exon Junction Complex (EJC) R-HSA-975956	-0.85161386150616	-1.88887910839368	3.17984554769846e-10	3.01449357921814e-08	0.814035837847908	92	92	down	RPS3;RPL23;RPL3;RPL10A;RPS15A;RPS14;RPL14;RPL26;RPS12;RPL34;RPL11;RPS8;RPL9;RPL7A;RPS23;RPL27A;RPS29;RPL35A;RPL37A;RPS24;RPL23A;RPL19;RPL12;RPS9;RPL37;RPL29;RPL21;RPL41;RPL7;RPL18A;RPS3A;RPS17;RPL13A;RPL32;RPS28;RPL15;RPS2;RPS25;RPL30;RPS4X;RPL39;RPL27;RPL8;RPL36A;RPL22L1;RPS7;RPS27;RPLP1;RPL4;RPL28;RPL22;RPS27A;RPS20;RPL5;RPS11;RPLP0;RPL18	HCC38	endpoint_anchor_vs_middle	endpoint_anchor	middle	reactome	mean_signed_shift_positive_category_minus_negative_category	exploratory response-program contrast; not a causal mechanism or target-membership enrichment claim	3.0144935792181395e-08	"Nonsense-mediated
decay"	3.0144935792181395e-08	7.520785636832001	2
rRNA Processing R-HSA-72312	0.406317528152	1.06402406899633	0.237423312883436	0.533486772219131	0.0719516678892624	199	199	up	RPL30;RPS27L;RPL22L1;NOP10;RPS12;RIOK3;FAU;RPS13;SNU13;TRMT10C;EXOSC4;RPS5;RSL24D1;RPS27A;RPL18;UBA52;RPS11;RPL36AL;RPL15;RPS23;RPL23A;DIMT1;RPS20;MRM3;RPS19;RPS16;RPP21;RPS28;RPL26L1;CSNK1D;UTP3;RIOK2;LTV1;RPL27A;NOB1;NHP2;RPL13A;RPS6;RPP25;DIS3;DCAF13;RPL32;GAR1;RIOK1;NIP7;RPS25;EMG1;UTP15;DDX49;RPL7;RPL8;PNO1;UTP4;BYSL;RPP38;RPL39L;EXOSC5;RPP30;BUD23;ISG20L2;RPLP2;RPL19;EXOSC1	HCC1143	endpoint_anchor_vs_middle	endpoint_anchor	middle	reactome	mean_signed_shift_positive_category_minus_negative_category	exploratory response-program contrast; not a causal mechanism or target-membership enrichment claim	0.5334867722191301	rRNA processing	0.5334867722191301	0.2728763444184419	3
rRNA Processing R-HSA-72312	-0.774182166855291	-1.83754130444719	1e-10	1.16095155705718e-08		199	199	down	RPS3;RPL23;RPL3;RPL10A;RPS15A;RPS14;RPL14;RPL26;RPS12;RPL34;RPL11;RPS8;RPL9;RPL7A;RPS23;RPL27A;RPS29;RRP7A;RPL35A;RPL37A;RPS24;RPL23A;RPL19;RPL12;RPS9;BUD23;RPL37;RPL29;RPL21;RPL41;RRP36;RPL7;RPL18A;RPS3A;RPS17;RPL13A;NOL11;RPL32;RPP21;RPS28;RPL15;EMG1;RPS2;RPS25;RRP1B;EXOSC7;RPL30;RPS4X;RPL39;RPL27;PNO1;RPL8;RPL36A;LTV1;RPL22L1;RPS7;NAT10;THUMPD1;MPHOSPH10;WDR12;RPS27;RPLP1;RPL4;PES1;RIOK1;UTP6;UTP25;SNU13;RPL28;EXOSC3;NOL9;ISG20L2;RPL22;RPS27A;WDR43;NOP58;PELP1;RPS20;RPL5;EXOSC10;ELAC2;RPS11;DCAF13;RCL1;RPLP0;RPL18;UTP14A;WDR36;TEX10;LAS1L;NOP56;PDCD11;BYSL;FTSJ3;NSUN4;RPP30;IMP4;SPPL2A;RPS10;EXOSC6;MTREX;RPL31;HSD17B10;RPS6;RPS5;ERI1;MPHOSPH6;RPSA;UTP20;HEATR1;DDX56;NOC4L;RPL35;NOL12;RPS19;NOB1;EXOSC5;NOP2;TRMT10C;RSL24D1;RPL38	HCC38	endpoint_anchor_vs_middle	endpoint_anchor	middle	reactome	mean_signed_shift_positive_category_minus_negative_category	exploratory response-program contrast; not a causal mechanism or target-membership enrichment claim	1.1609515570571826e-08	rRNA processing	1.1609515570571826e-08	7.935185901658224	3
Cell Cycle, Mitotic R-HSA-69278	-0.686514264402408	-1.63488120265162	1.19617310243854e-09	1.70095815166761e-06	0.788186810800237	488	523	down	HSP90AA1;TUBA1B;TYMS;HSP90AB1;SPDL1;CENPF;TK1;SMC4;HMMR;LMNA;PSMA1;PSMD2;LMNB1;PRIM1;TPX2;MCM4;TUBB;SMC1A;CCND1;BIRC5;PCNA;PMEPA1;TMPO;PSMB1;PSME1;CCNB2;PSMC5;SDCCAG8;RANGAP1;MYBL2;CDC20;SET;TUBB4B;SKA2;MCM5;NUDC;CCNB1;ZWINT;NDC80;HDAC1;PRKCA;CENPU;RBL1;ITGB3BP;RFC3;CENPE;XPO1;DHFR;SSNA1;RAN;MCM7;PSMC1;GMNN;PSME4;TPR;RRM2;MCM10;GINS1;MZT2B;AHCTF1;YWHAE;KANSL1;PHLDA1;NCAPG;KIF23;ORC3;SPC25;DYNC1H1;MZT2A;PSMA4;CLASP1;PSMD11;RPA3;GINS2;MCM6;PSMA5;ALMS1;POLD2;KIF18A;MCM3;MNAT1;CDC45;PLK1;PSMD12;CEP135;AURKA;CCNA2;PSMB7;FBXO5;GTSE1;KNL1;PPP2R5E;NUP107;DBF4;KPNB1;PSMB9;HAUS8;PSMB4;PPP1R12A;NUP62;PSMB3;BUB1;POLA1;SUMO1;MCPH1;CDC25B;CCP110;KIF2A;USO1;TFDP1;PSMB5;CDT1;AKT1;NCAPG2;DCTN1;PPP2R5A;E2F1;TUBGCP5;RAB8A;CHMP2A;CDK6;CEP70;PSMC3;NDC1;CEP290;SEC13;TUBB6;PRIM2;CCNE2;TUBG1;ESCO2;PPP1R12B;KIF2C;RBBP4;RB1;CTDNEP1;POLE;GINS4;POLA2;NUP88;PSMA3;LYN;CEP192;KNTC1;PSMA2;FOXM1;PSME2;MCM8;RCC2;PPP1CB;CENPM;CHMP2B;NCAPD2;CDK4;EML4;PSMD3;PSMD14;CKAP5;RFC5;CEP57;RANBP2;LBR;CEP250;HDAC8;POLD1;PSMD4;PPP2R5C;RCC1;MASTL;KIF20A;CETN2;CENPN;KMT5A;TOP2A;NINL;SLC19A1;SEH1L;BUB1B;ZWILCH;LPIN2;STAG2;NUP160;FEN1;GSK3B;HAUS4;PDS5B;DSN1;NUP210;NUP188;NUP205;AURKB;CENPK;ANAPC7;CDK2;PCNT;PDS5A;NUP37;NCAPD3;CDC7;HAUS1;SKP2;MAPK1;ERCC6L;CDK5RAP2;BTRC;PPP2R2D;CLASP2;POLE2;NUP98;EP300;SMC3;POLD3;RBL2;CSNK2A2;NEK2;SEM1;CEP152;NCAPH;CDC16;SPAST;PCM1;CUL1;DYRK1A;YWHAG;TUBA4A;NUP153;AAAS;PLK4;E2F5;CCNE1;UBE2I;ANKLE2;ANAPC10;NUP43;CEP131;NUP155;NEK6;ODF2;NUP42;ANAPC1;NUP35;PSMC4;ESPL1;BANF1;DYNC1LI2;AKT3;SPC24;CDKN2C;PSMB8;PSMB2;TUBGCP6;CEP78;PSMD10;CDC6;ORC4;CDK11B;CENPO;TUBA1C;INCENP;PSMD9;CENPP;NUP93;HAUS5;CEP72;RAD21;B9D2;SFI1;NEK7	HCC1143	endpoint_anchor_vs_middle	endpoint_anchor	middle	reactome	mean_signed_shift_positive_category_minus_negative_category	exploratory response-program contrast; not a causal mechanism or target-membership enrichment claim	1.700958151667604e-06	Mitotic cell cycle	1.700958151667604e-06	5.769306371116065	4
Cell Cycle, Mitotic R-HSA-69278	-0.567075229404943	-1.40638425058567	7.77048017665771e-05	0.0035294231898533	0.538434096309916	488	523	down	TYMS;PSMA1;KPNB1;TUBB;PSMC6;RAD21;HSP90AB1;SMC3;TMPO;SMC1A;SET;PSMB1;RAB8A;YWHAE;PSMD4;PSMA2;PSMD2;PCNA;PSMA3;HSP90AA1;PSMD3;NUP160;TFDP2;PRKCA;PSMC5;DYNC1I2;PSMC3;PSMD14;MASTL;MAPK1;MZT2A;PSMD13;CUL1;MCM4;CEP78;CABLES1;PSMB6;POLD2;SMC4;PSMC1;DHFR;GMNN;TPR;LMNA;POLR1B;NCAPG2;RBX1;TUBA1C;PPP1CB;MCM10;MCM5;LMNB1;BIRC5;DCTN1;HAUS1;STAG2;RANGAP1;PSME4;GINS1;TUBA1B;PSMD12;NUP62;BUB3;RANBP2;SSNA1;CDC25B;RPS27;ZWINT;PSMB7;RFC5;RAB2A;GINS2;DYNC1H1;DYNC1LI1;CTDNEP1;RBBP4;NEK6;HAUS5;AKAP9;HAUS8;CCNA2;FEN1;RPS27A;NUDC;NDC80;CDC45;TFDP1;YWHAG;ANAPC1;CDC6;PLK1;XPO1;MYC;CDC16;HAUS2;PSMD6;CSNK2A2;CDC26;SKP1;CDC23;CEP192;CEP290;PLK4;RBL1;PCNT;DNA2;NIPBL;ARPP19;CDK5RAP2;KIF18A;TUBGCP3;CEP135;KNTC1;RRM2;CLIP1;PCM1;RAN;ANAPC11;TNPO1;CENPE;MNAT1;CENPI;LIN54;LIN9;ANAPC10;SEM1;CDK2;NCAPG;MAPK3;KANSL1;NME7;NDC1;RBL2;ABL1;SFI1;PSME3;PSMB2;BUB1;NUP50;DBF4;PPP2R2A;CKS1B;CEP57;NINL;HDAC8;NUMA1;DSN1;PSMD11;DYNC1I1;LBR;PRIM2;PRIM1;NEDD1;TAOK1;EMD;E2F4;ANAPC5;TK1;PSMA7;PSMB10;NUP54;CCNE1;CENPA;PPP2R2D;SUMO1;CENPF;GTSE1;PKMYT1;HDAC1;CENPL;MCM6;UBE2I;RPA3;LPIN1;GOLGA2;FBXW11;NCAPD2;GINS4;MZT1;KNL1;TUBB8;NUP98;NUP133;INCENP;SEC13;NCAPD3;PHLDA1;RFC3;LIN37;PPP2R1A;ANAPC4;CHMP2B;CDK4;ORC4;RCC1;CDK11B;LEMD3;CDKN1B;POLD4;RCC2;NUP153;TUBGCP2;POLE;ANAPC15;SPC25;WAPL;CLASP1;KIF2A;TUBB6;CENPM;USO1;RAB1A;TUBB4B;SKP2;CENPN;MCM3;PPP2CB;POLE2;PPP1CC;CDC25C;ODF2;CDK6;PSMB3;PPP2CA;ORC3;MIS12;CEP72;CENPU;NUP188;ACTR1A;PSMB5;CDC7;NUP205;GORASP1;SLC19A1;NDEL1	HCC38	endpoint_anchor_vs_middle	endpoint_anchor	middle	reactome	mean_signed_shift_positive_category_minus_negative_category	exploratory response-program contrast; not a causal mechanism or target-membership enrichment claim	0.0035294231898533	Mitotic cell cycle	0.0035294231898533	2.452296265131337	4
