pathway	ES	NES	pval	padj	log2err	size	n_genes_in_set	direction	leading_edge	context	contrast_id	positive_category	negative_category	collection	ranking_method	claim_boundary	padj_within_context_contrast	display_label	q_value	minus_log10_FDR	term_order
Cytoplasmic Translation (GO:0002181)	0.415977532524157	1.00851736243527	0.409315746084089	0.872098077674771	0.0434622887233228	98	101	up	RPL30;RPL22L1;RPS12;EIF4A2;FAU;RPS13;EEF1D;RPS5;RSL24D1;RPS27A;RPL18;UBA52;RPS11;RPL15;RPS23;EIF2S2;RPL23A;RPS20;RPS19;RPS16;RPS28;RPL26L1;RPL27A;RPL13A;RPS6;RPL32;RPS25;ETF1;RPL7;RPL8;EIF3M;EIF2B2;EIF2B5;RPLP2;RPL19	HCC1143	endpoint_anchor_vs_middle	endpoint_anchor	middle	gobp	mean_signed_shift_positive_category_minus_negative_category	exploratory response-program contrast; not a causal mechanism or target-membership enrichment claim	0.8720980776747722	"Cytoplasmic
translation"	0.8720980776747722	0.05943467080398039	0
Cytoplasmic Translation (GO:0002181)	-0.847710064343545	-1.89677335749392	1.04549248342676e-10	1.84477148700652e-07	0.839088935621274	98	101	down	RPS3;RPL23;RPL3;RPL10A;RPS15A;RPS14;RPL14;RPL26;RPS12;RPL34;RPL11;RPS8;RPL9;RPL7A;RPS18;RPS23;RPL27A;RPS29;RPL35A;RPL37A;RPS24;RPL23A;RPL19;RPL12;RPS9;RPL37;RPL29;RPL21;RPL41;RPL7;RPL18A;RPS3A;RPS17;RPL13A;RPL32;RPS28;RPL15;RPS2;RACK1;RPS25;RPL30;RPS4X;RPL39;RPL27;RPL8;RPL36A;RPS26;EIF4A1;RPL22L1;RPS7;RPS27;RPLP1;RPL4;RPL28;RPL22;RPS27A;EIF2S2;RPS20;RPL5;RPS11;RPLP0;RPL18	HCC38	endpoint_anchor_vs_middle	endpoint_anchor	middle	gobp	mean_signed_shift_positive_category_minus_negative_category	exploratory response-program contrast; not a causal mechanism or target-membership enrichment claim	1.844771487006518e-07	"Cytoplasmic
translation"	1.844771487006518e-07	6.7340574225013645	0
Macromolecule Biosynthetic Process (GO:0009059)	-0.473951915609633	-1.06451584787797	0.329173733947177	0.836324051187608	0.0236234755433422	183	189	down	EXT1;RPS3;RPL7A;EIF4G2;EEF2;RRBP1;RPS2;MRPL12;RPSA;RPL27;RPL36A;RPL35;EEF1B2;RPS8;EIF4G1;RPS26;RPL6;GSPT1;RPL34;FARSB;TSFM;RPS29;RPLP0;DTD1;RPL12;RPL3;RPL41;MRPS34;RPL37;RPS24;NACA;SRBD1;RPS3A;MRPL3;MRPL24;RPS4X;RPS9;PABPC4;MRPL11;RPL23;RPL5;B4GALT5;RPL36;EEF2K;RPS15A;COL5A1;RPS17;RPS7;RPL4;RPS15;ST3GAL4;AGO2;MRPS16;EEF1A1;RPS18;MRPL23;RPL28;RPS14;RPL14;RPL31;HBS1L;EEF1G;MRPL18;MRPL43;PDGFB;DDX18;MRPL42;MRRF;RPL38;RPL11;IGF2BP3;FUT9;TUFM;ABCF1;RPL26;RPL37A;MRPL40	HCC1143	endpoint_anchor_vs_middle	endpoint_anchor	middle	gobp	mean_signed_shift_positive_category_minus_negative_category	exploratory response-program contrast; not a causal mechanism or target-membership enrichment claim	0.8363240511876081	"Macromolecule
biosynthesis"	0.8363240511876081	0.07762541350115292	1
Macromolecule Biosynthetic Process (GO:0009059)	-0.762921505292863	-1.80298405229431	9.40181823497846e-10	1.10596721837463e-06	0.788186810800237	183	189	down	RPS3;RPL23;RPL3;RPL10A;RPS15A;MRPL18;RPS14;RPL14;RPL26;EEF1A1;RPS12;RPL34;EEF1B2;RPL11;EXT1;RPS8;RPL9;RPL7A;RPS18;RPS23;NACA;RPL27A;RPS29;EEF2;RPL35A;RPL37A;RPS24;DDX18;RPL23A;RPL19;RPL12;RPS9;RPL37;RPL29;RPL21;RPL41;KPNA4;RPL7;RPL18A;RPS3A;RPS17;RPL13A;EEF2K;RPL32;RPS28;RPL15;RPS2;IGF2BP3;MRPL3;RPS25;TSFM;RPL30;RPS4X;RPL39;MRPL12;RPL27;RPL8;FUT9;RPL36A;RPS26;ST3GAL2;EEF1G;RPS7;MRPL55;PTRH2;RPS27;TNIP1;RPLP1;RPL4;PABPC4;EIF4G2;MRPL43;RPL28;RRBP1;RPL22;RPS27A;RPS20;RPL5;MRRF;ST3GAL4;RPS11;RPLP0;RPL18;MRPS18A;GSPT1;EXT2;EIF4G1;MRPS34;RPS10;MRPS17;RPL31;RPS6;RPS5;RPSA;MRPL24;B4GALT5;RPL35;MRPL23;RPS19;INHBA;TUFM;MRPS33;MRPS18B;RSL24D1;EIF5AL1;RPL38	HCC38	endpoint_anchor_vs_middle	endpoint_anchor	middle	gobp	mean_signed_shift_positive_category_minus_negative_category	exploratory response-program contrast; not a causal mechanism or target-membership enrichment claim	1.105967218374633e-06	"Macromolecule
biosynthesis"	1.105967218374633e-06	5.956257745626256	1
Ribonucleoprotein Complex Biogenesis (GO:0022613)	0.47658784861604	1.18041876404203	0.111111111111111	0.710380930439295	0.0896376494762061	116	120	up	RPS19BP1;RPS12;RPS13;RBIS;RPF2;NOL7;SNU13;RPS5;RSL24D1;RPS27A;NGDN;PAK1IP1;RPS11;RPS23;DIMT1;RPS19;RPS16;RPS28;RPL26L1;UTP3;RIOK2;LTV1;ZNF622;RPS6;METTL17;WDR74;RIOK1;NIP7;RPS25;EMG1;UTP15;RPL7;PNO1;UTP4;LTO1;BYSL;MALSU1;GLUL	HCC1143	endpoint_anchor_vs_middle	endpoint_anchor	middle	gobp	mean_signed_shift_positive_category_minus_negative_category	exploratory response-program contrast; not a causal mechanism or target-membership enrichment claim	0.7103809304392972	"RNP-complex
biogenesis"	0.7103809304392972	0.14850870533213487	2
Ribonucleoprotein Complex Biogenesis (GO:0022613)	-0.736869092096524	-1.67628463895116	1.73755545525028e-05	0.0068131480017535	0.575610261071129	116	120	down	NPM1;RPS15A;RPS14;RPL14;RPL26;RPS12;RPL11;RPS8;RPS23;RRP7A;RPL35A;RPS24;RPS9;GTF3A;RRP36;RPL7;RPS3A;RPS17;RPS28;EMG1;RPS25;RPS4X;PNO1;MRTO4;LTV1;RPS7;NAT10;MPHOSPH10;WDR12;RPS27;GTPBP4;PES1;RIOK1;UTP6;SNU13;NOC2L;RPS27A;WDR43;NOP58;TMA16;XPO1;RPL5;EXOSC10;RPS11;RCL1;WDR36;LIN9;NOP56;PAK1IP1;BYSL;IMP4;SPPL2A;NVL;CUL4B;NOP16;NAF1;SURF6;RPS6;RPS5;UTP20;HEATR1;MALSU1;RPS19;NOP2;SHQ1;RSL24D1;RPL38	HCC38	endpoint_anchor_vs_middle	endpoint_anchor	middle	gobp	mean_signed_shift_positive_category_minus_negative_category	exploratory response-program contrast; not a causal mechanism or target-membership enrichment claim	0.0068131480017535	"RNP-complex
biogenesis"	0.0068131480017535	2.166652176795709	2
Ribosome Biogenesis (GO:0042254)	0.478458348280583	1.22790764984265	0.053202479338843	0.625438002904254	0.141766537975907	156	161	up	RPS19BP1;ESF1;RPS12;RPS13;SBDS;NOP53;RBIS;RPF2;EIF5;NOL7;SNU13;EXOSC4;RPS5;RSL24D1;RPS27A;NGDN;PAK1IP1;RPS11;RPS23;DIMT1;PIN4;MRM3;RPS19;RPS16;RPS28;RPL26L1;UTP3;RIOK2;LTV1;ZNF622;NOB1;RPS6;METTL17;DIS3;DCAF13;WDR74;RIOK1;NIP7;RPS25;EMG1;PIH1D1;UTP15;DDX49;RPL7;PNO1;UTP4;LTO1;BYSL;EXOSC5;MALSU1;DHX29;GLUL	HCC1143	endpoint_anchor_vs_middle	endpoint_anchor	middle	gobp	mean_signed_shift_positive_category_minus_negative_category	exploratory response-program contrast; not a causal mechanism or target-membership enrichment claim	0.6254380029042539	"Ribosome
biogenesis"	0.6254380029042539	0.20381573366203132	3
Ribosome Biogenesis (GO:0042254)	-0.711089829971854	-1.65934998249502	4.84462685338407e-06	0.002137086020699	0.610526878385931	156	161	down	NPM1;RPS15A;RPS14;RPL14;RPL26;RPS12;RPL11;RPS8;RPS23;RRP7A;RPL35A;RPS24;RPS9;GTF3A;RRP36;RPL7;RPS3A;RPS17;EIF5;RPS28;EMG1;RPS25;EIF1AX;EXOSC7;RPS4X;RPL27;PNO1;MRTO4;LTV1;RPS7;NAT10;MPHOSPH10;WDR12;RPS27;GTPBP4;EIF2A;PES1;RIOK1;UTP6;SNU13;EXOSC3;DDX10;DHX29;NOC2L;RPS27A;WDR43;NOP58;PELP1;TMA16;XPO1;RPL5;EXOSC10;RPS11;DCAF13;RCL1;WDR36;LAS1L;NOP56;PAK1IP1;BYSL;EIF5B;IMP4;SPPL2A;NVL;WDR55;CUL4B;MTREX;NOP16;NAF1;SURF6;RPS6;RPS5;UTP20;DDX54;HEATR1;NOC4L;MALSU1;RPS19;NOB1;EXOSC5;NOP2;NOL8;RSL24D1	HCC38	endpoint_anchor_vs_middle	endpoint_anchor	middle	gobp	mean_signed_shift_positive_category_minus_negative_category	exploratory response-program contrast; not a causal mechanism or target-membership enrichment claim	0.002137086020699	"Ribosome
biogenesis"	0.002137086020699	2.6701779965242634	3
RNA Processing (GO:0006396)	-0.512332755107087	-1.18522528752858	0.100857632933105	0.693895872652018	0.0464008681173698	284	291	down	HNRNPA2B1;HNRNPU;RSRC1;SFPQ;HNRNPR;SRSF7;HNRNPD;SNRPA1;SRSF9;RBM3;SF3B1;SNRNP25;RPL27;DKC1;HNRNPF;HNRNPC;PARN;MBNL1;RRP7A;MAGOHB;PRKCA;HNRNPK;HNRNPDL;HNRNPH1;FUS;DDX39B;RBMS1;PRPF8;SRSF1;PRPF6;NOP56;MTREX;NOL8;SNRPD3;SF3B3;FTO;TSEN2;NOP14;SRPK1;NSUN2;ACIN1;SRSF4;LAS1L;RPS24;FARS2;SNRPD2;ADARB1;XRN2;RBMS2;ADARB2;FBL;TCERG1;PRMT1;PABPC4;DDX54;INTS11;EBNA1BP2;KHSRP;TARDBP;INTS6;DDX17;TENT4A;SNRPF;SRPK2;NOLC1;NOP58;RPL5;LUC7L3;CELF1;EXOSC10;DIS3L;FASTK;CPSF6;SNRPB;RBM8A;MPHOSPH10;SETX;RBM6;RPS17;RPS7;ATXN1;RPS15;DHX15;MRTO4;HNRNPL;PELP1;DTWD2;SRRM1;INTS7;WDR55;WDR18;INTS10;RPL14;LSM6;SMU1;CHD8;SF3A3;NOC4L;RNPS1;NCBP1;CMTR1;EXOSC9;NOVA1;EXOSC3;CDK12;TSEN54;EXOSC7;REXO4;WDR36;RRP36;YJU2;BICD1;EXOSC8;SF3B2;RPL11;GEMIN2;SYNCRIP;PPP1R9B	HCC1143	endpoint_anchor_vs_middle	endpoint_anchor	middle	gobp	mean_signed_shift_positive_category_minus_negative_category	exploratory response-program contrast; not a causal mechanism or target-membership enrichment claim	0.6938958726520151	RNA processing	0.6938958726520151	0.1587056957202465	4
RNA Processing (GO:0006396)	-0.646422804674216	-1.56873028046383	4.18479300321945e-06	0.0021097335011944	0.610526878385931	284	291	down	RBM3;RSRC1;HNRNPU;HNRNPK;RPL14;RPL26;HNRNPF;RPL11;HNRNPD;RRP7A;RPL35A;RPS24;RNPS1;MAGOHB;HNRNPA2B1;HNRNPDL;SNRPD3;TCERG1;ZCRB1;HNRNPR;SF3B1;RRP36;LSM3;RPL7;PRKCA;SRSF5;SF3B3;RPS17;RPP21;RPS28;SETX;EMG1;MBNL1;RPS25;SON;EXOSC7;RPL27;KHSRP;CPSF6;HNRNPL;SRSF4;MRTO4;SF3A3;SNRPF;SNRNP40;RPS7;INTS12;MPHOSPH10;RPS27;INTS1;SYNCRIP;SF3B4;PABPC4;PES1;RBM39;ADAT1;EXOSC3;DDX10;ISG20L2;RBMS1;INTS6;DDX23;RNGTT;NOP58;NSUN2;TARDBP;PELP1;RPL5;SFPQ;CSTF3;EXOSC10;RRAGC;FTO;DCAF13;FASTK;SSB;RBM6;FARS2;TBRG4;SRSF7;WDR36;DHX15;LAS1L;LUC7L3;NUFIP1;NOP56;DHX16;FASTKD1;WTAP;BYSL;SNRPG;RPP30;IMP4;INTS11;ZC3H13;FUS;ADAR;SPPL2A;TSEN2;NVL;TENT4A;SNRPA1;EXOSC6;INTS7;WDR55;CDK12;DUSP11;MTREX;CMTR1;HNRNPH3;SNRNP25;RPS6;DIS3L;UTP20;PCIF1;DDX54;LSM6;NOC4L;MTPAP;M1AP;LSM5;RPS19;NOB1;EXOSC5;INTS3;PPIG;PABPN1;NOP2;YJU2;TRMT10C;NOL8;ZNF830;RBM5	HCC38	endpoint_anchor_vs_middle	endpoint_anchor	middle	gobp	mean_signed_shift_positive_category_minus_negative_category	exploratory response-program contrast; not a causal mechanism or target-membership enrichment claim	0.0021097335011944	RNA processing	0.0021097335011944	2.6757724007546275	4
