pathway	ES	NES	pval	padj	log2err	size	n_genes_in_set	direction	leading_edge	context	contrast_id	positive_category	negative_category	collection	ranking_method	claim_boundary	padj_within_context_contrast
'De Novo' Post-Translational Protein Folding (GO:0051084)	-0.80528510322509	-1.47427292141084	0.0061572907920515	0.301792766738191	0.218259775284787	36	36	down	HSPA8;HSPA1A;CCT3;PTGES3;HSPE1;CCT6A;CCT5;SDF2L1;DNAJC7;DNAJB1;CCT2;UGGT1;HSPA1B;DNAJB14;HSPA14;HSPA5;CCT8;ENTPD5;CCT7;HSPA9;HSPA2;DNAJB12	HCC1143	Q1_anchor_vs_Q4_low_information	Q1_anchor	Q4_low_information	gobp	mean_signed_shift_positive_category_minus_negative_category	exploratory response-program contrast; not a causal mechanism or target-membership enrichment claim	0.3017927667381909
+ Reg of Adaptive Imm Resp Based on Som Recomb of Imm Rcptrs Built Frm IgSF Domains (GO:0002824)	0.330142831360759	0.56836399164426	0.97606155599886	0.984377434694808	0.0199915283249277	14	14	up	IL23A;IL23R;SLC11A1	HCC1143	Q1_anchor_vs_Q4_low_information	Q1_anchor	Q4_low_information	gobp	mean_signed_shift_positive_category_minus_negative_category	exploratory response-program contrast; not a causal mechanism or target-membership enrichment claim	0.9843774346948077
+ Reg of Insulin Secretion Inv in Cellular Resp to Glucose Stimulus (GO:0035774)	-0.48720133651494	-0.760208736399097	0.811955168119552	0.933894357997248	0.0138183655361519	13	13	down	STX4;PLA2G6;PPP3CB;TRPM4;ANO1	HCC1143	Q1_anchor_vs_Q4_low_information	Q1_anchor	Q4_low_information	gobp	mean_signed_shift_positive_category_minus_negative_category	exploratory response-program contrast; not a causal mechanism or target-membership enrichment claim	0.9338943579972482
+ Reg of Myeloid Leukocyte Cytokine Production Inv in Imm Resp (GO:0061081)	-0.473835879831466	-0.757231267101029	0.816529178124045	0.934458551992932	0.0134653183585201	15	16	down	MAVS;RTN4;CAMK4	HCC1143	Q1_anchor_vs_Q4_low_information	Q1_anchor	Q4_low_information	gobp	mean_signed_shift_positive_category_minus_negative_category	exploratory response-program contrast; not a causal mechanism or target-membership enrichment claim	0.9344585519929324
+ Reg of Nuclear-Transcribed mRNA Cat Proc, Deadenylation-Dep Decay (GO:1900153)	-0.435482886626605	-0.663533478342757	0.89979322411325	0.955973203940315	0.0126425503918015	11	11	down	CNOT7;TNRC6B;ZFP36L1;CNOT1	HCC1143	Q1_anchor_vs_Q4_low_information	Q1_anchor	Q4_low_information	gobp	mean_signed_shift_positive_category_minus_negative_category	exploratory response-program contrast; not a causal mechanism or target-membership enrichment claim	0.955973203940315
+ Reg of Phosphatidylinositol 3-Kinase/Prot Kinase B Signal Transduction (GO:0051897)	-0.618215690115063	-1.32797152904371	0.0229728192880701	0.517221163710978	0.100604308574775	161	162	down	EGFR;PTK2;IGF1R;ITGB1;PARK7;EFNA5;MAZ;THBS1;AXL;PRKCA;C1QBP;CPNE1;GCNT2;AMBRA1;MTOR;PTPRJ;RTN4;MTDH;MYDGF;CCDC88A;PTPN11;VAV2;IRS1;HIP1;OSBPL8;MFHAS1;APP;GAS6;RYK;SOS1;EXTL3;IL18;TCF7L2;PRKD1;F2R;PIGU;MST1R;VAV3	HCC1143	Q1_anchor_vs_Q4_low_information	Q1_anchor	Q4_low_information	gobp	mean_signed_shift_positive_category_minus_negative_category	exploratory response-program contrast; not a causal mechanism or target-membership enrichment claim	0.5172211637109766
+ Reg of Transmembrane Receptor Prot Serine/Threonine Kinase Sgnlng Pway (GO:0090100)	-0.406859217558254	-0.820562008031374	0.806671721000758	0.933894357997248	0.0108594668516925	81	84	down	HSP90AB1;HIPK2;SMAD3;PPP3CA;THBS1;TGFBR2;TTK;TWSG1;BMPR1A;TGFBR3;UBE2O;GDF11;EP300;ENG;STK11;NUP93;BMP2;KCP;RNF111	HCC1143	Q1_anchor_vs_Q4_low_information	Q1_anchor	Q4_low_information	gobp	mean_signed_shift_positive_category_minus_negative_category	exploratory response-program contrast; not a causal mechanism or target-membership enrichment claim	0.9338943579972482
- Reg of Adenylate Cyclase-Activating GPCR Sgnlng Pway (GO:0106072)	-0.548207262416359	-0.826510003051441	0.738488689234718	0.931240335752626	0.0156236759236785	10	10	down	MGRN1;ATP2B4;CRTC3;PDE4B;MRAP	HCC1143	Q1_anchor_vs_Q4_low_information	Q1_anchor	Q4_low_information	gobp	mean_signed_shift_positive_category_minus_negative_category	exploratory response-program contrast; not a causal mechanism or target-membership enrichment claim	0.9312403357526252
- Reg of Endoplasmic Reticulum Stress-Induced Intrinsic Apoptotic Sgnlng Pway (GO:1902236)	0.548166449123539	0.957325043726926	0.521122685185185	0.90285692432448	0.0307874726068993	15	15	up	XBP1;HERPUD1;SELENOS;TMBIM6;TXNDC12	HCC1143	Q1_anchor_vs_Q4_low_information	Q1_anchor	Q4_low_information	gobp	mean_signed_shift_positive_category_minus_negative_category	exploratory response-program contrast; not a causal mechanism or target-membership enrichment claim	0.9028569243244812
- Reg of Intrinsic Apoptotic Sgnlng Pway in Resp to DNA Damage by P53 Cls Mediator (GO:1902166)	0.489451561588609	0.80257654333856	0.716823687752355	0.930737121904807	0.023950121664712	11	12	up	S100A9;TAF9;CD74;ZNF385A;MUC1	HCC1143	Q1_anchor_vs_Q4_low_information	Q1_anchor	Q4_low_information	gobp	mean_signed_shift_positive_category_minus_negative_category	exploratory response-program contrast; not a causal mechanism or target-membership enrichment claim	0.930737121904807
