pathway	ES	NES	pval	padj	log2err	size	n_genes_in_set	direction	leading_edge	context	contrast_id	positive_category	negative_category	collection	ranking_method	claim_boundary	padj_within_context_contrast
Adipogenesis	-0.385533407955238	-0.842562741168286	0.830032090295452	0.846971520709645	0.0083289178346403	199	200	down	TKT;IMMT;GPX4;TALDO1;CYC1;ETFB;UQCRQ;DECR1;GPHN;TST;CS;SCP2;ITSN1;PPARG;SLC19A1;ACLY;NMT1;PFKL;NDUFA5;RREB1;AGPAT3;SAMM50;DHRS7B;GPD2;SLC25A10;CMPK1;G3BP2;IDH1;HIBCH;ME1;PRDX3;ELOVL6;UBQLN1;SLC25A1;ACADM;UCP2;SULT1A1;DHCR7;CAVIN2;UQCRC1;DLAT;MTCH2;SCARB1;LAMA4;MYLK;PHYH;CAVIN1;MAP4K3;ECHS1;SDHC;AIFM1;YWHAG;COL4A1;IDH3A;ACO2;ABCB8;ALDOA;NABP1;BAZ2A;SORBS1;DGAT1;POR;COQ3;ELMOD3;PPP1R15B;IDH3G;ATP1B3;CDKN2C;FAH;CAT;TOB1;GPAM;PTCD3;PFKFB3;CPT2;NDUFAB1;MCCC1;ADIPOR2;ACADS;VEGFB;COQ9;ESYT1;PHLDB1;MIGA2;UCK1;PREB	HCC1143	Q1_anchor_vs_Q4_low_information	Q1_anchor	Q4_low_information	hallmark	mean_signed_shift_positive_category_minus_negative_category	exploratory response-program contrast; not a causal mechanism or target-membership enrichment claim	0.846971520709645
Allograft Rejection	-0.365992209516092	-0.798564631123763	0.906888888888889	0.906888888888889	0.0068480914817673	196	200	down	EIF4G3;EGFR;NPM1;FLNA;EIF5A;EIF3A;STAT1;MTIF2;BRCA1;AKT1;GALNT1;GLMN;LYN;IFNGR2;HIF1A;ETS1;RPS3A;HDAC9;IL18;ABCE1;F2R;MAP3K7;IL27RA;RPL39;MRPL3;TAP2;EIF3J	HCC1143	Q1_anchor_vs_Q4_low_information	Q1_anchor	Q4_low_information	hallmark	mean_signed_shift_positive_category_minus_negative_category	exploratory response-program contrast; not a causal mechanism or target-membership enrichment claim	0.906888888888889
Androgen Response	-0.569234120081257	-1.17546160674692	0.179424372320882	0.373800775668504	0.0348294155746012	99	100	down	ALDH1A3;KRT19;XRCC6;XRCC5;INPP4B;PMEPA1;PDLIM5;SMS;FADS1;CCND1;ACTN1;DBI;MAP7;ELL2;PA2G4;AKT1;AZGP1;DHCR24;UAP1;STK39;CDK6;ZMIZ1;SPCS3;SEC24D;ITGAV;HMGCS1;PIAS1;B4GALT1;APPBP2;ABHD2;BMPR1B;FKBP5;CENPN;TNFAIP8;ACSL3;HMGCR	HCC1143	Q1_anchor_vs_Q4_low_information	Q1_anchor	Q4_low_information	hallmark	mean_signed_shift_positive_category_minus_negative_category	exploratory response-program contrast; not a causal mechanism or target-membership enrichment claim	0.3738007756685041
Angiogenesis	-0.656574951897991	-1.1992762058462	0.199691054627159	0.399382109254318	0.0354412126618991	36	36	down	S100A4;PTK2;NRP1;VAV2;JAG1;APP;ITGAV;LRPAP1;TNFRSF21;JAG2	HCC1143	Q1_anchor_vs_Q4_low_information	Q1_anchor	Q4_low_information	hallmark	mean_signed_shift_positive_category_minus_negative_category	exploratory response-program contrast; not a causal mechanism or target-membership enrichment claim	0.3993821092543179
Apical Junction	-0.632843419439056	-1.38327343785918	0.0048688724134115	0.0304304525838221	0.218259775284787	200	200	down	EGFR;ACTB;PTK2;ITGB4;MYH9;EPB41L2;VCL;ITGB1;NF2;EXOC4;PFN1;ITGA3;ACTG1;ACTN4;PIK3CB;RASA1;ACTN1;LAMA3;RSU1;CDK8;NEGR1;CDH3;DLG1;FSCN1;TGFBI;CNN2;GAMT;PTEN;YWHAH;VAV2;ADAM9;IRS1;MAP3K20;MAPK14;SYMPK;TJP1;SIRPA;ADRA1B;MSN;CTNNA1;GNAI2;NF1;B4GALT1;TSPAN4;GTF2F1;SLIT2;BAIAP2;ADAM15;MPP5;CALB2;TUBG1;PARVA;SHC1;MAP4K2;MYH10;CNTN1;PIK3R3;STX4;CTNND1;HRAS;EVL;JUP;PPP2R2C;TAOK2;CD99;CLDN7;CDH11;PKD1;RAC2;TSC1;NECTIN1;CERCAM;SGCE;AKT3;CADM2;NLGN2;NECTIN3	HCC1143	Q1_anchor_vs_Q4_low_information	Q1_anchor	Q4_low_information	hallmark	mean_signed_shift_positive_category_minus_negative_category	exploratory response-program contrast; not a causal mechanism or target-membership enrichment claim	0.0304304525838218
Apical Surface	-0.565415060993372	-1.06372856122145	0.385344710822159	0.564172669435827	0.0228820998140161	44	44	down	EFNA5;CRYBG1;BRCA1;SULF2;NCOA6;ADAM10;LYN;RTN4RL1;APP;B4GALT1;ATP8B1;SRPX;LYPD3;EPHB4;CROCC;DCBLD2;ADIPOR2;MDGA1;AFAP1L2	HCC1143	Q1_anchor_vs_Q4_low_information	Q1_anchor	Q4_low_information	hallmark	mean_signed_shift_positive_category_minus_negative_category	exploratory response-program contrast; not a causal mechanism or target-membership enrichment claim	0.5641726694358272
Apoptosis	0.488866447090447	1.27342469591263	0.023462783171521	0.117313915857605	0.269842314478839	159	161	up	GADD45A;DDIT3;SOD2;PMAIP1;ISG20;TIMP1;BTG3;LGALS3;VDAC2;ATF3;SQSTM1;JUN;HMOX1;IRF1;GADD45B;MCL1;CDKN1A;SAT1;BCL2L1;CYLD;CLU;TNF;PEA15;TIMP2;TXNIP;IL6;PDCD4;CDKN1B;BCL10;TNFRSF12A;IFNGR1;BNIP3L;RELA;SPTAN1;ETF1;BCL2L2;CASP4;BID;RHOB;WEE1	HCC1143	Q1_anchor_vs_Q4_low_information	Q1_anchor	Q4_low_information	hallmark	mean_signed_shift_positive_category_minus_negative_category	exploratory response-program contrast; not a causal mechanism or target-membership enrichment claim	0.117313915857605
Bile Acid Metabolism	-0.450066218083529	-0.939891106832487	0.601777350786598	0.699741105565811	0.0143970469252581	112	112	down	IDH2;FADS1;BCAR3;FDXR;SCP2;PXMP2;PEX26;DHCR24;IDH1;ATXN1;CYP7B1;SLC23A2;SLC27A5;SLC35B2;PHYH;ABCA3;GCLM;FADS2;TFCP2L1;ALDH9A1;LONP2;HSD17B6;NEDD4;IDI1;CAT;ABCD3;PECR;PEX11A;PEX1;ACSL1;ABCA5;PAOX;ISOC1;DIO2;RXRA;BMP6;EFHC1	HCC1143	Q1_anchor_vs_Q4_low_information	Q1_anchor	Q4_low_information	hallmark	mean_signed_shift_positive_category_minus_negative_category	exploratory response-program contrast; not a causal mechanism or target-membership enrichment claim	0.6997411055658116
Cholesterol Homeostasis	0.431554432925133	1.02242900733632	0.373800383877159	0.564172669435827	0.0496531608165045	74	74	up	MAL2;PLAUR;PNRC1;LGALS3;ATF3;TRIB3;FABP5;CD9;CXCL16;STX5;CLU;NFIL3;TNFRSF12A;ECH1;LGMN;ANXA5	HCC1143	Q1_anchor_vs_Q4_low_information	Q1_anchor	Q4_low_information	hallmark	mean_signed_shift_positive_category_minus_negative_category	exploratory response-program contrast; not a causal mechanism or target-membership enrichment claim	0.5641726694358272
Coagulation	0.408512746837147	1.04856041394638	0.292786421499293	0.542197076850542	0.0694651820488472	138	138	up	TIMP1;ARF4;CD9;MAFF;S100A1;ISCU;CLU;ITGA2;RAC1;MSRB2;LAMP2;GNG12;CFB;C1R;C3;DUSP14;LGMN;PROS1;CSRP1;PECAM1;TFPI2;USP11;BMP1;MMP7;ANXA1;GSN;MMP2;PEF1;SIRT2;FN1	HCC1143	Q1_anchor_vs_Q4_low_information	Q1_anchor	Q4_low_information	hallmark	mean_signed_shift_positive_category_minus_negative_category	exploratory response-program contrast; not a causal mechanism or target-membership enrichment claim	0.5421970768505426
