pathway	ES	NES	pval	padj	log2err	size	n_genes_in_set	direction	leading_edge	context	contrast_id	positive_category	negative_category	collection	ranking_method	claim_boundary	padj_within_context_contrast
Adipogenesis	0.406632166857342	1.07191071972142	0.218956208758248	0.364927014597081	0.0741759589930859	199	200	up	GADD45A;APOE;COX6A1;DDT;RIOK3;GHITM;MGST3;SDHB;ATP5PO;UQCR10;UQCR11;GRPEL1;JAGN1;RAB34;COX8A;PIM3;ARL4A;DHRS7;AK2;DNAJB9;UBC;MGLL;PLIN2;STOM;COQ5;TANK;NDUFB7;RTN3;MDH2;REEP5;QDPR;IFNGR1;ACAA2;MRPL15;SLC1A5;PDCD4;COX7B;NDUFS3;GPAT4;ESRRA;APLP2;RMDN3;DRAM2;PEMT;MTCH2	HCC1143	Q1_anchor_vs_middle	Q1_anchor	middle	hallmark	mean_signed_shift_positive_category_minus_negative_category	exploratory response-program contrast; not a causal mechanism or target-membership enrichment claim	0.36492701459708
Allograft Rejection	-0.403016842934939	-0.912790416187844	0.678579995202687	0.706854161669465	0.0126399778868536	196	200	down	EGFR;EIF4G3;FLNA;EIF5A;HDAC9;EIF3A;GALNT1;STAT1;MTIF2;GLMN;HIF1A;BRCA1;AKT1;RPS3A;MRPL3;RPS9;IFNGR2;LYN;NPM1;ABCE1;F2R;TGFB2	HCC1143	Q1_anchor_vs_middle	Q1_anchor	middle	hallmark	mean_signed_shift_positive_category_minus_negative_category	exploratory response-program contrast; not a causal mechanism or target-membership enrichment claim	0.7068541616694656
Androgen Response	-0.581474399900221	-1.23477699761792	0.110772895712017	0.260569633221775	0.0477499829963807	99	100	down	ALDH1A3;KRT19;INPP4B;XRCC5;XRCC6;SMS;CCND1;PMEPA1;FADS1;PDLIM5;ELL2;ACTN1;MAP7;DBI;ITGAV;AKT1;SPCS3;CDK6;B4GALT1;ACSL3;VAPA;DHCR24;UAP1;ZMIZ1;KRT8;CENPN;SEC24D;HMGCS1;TNFAIP8;STK39;IDI1;AKAP12;PIAS1;APPBP2;BMPR1B;ANKH;UBE2I;PA2G4;FKBP5;HOMER2;MAK;ABCC4;ABHD2;SORD;HMGCR;PLPP1;AZGP1;PTPN21	HCC1143	Q1_anchor_vs_middle	Q1_anchor	middle	hallmark	mean_signed_shift_positive_category_minus_negative_category	exploratory response-program contrast; not a causal mechanism or target-membership enrichment claim	0.260569633221775
Angiogenesis	-0.699623580909265	-1.30086277809808	0.10022539444027	0.260569633221775	0.0539880274007771	36	36	down	S100A4;PTK2;NRP1;JAG1;APP;ITGAV;VAV2;LRPAP1;VCAN;JAG2;TNFRSF21	HCC1143	Q1_anchor_vs_middle	Q1_anchor	middle	hallmark	mean_signed_shift_positive_category_minus_negative_category	exploratory response-program contrast; not a causal mechanism or target-membership enrichment claim	0.260569633221775
Apical Junction	-0.61039763781259	-1.38383630859677	0.0067041781395905	0.0372454341088365	0.193113963346815	200	200	down	ACTB;ITGB1;EGFR;ACTG1;ITGB4;MYH9;PTK2;VCL;ITGA3;NF2;EXOC4;ACTN4;PIK3CB;ACTN1;FSCN1;PFN1;EPB41L2;RSU1;CNN2;TGFBI;CDK8;ADAM9;RASA1;SYMPK;PTEN;CDH3;NEGR1;LAMA3;GAMT;VAV2;B4GALT1;TUBG1;MAPK14;TJP1;IRS1;MSN;SHC1;DLG1;YWHAH;SIRPA;CALB2;ADRA1B;GNAI2;CNTN1;TSPAN4;MAP4K2;CD99;ADAM15;EVL;CTNNA1;VCAN;NF1;NECTIN1;STX4;SLIT2;GTF2F1;HRAS;MAP3K20;PPP2R2C;SGCE;AKT3;MPP5;MYH10;BAIAP2	HCC1143	Q1_anchor_vs_middle	Q1_anchor	middle	hallmark	mean_signed_shift_positive_category_minus_negative_category	exploratory response-program contrast; not a causal mechanism or target-membership enrichment claim	0.0372454341088361
Apical Surface	-0.629151511931064	-1.20766128107187	0.182548962291728	0.325980289806656	0.0381964542715156	44	44	down	EFNA5;CRYBG1;SULF2;NCOA6;APP;BRCA1;B4GALT1;ADAM10;LYN;SRPX;EPHB4;RTN4RL1;DCBLD2;ATP8B1;LYPD3;HSPB1	HCC1143	Q1_anchor_vs_middle	Q1_anchor	middle	hallmark	mean_signed_shift_positive_category_minus_negative_category	exploratory response-program contrast; not a causal mechanism or target-membership enrichment claim	0.3259802898066571
Apoptosis	0.476013149956139	1.22338531698827	0.0606846473029046	0.233402489626556	0.132881872272143	159	161	up	GADD45A;DDIT3;SOD2;ISG20;PMAIP1;BTG3;VDAC2;LGALS3;TIMP1;ATF3;SQSTM1;PEA15;JUN;CDKN1A;MCL1;TNF;HMOX1;TNFRSF12A;SPTAN1;CLU;TIMP2;SAT1;IRF1;BCL2L1;CYLD;GADD45B;ETF1;IL6;CDKN1B;TXNIP;BCL10;IFNGR1;RELA;PDCD4;BIRC3;BID;WEE1;BCL2L2;CASP4;ENO2;AIFM3;CREBBP;SOD1	HCC1143	Q1_anchor_vs_middle	Q1_anchor	middle	hallmark	mean_signed_shift_positive_category_minus_negative_category	exploratory response-program contrast; not a causal mechanism or target-membership enrichment claim	0.2334024896265561
Bile Acid Metabolism	-0.430643362130654	-0.926628041980391	0.619352311308436	0.704106921579041	0.0151904381798792	112	112	down	IDH2;FADS1;BCAR3;FDXR;SCP2;SLC23A2;IDH1;DHCR24;PEX26;SLC35B2;IDI1;ATXN1;PHYH;ABCA3;ABCD3;CYP7B1;GCLM;CAT;LONP2;NEDD4;PXMP2;SLC27A5;PEX13;ISOC1;FADS2;ABCA5;PECR;PAOX;TFCP2L1;HSD17B6;ACSL1	HCC1143	Q1_anchor_vs_middle	Q1_anchor	middle	hallmark	mean_signed_shift_positive_category_minus_negative_category	exploratory response-program contrast; not a causal mechanism or target-membership enrichment claim	0.70410692157904
Cholesterol Homeostasis	0.413212151168197	0.959921249350917	0.513464337700146	0.641830422125182	0.0356019436100328	74	74	up	MAL2;LGALS3;PNRC1;PLAUR;ATF3;TRIB3;FABP5;CD9;CXCL16;TNFRSF12A;CLU;NFIL3;STX5;ANXA5	HCC1143	Q1_anchor_vs_middle	Q1_anchor	middle	hallmark	mean_signed_shift_positive_category_minus_negative_category	exploratory response-program contrast; not a causal mechanism or target-membership enrichment claim	0.6418304221251825
Coagulation	0.413016490978972	1.04405909243154	0.304306220095694	0.464428821866838	0.0553808666173036	138	138	up	ARF4;TIMP1;ISCU;CD9;MSRB2;MAFF;RAC1;CLU;S100A1;LAMP2;DUSP14;ITGA2;F12;CSRP1;C1R;GNG12;PROS1;WDR1;LGMN;CFB;TFPI2;PECAM1;SIRT2;S100A13;PEF1;SERPINA1;FYN;MMP7	HCC1143	Q1_anchor_vs_middle	Q1_anchor	middle	hallmark	mean_signed_shift_positive_category_minus_negative_category	exploratory response-program contrast; not a causal mechanism or target-membership enrichment claim	0.4644288218668378
