context	endpoint_category	collection	pathway	n_category_targets	n_universe_targets	n_pathway_targets_in_universe	n_overlap	overlap_targets	pvalue	claim_boundary	padj
HCC1143	Q1_anchor	hallmark	Unfolded Protein Response	10	48	3	1	ZBTB17	0.5122571692876965	descriptive target-membership annotation only	0.5122571692876965
HCC1143	Q1_anchor	hallmark	Myc Targets V1	10	48	5	2	RPS3;RUVBL2	0.2757757968211252	descriptive target-membership annotation only	0.5122571692876965
HCC1143	Q4_low_information	hallmark	IL-6/JAK/STAT3 Signaling	6	48	1	1	STAT3	0.125	descriptive target-membership annotation only	0.125
HCC1143	Q4_low_information	hallmark	Interferon Gamma Response	6	48	1	1	STAT3	0.125	descriptive target-membership annotation only	0.125
HCC1143	middle	hallmark	TGF-beta Signaling	32	48	2	2	BMPR1A;SMAD1	0.4397163120567375	descriptive target-membership annotation only	0.75
HCC1143	middle	hallmark	Adipogenesis	32	48	1	1	PEX14	0.6666666666666666	descriptive target-membership annotation only	0.75
HCC1143	middle	hallmark	Estrogen Response Early	32	48	2	2	MYBL1;XBP1	0.4397163120567375	descriptive target-membership annotation only	0.75
HCC1143	middle	hallmark	Estrogen Response Late	32	48	1	1	XBP1	0.6666666666666666	descriptive target-membership annotation only	0.75
HCC1143	middle	hallmark	Androgen Response	32	48	1	1	PA2G4	0.6666666666666666	descriptive target-membership annotation only	0.75
HCC1143	middle	hallmark	Unfolded Protein Response	32	48	3	2	NPM1;XBP1	0.7456059204440333	descriptive target-membership annotation only	0.7894650922348587
HCC1143	middle	hallmark	mTORC1 Signaling	32	48	1	1	XBP1	0.6666666666666666	descriptive target-membership annotation only	0.75
HCC1143	middle	hallmark	E2F Targets	32	48	2	2	CDKN2A;PA2G4	0.4397163120567375	descriptive target-membership annotation only	0.75
HCC1143	middle	hallmark	Myc Targets V1	32	48	5	3	HDGF;NPM1;PA2G4	0.801222212878087	descriptive target-membership annotation only	0.801222212878087
HCC1143	middle	hallmark	Myc Targets V2	32	48	2	2	NPM1;PA2G4	0.4397163120567375	descriptive target-membership annotation only	0.75
HCC1143	middle	hallmark	Fatty Acid Metabolism	32	48	1	1	PCBD1	0.6666666666666666	descriptive target-membership annotation only	0.75
HCC1143	middle	hallmark	Reactive Oxygen Species Pathway	32	48	2	2	LAMTOR5;PRDX2	0.4397163120567375	descriptive target-membership annotation only	0.75
HCC1143	middle	hallmark	p53 Pathway	32	48	1	1	CDKN2A	0.6666666666666666	descriptive target-membership annotation only	0.75
HCC1143	middle	hallmark	UV Response Dn	32	48	2	2	BMPR1A;PEX14	0.4397163120567375	descriptive target-membership annotation only	0.75
HCC1143	middle	hallmark	heme Metabolism	32	48	4	4	HDGF;KLF3;PRDX2;VEZF1	0.1848083050673244	descriptive target-membership annotation only	0.75
HCC1143	middle	hallmark	IL-2/STAT5 Signaling	32	48	1	1	XBP1	0.6666666666666666	descriptive target-membership annotation only	0.75
HCC1143	middle	hallmark	Pperoxisome	32	48	1	1	PEX14	0.6666666666666666	descriptive target-membership annotation only	0.75
HCC1143	middle	hallmark	Allograft Rejection	32	48	2	2	CDKN2A;NPM1	0.4397163120567375	descriptive target-membership annotation only	0.75
HCC38	Q1_anchor	hallmark	Unfolded Protein Response	9	47	3	2	NPM1;ZBTB17	0.0895467160037002	descriptive target-membership annotation only	0.1790934320074005
HCC38	Q1_anchor	hallmark	Myc Targets V1	9	47	5	3	NPM1;RPS3;RUVBL2	0.0417004848302311	descriptive target-membership annotation only	0.1668019393209247
HCC38	Q1_anchor	hallmark	Myc Targets V2	9	47	2	1	NPM1	0.3496762257169288	descriptive target-membership annotation only	0.3496762257169288
HCC38	Q1_anchor	hallmark	Allograft Rejection	9	47	2	1	NPM1	0.3496762257169288	descriptive target-membership annotation only	0.3496762257169288
