cell_line	target_gene	depmap_quantile	shift_quantile	depmap_strength	real_shift_mean_abs	category
HCC1143	ARID1A	0.7916666666666666	0.6875	0.2654515287532237	0.0073327186787757	Middle
HCC1143	BMPR1A	0.8125	0.6666666666666666	0.307130270365165	0.0070281282052424	Middle
HCC1143	CDKN2A	0.0208333333333333	0.3958333333333333	6.198489826465077e-05	0.0050523230156554	Middle
HCC1143	COMMD6	0.625	0.1875	0.1351756293730245	0.0045342930040741	Middle
HCC1143	ENY2	0.6875	0.875	0.148881151602389	0.0105137437444661	Middle
HCC1143	ERC1	0.4583333333333333	0.3541666666666667	0.0303840215886299	0.0048784834929897	Middle
HCC1143	ETV3	0.6666666666666666	0.4791666666666667	0.1444988533493548	0.0053871026377591	Middle
HCC1143	GON4L	0.7083333333333334	0.7291666666666666	0.1493363288328347	0.0076879048971422	Middle
HCC1143	HDGF	0.3125	0.0625	0.0196252078195258	0.0039901671750222	Middle
HCC1143	HLX	0.375	0.375	0.0236239287972883	0.0050212083343797	Middle
HCC1143	KLF3	0.4791666666666667	0.5	0.0369385703770605	0.0053919861225157	Middle
HCC1143	LAMTOR5	0.5833333333333334	0.8125	0.1226400958971878	0.0093777769035242	Middle
HCC1143	MAML3	0.0625	0.0833333333333333	0.0050198572939971	0.0042930848646172	Low-information
HCC1143	MIER1	0.2083333333333333	0.5416666666666666	0.0105919574277721	0.0057833931966825	Middle
HCC1143	MTDH	0.2708333333333333	0.3333333333333333	0.0123435627679496	0.0047338690320834	Middle
HCC1143	MYBL1	0.3333333333333333	0.7916666666666666	0.0210310036855235	0.0084130142568229	Middle
HCC1143	NCOA1	0.3958333333333333	0.0208333333333333	0.0248991192692647	0.0039071575713196	Middle
HCC1143	NPM1	0.7291666666666666	0.7083333333333334	0.1622748801750765	0.0074812035133293	Middle
HCC1143	PA2G4	0.5625	0.5833333333333334	0.0861889371200693	0.0059315461556859	Middle
HCC1143	PARK7	0.6041666666666666	0.6458333333333334	0.1318604273725387	0.0061480042391653	Middle
HCC1143	PCBD1	0.25	0.3125	0.0111916491629234	0.004675198066501	Middle
HCC1143	PEX14	0.3541666666666667	0.1458333333333333	0.0227993432195642	0.0044493142820248	Middle
HCC1143	PFDN5	0.8958333333333334	0.8333333333333334	0.9694975960688984	0.0102329499993855	Anchor
HCC1143	PMF1	0.875	0.9583333333333334	0.9510487581740272	0.0127756932567781	Anchor
HCC1143	PRDX2	0.75	0.5208333333333334	0.1660158727868937	0.0055213995831513	Middle
HCC1143	PRPF6	0.96875	0.9791666666666666	1.0	0.0154111896961658	Anchor
HCC1143	RORC	0.5	0.2291666666666666	0.0451125018855452	0.0045634026869297	Middle
HCC1143	RPS3	0.96875	0.7708333333333334	1.0	0.007860948328555	Anchor
HCC1143	RUVBL2	0.96875	0.9375	1.0	0.0119327730703482	Anchor
HCC1143	SMAD1	0.4375	0.2083333333333333	0.0296077539081418	0.0045476060135123	Middle
HCC1143	SS18L2	0.96875	1.0	1.0	0.0243279181183303	Anchor
HCC1143	STAT3	0.0416666666666666	0.25	0.0037329167002494	0.0045791788860737	Low-information
HCC1143	TAB3	0.125	0.625	0.0084525379475361	0.0060275444241772	Middle
HCC1143	TADA3	0.7708333333333334	0.8541666666666666	0.2498577956515995	0.0103750807743799	Anchor
HCC1143	THAP8	0.2916666666666667	0.4166666666666667	0.0157775614105068	0.0050716034302432	Middle
HCC1143	THRA	0.5208333333333334	0.4583333333333333	0.0463338341696651	0.0053431820384494	Middle
HCC1143	TMF1	0.6458333333333334	0.5625	0.1394316818255967	0.0058951763799742	Middle
HCC1143	TMSB4X	0.1666666666666666	0.0416666666666666	0.0090048231316929	0.0039703565382887	Low-information
HCC1143	UBP1	0.2291666666666666	0.2916666666666667	0.0108785135935251	0.0046551429363536	Middle
HCC1143	VEZF1	0.4166666666666667	0.6041666666666666	0.0275909199432945	0.0060274132373266	Middle
HCC1143	XBP1	0.1458333333333333	0.2708333333333333	0.0085039693399301	0.0045885756847594	Middle
HCC1143	YBX1	0.9166666666666666	0.75	0.9913468022551738	0.0077493948528648	Anchor
HCC1143	ZBTB17	0.8333333333333334	0.9166666666666666	0.7578619386258375	0.010587215682323	Anchor
HCC1143	ZBTB20	0.0833333333333333	0.125	0.0078803596044426	0.0043814448697306	Low-information
