model_id	object_role	cell_line	total_shift_depmap_spearman	response_aligned_depmap_spearman	anchor_vs_low_information_response_auc	target_identity_preservation_spearman	predicted_target_similarity_mean
cellot_hcc_formal_v1	entrant	HCC1143	0.0448658649398704	0.1387604070305272	0.5454545454545454	0.0317567825596778	0.3089680808051099
cellot_hcc_formal_v1	entrant	HCC38	0.2172756706753006	0.1958834412580943	0.7272727272727273	0.0573004959352234	0.3270921291540744
cpa_v0.8.8	candidate	HCC1143	-0.1604995374653099	0.0463691026827012	0.4475524475524475	0.0061119841227771	0.938743860910642
cpa_v0.8.8	candidate	HCC38	-0.1557585568917668	0.3043478260869565	0.7520661157024794	0.0330358918939869	0.9943975900943732
gears_hcc_formal_v1	entrant	HCC1143	0.0158418131359852	0.1628122109158187	0.6293706293706294	0.0034259390670155	0.4724202434574844
gears_hcc_formal_v1	entrant	HCC38	0.2273358001850139	0.3751156336725254	0.8842975206611571	0.0957375941622403	0.5460301042813954
geneformer_hcc_formal_v1	entrant	HCC1143	0.145814061054579	-0.0974791859389454	0.5104895104895105	-0.0296412539525389	0.477756564362139
geneformer_hcc_formal_v1	entrant	HCC38	-0.1236123959296947	0.1200277520814061	0.6363636363636364	0.0857608567407805	0.5146872998631231
lm_g_geneformer_ridge_hcc_formal_v1	entrant	HCC1143	-0.0054347826086956	0.0289084181313598	0.4545454545454545	-0.0180060508543069	0.0367955238109856
lm_g_geneformer_ridge_hcc_formal_v1	entrant	HCC38	-0.0138760407030527	0.1291628122109158	0.6859504132231405	0.042451032975142	0.0240288470057757
lm_g_scgpt_ridge_hcc_formal_v1	entrant	HCC1143	0.0386216466234967	0.045790934320074	0.6083916083916084	0.0107242215994295	0.0272587066867515
lm_g_scgpt_ridge_hcc_formal_v1	entrant	HCC38	0.029486586493987	-0.0596669750231267	0.4380165289256198	-0.0123767880352373	0.0072176059978728
lm_train_lowrank_hcc_formal_v1	entrant	HCC1143	0.1957678075855689	0.1655874190564292	0.7062937062937062	0.0281941444951152	0.0325874415324252
lm_train_lowrank_hcc_formal_v1	entrant	HCC38	0.0509944495837187	0.0062442183163737	0.4380165289256198	-0.0130078453255117	0.0175076917214645
null_model		HCC1143			0.5		
null_model		HCC38			0.5		
scgen_hcc_formal_v1	entrant	HCC1143	0.5201202590194265	0.4420675300647548	0.7972027972027972	0.3272104246902518	0.7789692471597667
scgen_hcc_formal_v1	entrant	HCC38	0.4868177613320999	0.4449583718778908	0.9338842975206612	0.4312415061854633	0.7937453571091759
scgpt_hcc_formal_v1	entrant	HCC1143	0.2606382978723404	0.1881359851988899	0.6573426573426573	-0.0338890114335079	0.2535636536365697
scgpt_hcc_formal_v1	entrant	HCC38	0.4727104532839963	0.2028214616096207	0.6446280991735537	-0.0143393828576987	0.2021883619648669
shared_mean_baseline	baseline	HCC1143		-0.0100601295097132	0.5664335664335665		1.0
shared_mean_baseline	baseline	HCC38		0.2793709528214616	0.7768595041322314		1.0000000000000002
