model_id	object_role	cell_line	target_identity_preservation_spearman	target_identity_preservation_pvalue	target_identity_label_permutation_pvalue	target_identity_label_permutation_zscore	target_identity_preservation_status	target_identity_n_pairs	predicted_target_similarity_mean	observed_target_similarity_mean	target_identity_label_permutation_qvalue
cellot_hcc_formal_v1	entrant	HCC38	0.0573004959352234	0.0596562149619813	0.1458541458541458	1.0742101582128156	estimated	1081	0.3270921291540744	0.0573125562535606	0.3473193473193474
cpa_v0.8.8	candidate	HCC38	0.0330358918939869	0.2778276555247682	0.2307692307692307	0.7299861387382959	estimated	1081	0.9943975900943736	0.0573125562535606	0.4615384615384615
gears_hcc_formal_v1	entrant	HCC38	0.0957375941622403	0.0016253773209933	0.0359640359640359	1.9311724207648389	estimated	1081	0.5460301042813953	0.0573125562535606	0.2237762237762237
geneformer_hcc_formal_v1	entrant	HCC38	0.0857608567407805	0.0047780059087968	0.0479520479520479	1.6798753661162231	estimated	1081	0.5146872998631231	0.0573125562535606	0.2237762237762237
lm_g_geneformer_ridge_hcc_formal_v1	entrant	HCC38	0.042451032975142	0.1630933609303713	0.0889110889110889	1.375635383195133	estimated	1081	0.0240288470057757	0.0573125562535606	0.3111888111888112
lm_g_scgpt_ridge_hcc_formal_v1	entrant	HCC38	-0.0123767880352373	0.6843930408420826	0.6383616383616384	-0.4099637443565785	estimated	1081	0.0072176059978728	0.0573125562535606	0.8124602670057215
lm_train_lowrank_hcc_formal_v1	entrant	HCC38	-0.0130078453255117	0.6692318044177172	0.6373626373626373	-0.3867298008280773	estimated	1081	0.0175076917214645	0.0573125562535606	0.8124602670057215
null_model		HCC38					non_estimable_constant_score	1081	0.0	0.0573125562535606	
scgen_hcc_formal_v1	entrant	HCC38	0.4312415061854633	3.464082371568211e-50	0.0009990009990009	7.234578989799254	estimated	1081	0.7937453571091763	0.0573125562535606	0.0139860139860139
scgpt_hcc_formal_v1	entrant	HCC38	-0.0143393828576987	0.6376856675441671	0.6203796203796204	-0.3578043749713796	estimated	1081	0.202188361964867	0.0573125562535606	0.8124602670057215
shared_mean_baseline	baseline	HCC38					non_estimable_constant_score	1081	1.0000000000000002	0.0573125562535606	
cellot_hcc_formal_v1	entrant	HCC1143	0.0317567825596778	0.2968683919023464	0.2847152847152847	0.5455765771673791	estimated	1081	0.3089680808051098	0.0605282495699902	0.5694305694305695
cpa_v0.8.8	candidate	HCC1143	0.0061119841227771	0.8409154517244813	0.4185814185814185	0.1771441931322567	estimated	1081	0.9387438609106422	0.0605282495699902	0.6055944055944056
gears_hcc_formal_v1	entrant	HCC1143	0.0034259390670155	0.9104190654212224	0.4325674325674326	0.1415934247752366	estimated	1081	0.4724202434574844	0.0605282495699902	0.6055944055944056
geneformer_hcc_formal_v1	entrant	HCC1143	-0.0296412539525389	0.3302312001652588	0.6723276723276723	-0.5337534599211688	estimated	1081	0.4777565643621391	0.0605282495699902	0.7337278106508875
lm_g_geneformer_ridge_hcc_formal_v1	entrant	HCC1143	-0.0180060508543069	0.5542684408253034	0.6813186813186813	-0.5179197328883101	estimated	1081	0.0367955238109856	0.0605282495699902	0.7337278106508875
lm_g_scgpt_ridge_hcc_formal_v1	entrant	HCC1143	0.0107242215994295	0.7246888763680496	0.3646353646353646	0.272008353822316	estimated	1081	0.0272587066867515	0.0605282495699902	0.6055944055944056
lm_train_lowrank_hcc_formal_v1	entrant	HCC1143	0.0281941444951152	0.3543968102254329	0.2077922077922078	0.8263143376518882	estimated	1081	0.0325874415324252	0.0605282495699902	0.5694305694305695
null_model		HCC1143					non_estimable_constant_score	1081	0.0	0.0605282495699902	
scgen_hcc_formal_v1	entrant	HCC1143	0.3272104246902518	2.158161964400761e-28	0.0009990009990009	5.065632332804121	estimated	1081	0.7789692471597668	0.0605282495699902	0.0139860139860139
scgpt_hcc_formal_v1	entrant	HCC1143	-0.0338890114335079	0.2655999106727913	0.7792207792207793	-0.7737214963621039	estimated	1081	0.2535636536365696	0.0605282495699902	0.7792207792207793
shared_mean_baseline	baseline	HCC1143					non_estimable_constant_score	1081	1.0	0.0605282495699902	
