model_family	model_id	run_type	cell_line	params_json	metric_value	metric	sensitivity_role	claim_boundary
scGen	scgen_hcc_formal_v1	formal	HCC1143	{}	0.4420675300647548	response-aligned endpoint ρ	formal run	finite-budget sensitivity envelope; does not replace formal model entrants
scGen	scgen_hcc_formal_v1	formal	HCC38	{}	0.4449583718778908	response-aligned endpoint ρ	formal run	finite-budget sensitivity envelope; does not replace formal model entrants
CPA	cpa_v0.8.8	formal	HCC1143	{}	0.0463691026827012	response-aligned endpoint ρ	formal run	finite-budget sensitivity envelope; does not replace formal model entrants
CPA	cpa_v0.8.8	formal	HCC38	{}	0.3043478260869565	response-aligned endpoint ρ	formal run	finite-budget sensitivity envelope; does not replace formal model entrants
GEARS	gears_hcc_formal_v1	formal	HCC1143	{}	0.1628122109158187	response-aligned endpoint ρ	formal run	finite-budget sensitivity envelope; does not replace formal model entrants
GEARS	gears_hcc_formal_v1	formal	HCC38	{}	0.3751156336725254	response-aligned endpoint ρ	formal run	finite-budget sensitivity envelope; does not replace formal model entrants
CellOT	cellot_hcc_formal_v1	formal	HCC1143	{}	0.1387604070305272	response-aligned endpoint ρ	formal run	finite-budget sensitivity envelope; does not replace formal model entrants
CellOT	cellot_hcc_formal_v1	formal	HCC38	{}	0.1958834412580943	response-aligned endpoint ρ	formal run	finite-budget sensitivity envelope; does not replace formal model entrants
GEARS	gears_hcc_formal_v1_e20_lr1e-03_wd1e-06	finite_budget_existing	HCC1143	{}	-0.1512488436632747	response-aligned endpoint ρ	finite-budget sensitivity	finite-budget sensitivity envelope; does not replace formal model entrants
GEARS	gears_hcc_formal_v1_e20_lr1e-03_wd1e-06	finite_budget_existing	HCC38	{}	0.054232192414431	response-aligned endpoint ρ	finite-budget sensitivity	finite-budget sensitivity envelope; does not replace formal model entrants
GEARS	gears_hcc_formal_v1_e30_lr1e-03_wd1e-05	finite_budget_existing	HCC1143	{}	0.220282146160962	response-aligned endpoint ρ	finite-budget sensitivity	finite-budget sensitivity envelope; does not replace formal model entrants
GEARS	gears_hcc_formal_v1_e30_lr1e-03_wd1e-05	finite_budget_existing	HCC38	{}	0.206059204440333	response-aligned endpoint ρ	finite-budget sensitivity	finite-budget sensitivity envelope; does not replace formal model entrants
GEARS	gears_hcc_formal_v1_e30_lr2e-03_wd1e-06	finite_budget_existing	HCC1143	{}	0.3524514338575393	response-aligned endpoint ρ	finite-budget sensitivity	finite-budget sensitivity envelope; does not replace formal model entrants
GEARS	gears_hcc_formal_v1_e30_lr2e-03_wd1e-06	finite_budget_existing	HCC38	{}	-0.1104301572617946	response-aligned endpoint ρ	finite-budget sensitivity	finite-budget sensitivity envelope; does not replace formal model entrants
GEARS	gears_hcc_formal_v1_e30_lr5e-04_wd1e-06	finite_budget_existing	HCC1143	{}	0.3376503237742831	response-aligned endpoint ρ	finite-budget sensitivity	finite-budget sensitivity envelope; does not replace formal model entrants
GEARS	gears_hcc_formal_v1_e30_lr5e-04_wd1e-06	finite_budget_existing	HCC38	{}	0.0809435707678075	response-aligned endpoint ρ	finite-budget sensitivity	finite-budget sensitivity envelope; does not replace formal model entrants
GEARS	gears_hcc_formal_v1_e40_lr1e-03_wd1e-06	finite_budget_existing	HCC1143	{}	0.1552960222016651	response-aligned endpoint ρ	finite-budget sensitivity	finite-budget sensitivity envelope; does not replace formal model entrants
GEARS	gears_hcc_formal_v1_e40_lr1e-03_wd1e-06	finite_budget_existing	HCC38	{}	0.3770814061054579	response-aligned endpoint ρ	finite-budget sensitivity	finite-budget sensitivity envelope; does not replace formal model entrants
scGen	scgen_hcc_sens_e60_seed1	finite_budget	HCC1143	"{""batch_size"": 128, ""early_stopping_patience"": 10, ""max_epochs"": 60, ""seed"": 1}"	0.4592969472710453	response-aligned endpoint ρ	finite-budget sensitivity	finite-budget sensitivity envelope; does not replace formal model entrants
scGen	scgen_hcc_sens_e60_seed1	finite_budget	HCC38	"{""batch_size"": 128, ""early_stopping_patience"": 10, ""max_epochs"": 60, ""seed"": 1}"	0.448427382053654	response-aligned endpoint ρ	finite-budget sensitivity	finite-budget sensitivity envelope; does not replace formal model entrants
scGen	scgen_hcc_sens_e100_seed2	finite_budget	HCC1143	"{""batch_size"": 128, ""early_stopping_patience"": 10, ""max_epochs"": 100, ""seed"": 2}"	0.450277520814061	response-aligned endpoint ρ	finite-budget sensitivity	finite-budget sensitivity envelope; does not replace formal model entrants
scGen	scgen_hcc_sens_e100_seed2	finite_budget	HCC38	"{""batch_size"": 128, ""early_stopping_patience"": 10, ""max_epochs"": 100, ""seed"": 2}"	0.4335106382978724	response-aligned endpoint ρ	finite-budget sensitivity	finite-budget sensitivity envelope; does not replace formal model entrants
CPA	cpa_hcc_sens_e200_latent64_seed2	finite_budget	HCC1143	"{""batch_size"": 256, ""early_stopping_patience"": 12, ""max_epochs"": 200, ""n_latent"": 64, ""seed"": 2}"	0.0463691026827012	response-aligned endpoint ρ	finite-budget sensitivity	finite-budget sensitivity envelope; does not replace formal model entrants
CPA	cpa_hcc_sens_e200_latent64_seed2	finite_budget	HCC38	"{""batch_size"": 256, ""early_stopping_patience"": 12, ""max_epochs"": 200, ""n_latent"": 64, ""seed"": 2}"	-0.0568917668825161	response-aligned endpoint ρ	finite-budget sensitivity	finite-budget sensitivity envelope; does not replace formal model entrants
CPA	cpa_hcc_sens_e200_latent32_seed1	finite_budget	HCC1143	"{""batch_size"": 256, ""early_stopping_patience"": 12, ""max_epochs"": 200, ""n_latent"": 32, ""seed"": 1}"	0.2168131359851988	response-aligned endpoint ρ	finite-budget sensitivity	finite-budget sensitivity envelope; does not replace formal model entrants
CPA	cpa_hcc_sens_e200_latent32_seed1	finite_budget	HCC38	"{""batch_size"": 256, ""early_stopping_patience"": 12, ""max_epochs"": 200, ""n_latent"": 32, ""seed"": 1}"	0.4906336725254394	response-aligned endpoint ρ	finite-budget sensitivity	finite-budget sensitivity envelope; does not replace formal model entrants
CellOT	cellot_hcc_sens_iter100_seed1	finite_budget	HCC1143	"{""gene_space"": ""axis"", ""max_control_cells"": 256, ""max_target_cells"": 256, ""max_targets"": 0, ""n_iters"": 100, ""seed"": 1}"	0.3356845513413506	response-aligned endpoint ρ	finite-budget sensitivity	finite-budget sensitivity envelope; does not replace formal model entrants
CellOT	cellot_hcc_sens_iter100_seed1	finite_budget	HCC38	"{""gene_space"": ""axis"", ""max_control_cells"": 256, ""max_target_cells"": 256, ""max_targets"": 0, ""n_iters"": 100, ""seed"": 1}"	0.1731036077705827	response-aligned endpoint ρ	finite-budget sensitivity	finite-budget sensitivity envelope; does not replace formal model entrants
CellOT	cellot_hcc_sens_iter200_seed2	finite_budget	HCC1143	"{""gene_space"": ""axis"", ""max_control_cells"": 256, ""max_target_cells"": 256, ""max_targets"": 0, ""n_iters"": 200, ""seed"": 2}"	0.2932469935245143	response-aligned endpoint ρ	finite-budget sensitivity	finite-budget sensitivity envelope; does not replace formal model entrants
CellOT	cellot_hcc_sens_iter200_seed2	finite_budget	HCC38	"{""gene_space"": ""axis"", ""max_control_cells"": 256, ""max_target_cells"": 256, ""max_targets"": 0, ""n_iters"": 200, ""seed"": 2}"	0.125	response-aligned endpoint ρ	finite-budget sensitivity	finite-budget sensitivity envelope; does not replace formal model entrants
CellOT	cellot_hcc_sens_iter500_seed1_full	finite_budget	HCC1143	"{""gene_space"": ""axis"", ""max_control_cells"": 256, ""max_target_cells"": 256, ""max_targets"": 0, ""n_iters"": 500, ""seed"": 1}"	0.2969472710453283	response-aligned endpoint ρ	finite-budget sensitivity	finite-budget sensitivity envelope; does not replace formal model entrants
CellOT	cellot_hcc_sens_iter500_seed1_full	finite_budget	HCC38	"{""gene_space"": ""axis"", ""max_control_cells"": 256, ""max_target_cells"": 256, ""max_targets"": 0, ""n_iters"": 500, ""seed"": 1}"	0.0736586493987049	response-aligned endpoint ρ	finite-budget sensitivity	finite-budget sensitivity envelope; does not replace formal model entrants
scGen	scgen_hcc_formal_v1	formal	HCC1143	{}	0.7972027972027972	anchor vs low-information AUC	formal run	finite-budget sensitivity envelope; does not replace formal model entrants
scGen	scgen_hcc_formal_v1	formal	HCC38	{}	0.9338842975206612	anchor vs low-information AUC	formal run	finite-budget sensitivity envelope; does not replace formal model entrants
CPA	cpa_v0.8.8	formal	HCC1143	{}	0.4475524475524475	anchor vs low-information AUC	formal run	finite-budget sensitivity envelope; does not replace formal model entrants
CPA	cpa_v0.8.8	formal	HCC38	{}	0.7520661157024794	anchor vs low-information AUC	formal run	finite-budget sensitivity envelope; does not replace formal model entrants
GEARS	gears_hcc_formal_v1	formal	HCC1143	{}	0.6293706293706294	anchor vs low-information AUC	formal run	finite-budget sensitivity envelope; does not replace formal model entrants
GEARS	gears_hcc_formal_v1	formal	HCC38	{}	0.8842975206611571	anchor vs low-information AUC	formal run	finite-budget sensitivity envelope; does not replace formal model entrants
CellOT	cellot_hcc_formal_v1	formal	HCC1143	{}	0.5454545454545454	anchor vs low-information AUC	formal run	finite-budget sensitivity envelope; does not replace formal model entrants
CellOT	cellot_hcc_formal_v1	formal	HCC38	{}	0.7272727272727273	anchor vs low-information AUC	formal run	finite-budget sensitivity envelope; does not replace formal model entrants
GEARS	gears_hcc_formal_v1_e20_lr1e-03_wd1e-06	finite_budget_existing	HCC1143	{}	0.3776223776223776	anchor vs low-information AUC	finite-budget sensitivity	finite-budget sensitivity envelope; does not replace formal model entrants
GEARS	gears_hcc_formal_v1_e20_lr1e-03_wd1e-06	finite_budget_existing	HCC38	{}	0.5702479338842975	anchor vs low-information AUC	finite-budget sensitivity	finite-budget sensitivity envelope; does not replace formal model entrants
GEARS	gears_hcc_formal_v1_e30_lr1e-03_wd1e-05	finite_budget_existing	HCC1143	{}	0.6153846153846154	anchor vs low-information AUC	finite-budget sensitivity	finite-budget sensitivity envelope; does not replace formal model entrants
GEARS	gears_hcc_formal_v1_e30_lr1e-03_wd1e-05	finite_budget_existing	HCC38	{}	0.7272727272727273	anchor vs low-information AUC	finite-budget sensitivity	finite-budget sensitivity envelope; does not replace formal model entrants
GEARS	gears_hcc_formal_v1_e30_lr2e-03_wd1e-06	finite_budget_existing	HCC1143	{}	0.7552447552447552	anchor vs low-information AUC	finite-budget sensitivity	finite-budget sensitivity envelope; does not replace formal model entrants
