pathway	ES	NES	pval	padj	log2err	size	n_genes_in_set	direction	leading_edge	context	contrast_id	positive_category	negative_category	collection	ranking_method	claim_boundary	padj_within_context_contrast	minus_log10_padj	contrast_label
Myc Targets V1	-0.816680546892479	-1.95650965747405	1e-10	5e-09		196	200	down	NPM1;RPS3;HSPD1;PSMD1;HNRNPU;EEF1B2;HNRNPD;KPNB1;RPL34;HSPE1;SF3B3;RANBP1;SRSF2;HSP90AB1;C1QBP;HNRNPA1;XRCC6;RPL14;RUVBL2;HDGF;PSMC6;LDHA;ILF2;G3BP1;EIF3J;TYMS;SET;PPM1G;PSMA2;EIF4H;SSB;PSMA1;SRSF3;VDAC1;DDX18;EIF3B;RNPS1;PCNA;CTPS1;DDX21;RPS6;UBA2;YWHAE;SNRPA;TOMM70;HNRNPA2B1;TRA2B;MCM2;HPRT1;PCBP1;HNRNPR;DUT;FAM120A;POLD2;MYC;RACK1;MCM4;HNRNPA3;SERBP1;TCP1;NOP56;RPS2;SMARCC1;RPL18;PSMD3;CUL1;SRM;USP1;RSL1D1;NAP1L1;BUB3;PRDX3;TXNL4A;CANX;PTGES3;SRSF7;EIF4A1;PGK1;NOP16;SNRPD3;PABPC4;APEX1;SYNCRIP;CNBP;CCT3;TARDBP;UBE2L3;PSMD14;EXOSC7;CCT5;LSM2;EIF4G2;XPOT;NME1;SNRPG;EIF2S1;PWP1;NHP2;FBL;ODC1;TFDP1;GOT2;EIF1AX;DHX15;RAD23B;PHB;CDC45;STARD7;MCM6;EIF2S2;SNRPD1;MCM5;AP3S1;NDUFAB1;RPS5;RPS10;EIF3D;CBX3;SRSF1;GSPT1;MRPL23;IFRD1;PABPC1;GNL3;HNRNPC;COX5A;CCNA2;ETF1;SSBP1;RRM1;ABCE1;SNRPA1;CDK2;EIF4E	HCC38	Q1_anchor_vs_Q4_low_information	Q1_anchor	Q4_low_information	hallmark	mean_signed_shift_positive_category_minus_negative_category	exploratory response-program contrast; not a causal mechanism or target-membership enrichment claim	5e-09	8.301029995663981	Anchor vs low-info
mTORC1 Signaling	-0.722573165380695	-1.73216739172996	3.62932063964802e-08	9.07330159912004e-07	0.719512826338911	198	200	down	HSP90B1;HSPD1;CALR;PLOD2;SDF2L1;SQLE;CTSC;HSPE1;HSPA5;ME1;GMPS;ACTR3;PSMC6;LDHA;GPI;RPN1;PNO1;ACACA;ENO1;ACTR2;HSPA9;CYP51A1;ATP2A2;PSMD13;TXNRD1;POLR3G;RPA1;MCM2;HPRT1;SLC9A3R1;SEC11A;DHFR;MCM4;SLC1A5;ABCF2;PDAP1;IDH1;LDLR;ERO1A;ELOVL5;HMGCS1;CCT6A;ATP5MC1;SSR1;CANX;PGK1;HSPA4;PRDX1;ALDOA;ACLY;PSMA3;TFRC;TMEM97;PFKL;PSMD14;GBE1;RDH11;TOMM40;SLC2A1;FADS1;PSPH;G6PD;NUPR1;SORD;NAMPT;STIP1;PSMD12;CCNF;TBK1;EIF2S2;TRIB3;PSAT1;SLC7A11;CCNG1;NUFIP1;NMT1;DHCR24;PSME3;EEF1E1;GGA2;ELOVL6;DDIT4;TCEA1;PLK1;IFRD1;FADS2;ATP6V1D;INSIG1;UNG;ETF1;YKT6;BUB1;IDI1;GCLC;PHGDH;NUP205;DHCR7;PDK1;RAB1A;HK2;SERPINH1;ARPC5L;EGLN3;IFI30;P4HA1;CACYBP;NFIL3;USO1;SQSTM1;GLA	HCC38	Q1_anchor_vs_Q4_low_information	Q1_anchor	Q4_low_information	hallmark	mean_signed_shift_positive_category_minus_negative_category	exploratory response-program contrast; not a causal mechanism or target-membership enrichment claim	9.07330159912005e-07	6.0422346528109605	Anchor vs low-info
E2F Targets	-0.692446681674914	-1.65994755960383	1.1699953341517e-06	1.94999222358617e-05	0.643551836150722	198	200	down	HMGA1;PAICS;HNRNPD;ATAD2;TUBB;RFC1;SLBP;RANBP1;RAD21;SRSF2;XRCC6;JPT1;ILF3;NASP;LUC7L3;SMC1A;DCTPP1;PCNA;ANP32E;CTPS1;STMN1;SMC4;RPA1;PNN;IPO7;TRA2B;MCM2;DUT;POLD2;TMPO;BARD1;MYC;MCM4;HMGB3;MKI67;NOP56;PHF5A;USP1;BIRC5;SMC3;NAP1L1;CDKN3;CKS1B;SSRP1;CNOT9;SMC6;TRIP13;RAD51AP1;MYBL2;SYNCRIP;LBR;DIAPH3;TFRC;PRKDC;NME1;GINS1;EIF2S1;MMS22L;POP7;MSH2;CSE1L;CENPE;NUP153;TK1;HMGB2;MCM6;MELK;TCF19;LMNB1;BRCA1;DSCC1;MCM5;CDC25B;TBRG4;PPM1D;KIF4A;PTTG1;MCM3;SRSF1;GSPT1;PLK1;TIPIN;RPA2;PSMC3IP;TIMELESS;RAD1;PRIM2;PMS2;PPP1R8;CENPM;UNG;SHMT1;PLK4;CCP110;CCNE1;GINS4;CTCF;NUP205;ORC2;MRE11;CDKN1B;LYAR	HCC38	Q1_anchor_vs_Q4_low_information	Q1_anchor	Q4_low_information	hallmark	mean_signed_shift_positive_category_minus_negative_category	exploratory response-program contrast; not a causal mechanism or target-membership enrichment claim	1.9499922235861667e-05	4.709967120565866	Anchor vs low-info
G2-M Checkpoint	-0.679790840305042	-1.62743414140314	1.20087464770655e-05	0.0001501093309633	0.593325476396405	195	200	down	HMGA1;HNRNPU;SQLE;HNRNPD;KPNB1;RASAL2;NCL;RAD21;SRSF2;SLC7A1;CBX1;JPT1;G3BP1;ILF3;EFNA5;NASP;SMC1A;HSPA8;MARCKS;STMN1;UCK2;SMC4;TRA2B;MCM2;MT2A;HMGN2;TMPO;BARD1;MYC;HMGB3;CUL3;MKI67;SMARCC1;CUL1;CENPF;BIRC5;BUB3;CDKN3;CKS1B;AMD1;MYBL2;SYNCRIP;LBR;TLE3;TENT4A;MAP3K20;DBF4;NUP50;PRC1;CENPE;GINS2;ODC1;TFDP1;ATRX;FANCC;RAD23B;CDC45;SFPQ;CCNF;PML;YTHDC1;NUMA1;MCM6;BCL3;SNRPD1;LMNB1;RBL1;MNAT1;SS18;CDC6;LIG3;MCM5;CDC25B;E2F4;CDC27;ABL1;KIF4A;PTTG1;MCM3;SRSF1;GSPT1;PLK1;CHMP1A;PAFAH1B1;KIF23;RPA2;CHAF1A;CENPA;PRIM2;PLK4;MAPK14;CCNA2;DTYMK;BUB1;NDC80;EXO1;CTCF;SLC38A1;KIF11;EWSR1;FOXN3;NUP98;CDKN1B;INCENP;PRMT5;XPO1	HCC38	Q1_anchor_vs_Q4_low_information	Q1_anchor	Q4_low_information	hallmark	mean_signed_shift_positive_category_minus_negative_category	exploratory response-program contrast; not a causal mechanism or target-membership enrichment claim	0.0001501093309633	3.8235923106886482	Anchor vs low-info
Mitotic Spindle	-0.574295757520473	-1.37723213184962	0.007961972667855	0.040950040950041	0.17632375173773	199	199	down	RASAL2;RFC1;ARF6;FSCN1;MYO1E;SMC1A;NIN;ARHGAP29;MARCKS;SMC4;YWHAE;MYH9;MYO9B;CENPF;ARHGEF7;BIRC5;SMC3;PPP4R2;FARP1;FLNA;DLG1;LRPPRC;BCAR1;ARHGDIA;RAB3GAP1;BIN1;SEPTIN9;SAC3D1;ARHGEF3;PRC1;RICTOR;KNTC1;TUBGCP2;CDC42BPA;ANLN;MYH10;CENPE;RALBP1;ARHGAP27;SSH2;VCL;TRIO;CLIP2;NUMA1;DYNC1H1;TSC1;LMNB1;PCNT;FLNB;SPTBN1;ROCK1;RASA1;CDC27;CEP192;ABL1;KIF4A;RAPGEF6;ARHGEF2;EZR;PLK1;PAFAH1B1;TUBD1;CDK5RAP2;KIF23;OPHN1;FGD6;CEP57;MAP3K11;NF1;TUBGCP3;APC;LATS1;BUB1;NDC80;CAPZB;PDLIM5;CEP131;KIF11;PCM1;RHOF;RANBP9;PKD2;INCENP;CDC42;CLASP1;CSNK1D;MAP1S;CLIP1;DOCK4;ATG4B;WASF2	HCC38	Q1_anchor_vs_Q4_low_information	Q1_anchor	Q4_low_information	hallmark	mean_signed_shift_positive_category_minus_negative_category	exploratory response-program contrast; not a causal mechanism or target-membership enrichment claim	0.0409500409500409	1.387745659608863	Anchor vs low-info
TNF-alpha Signaling via NF-kB	-0.343532334249519	-0.824299574856252	0.882695507487521	0.900709701517878	0.0084932881724886	200	200	down	KLF6;F3;CD44;MARCKS;FOSL1;RIPK2;CCN1;VEGFA;MYC;B4GALT5;TNFAIP8;LDLR;PFKFB3;IER3;NFAT5;PHLDA2;EHD1;MCL1;NAMPT;TRIP10;CLCF1;BCL3;SPHK1;TNIP1;PLAU;PTX3;TNIP2;GFPT2;CEBPB;IER5;NINJ1;TNFAIP2;B4GALT1;DENND5A;ATF3;PDLIM5;ETS2;ZFP36;IRS2;FJX1;PTPRE;NFIL3;CD83;NR4A1;SQSTM1;LITAF;RHOB	HCC38	Q1_anchor_vs_Q4_low_information	Q1_anchor	Q4_low_information	hallmark	mean_signed_shift_positive_category_minus_negative_category	exploratory response-program contrast; not a causal mechanism or target-membership enrichment claim	0.9007097015178785	0.04541515945787509	Anchor vs low-info
Apical Junction	-0.516082746008987	-1.23833114299182	0.0631091038744949	0.166076589143408	0.0609531156006142	200	200	down	ACTG1;ACTB;MSN;EGFR;FSCN1;SLIT2;TGFBI;CNN2;NF2;ITGB1;MYH9;ITGA3;CDH3;DHX16;YWHAH;RSU1;CAP1;DLG1;CTNNA1;MAP3K20;TIAL1;MPP5;MYH10;VCL;JUP;EXOC4;ACTN1;TSC1;RASA1;SYMPK;MPZL1;MAPK13;AKT2;PKD1;SORBS3;HRAS;CD276;ARPC2;B4GALT1;INSIG1;MVD;CD99;NF1;MAPK14;CDH8;MPZL2;AMIGO2;NEXN;PTK2;RHOF;IKBKG;AMH;SPEG	HCC38	Q1_anchor_vs_Q4_low_information	Q1_anchor	Q4_low_information	hallmark	mean_signed_shift_positive_category_minus_negative_category	exploratory response-program contrast; not a causal mechanism or target-membership enrichment claim	0.1660765891434076	0.7796915832163176	Anchor vs low-info
Glycolysis	-0.572768589271644	-1.37356979383739	0.0083184789067142	0.040950040950041	0.172450317477257	199	200	down	PLOD2;EXT1;HSPA5;PKM;PGAM1;ME1;EGFR;LDHA;ENO1;CD44;PFKP;NASP;STMN1;TGFBI;SLC25A13;VEGFA;ANGPTL4;GNPDA1;IDH1;ERO1A;HAX1;PYGL;HDLBP;PLOD1;SLC16A3;PGK1;PYGB;ALDOA;MDH2;RBCK1;SRD5A3;IER3;SOD1;QSOX1;TPBG;FKBP4;G6PD;GOT2;PMM2;SOX9;ALG1;GNE;NSDHL;PAXIP1;TALDO1;ZNF292;ARPP19;B4GALT2;TGFA;STC2;TXN;ANKZF1;DDIT4;RPE;GALE;B3GALT6;NOL3;P4HA2;ELF3;B4GALT1;CENPA;CHST12;GYS1;POLR3K;SDHC;ALDH9A1;HS2ST1;GCLC	HCC38	Q1_anchor_vs_Q4_low_information	Q1_anchor	Q4_low_information	hallmark	mean_signed_shift_positive_category_minus_negative_category	exploratory response-program contrast; not a causal mechanism or target-membership enrichment claim	0.0409500409500409	1.387745659608863	Anchor vs low-info
Myc Targets V1	-0.820747297256772	-1.94695144151258	1e-10	5e-09		196	200	down	NPM1;RPS3;PSMD1;HNRNPU;LDHA;TYMS;HSPD1;PSMA1;KPNB1;RPL14;HNRNPA1;RPL34;EEF1B2;HNRNPD;RANBP1;SRSF2;PSMC6;HSP90AB1;PPM1G;PTGES3;XRCC6;SRSF3;ILF2;SET;G3BP1;DDX18;RNPS1;EIF4H;HNRNPA2B1;YWHAE;RUVBL2;SNRPD3;PSMA2;SERBP1;C1QBP;PCNA;SNRPA;NAP1L1;PSMD3;HNRNPR;EIF3B;EIF2S1;PGK1;SF3B3;USP1;RAD23B;PSMD14;DDX21;VDAC1;CUL1;EIF3J;DUT;MCM2;MCM4;RPS2;RACK1;RSL1D1;TCP1;POLD2;SMARCC1;EIF1AX;CCT5;HPRT1;TOMM70;EXOSC7;SRM;PCBP1;HSPE1;APEX1;MCM5;UBE2L3;CTPS1;EIF4A1;UBA2;PRDX3;ODC1;BUB3;SYNCRIP;CANX;CCT2;PABPC4;CNBP;FAM120A;EIF4G2;HNRNPA3;LSM2;CCNA2;AP3S1;XPOT;RPL22;CDC45;EIF2S2;TFDP1;TARDBP;COX5A;XPO1;HDGF;PHB;MYC;CCT3;DEK;SSB;RPLP0;RPL18;SNRPD1;SSBP1;TRA2B;SRSF7;DHX15;RAN;RRM1;ERH;NOP56;PPIA;CDK2;GSPT1;SLC25A3;EIF3D;PSMB2;SNRPG;NDUFAB1;EIF4E;TXNL4A;CSTF2;CAD;PWP1;NME1;ABCE1;PABPC1;RPS10;SNRPA1;PSMA7;NOP16;GOT2;RPS6;MCM6;RPS5	HCC38	Q1_anchor_vs_middle	Q1_anchor	middle	hallmark	mean_signed_shift_positive_category_minus_negative_category	exploratory response-program contrast; not a causal mechanism or target-membership enrichment claim	5e-09	8.301029995663981	Anchor vs middle
mTORC1 Signaling	-0.737280554893339	-1.75043816899215	5.92636329328385e-09	1.48159082332096e-07	0.761460801445585	198	200	down	PLOD2;SDF2L1;HSP90B1;ENO1;LDHA;HSPD1;TXNRD1;CTSC;ME1;CALR;PSMC6;SQLE;ACTR3;GPI;ACTR2;GAPDH;PSMA3;ERO1A;PGK1;TPI1;POLR3G;SEC11A;PFKL;PSMD14;PRDX1;RPN1;ATP6V1D;CCT6A;PSMD13;CYP51A1;ACACA;TBK1;MCM2;MCM4;ATP2A2;GMPS;HSPA9;RDH11;SLC1A5;HPRT1;IDH1;DHFR;PNO1;CD9;SLC2A1;SSR1;LDLR;SORD;HSPE1;FADS1;ALDOA;RPA1;ABCF2;HSPA5;NUPR1;PSAT1;ATP5MC1;EEF1E1;PSMD12;GBE1;CANX;GGA2;HSPA4;SQSTM1;TMEM97;EIF2S2;PLK1;PPA1;ELOVL6;CCNF;SLC7A11;RRM2;ACLY;CCNG1;NFIL3;CACYBP;NUFIP1;PITPNB;PPIA;TFRC;TOMM40;PSME3;BUB1;NMT1;TCEA1;M6PR;HMGCS1;GLA;FADS2;SLC9A3R1;PGM1;ELOVL5;IFI30;AK4;NAMPT;ADIPOR2;GCLC;CYB5B;DHCR24;P4HA1;DDIT4	HCC38	Q1_anchor_vs_middle	Q1_anchor	middle	hallmark	mean_signed_shift_positive_category_minus_negative_category	exploratory response-program contrast; not a causal mechanism or target-membership enrichment claim	1.4815908233209626e-07	6.829271720587499	Anchor vs middle
