pathway	ES	NES	pval	padj	log2err	size	n_genes_in_set	direction	leading_edge	context	contrast_id	positive_category	negative_category	collection	ranking_method	claim_boundary	padj_within_context_contrast	minus_log10_padj	contrast_label
Myc Targets V1	-0.736557968940118	-1.60710836863338	3.53532308274185e-06	4.41915385342731e-05	0.627256739718528	196	200	down	TYMS;HNRNPU;RPS3;SNRPA1;HNRNPA3;HNRNPA2B1;HSP90AB1;EIF4G2;HSPD1;HNRNPR;LDHA;HNRNPA1;SERBP1;XRCC6;MCM4;NPM1;HNRNPD;CCT3;PTGES3;RANBP1;SRSF7;HSPE1;CDC20;G3BP1;PCNA;RPS2;PSMA1;RPL34;PSMD1;EEF1B2;SET;CCT5;RAD23B;RUVBL2;HDGF;MCM5;CYC1;KPNA2;XPO1;POLD2;PPM1G;C1QBP;RRM1;MCM7;KPNB1;SNRPD3;YWHAE;HNRNPC;PPIA;NAP1L1;PGK1;GSPT1;RAN;SRSF3;RPL6;MCM6;SMARCC1;RPLP0;SF3B3;CCNA2;TFDP1;PSMD14;VBP1;FAM120A;GOT2;PA2G4;IMPDH2;DEK;TARDBP;NOP56;EIF4H;VDAC3;ILF2;EIF4E;CLNS1A;SNRPA;TRIM28;MRPL23;SRM;SRPK1;PSMA4;SLC25A3;CCT2;PSMB3;HDAC2;VDAC1;CDC45;SRSF1;CAD;PSMD3;CTPS1;HPRT1;MCM2;NOP16;PABPC4;PHB;TOMM70;EIF4A1;AIMP2;RPL14;NOLC1;SRSF2;PRDX3;DUT;FBL;EXOSC7;DHX15;UBE2L3;APEX1;CDK2;PSMA2;ABCE1;XPOT;RNPS1;EIF3B;CSTF2;CUL1;CDK4;SNRPD2;PHB2;SNRPD1;CANX;DDX18;CCT7;USP1;MAD2L1;NCBP1;BUB3	HCC1143	Q1_anchor_vs_Q4_low_information	Q1_anchor	Q4_low_information	hallmark	mean_signed_shift_positive_category_minus_negative_category	exploratory response-program contrast; not a causal mechanism or target-membership enrichment claim	4.419153853427312e-05	4.35466087815453	Anchor vs low-info
mTORC1 Signaling	-0.563006065012161	-1.22950583711159	0.0741931906399024	0.218767990788716	0.0539014313173232	198	200	down	ENO1;HSPD1;CALR;LDHA;MCM4;HSPE1;HSP90B1;CCT6A;IMMT;FADS1;PDAP1;GMPS;SLC7A5;DHFR;SDF2L1;PLK1;TCEA1;HSPA4;GAPDH;STIP1;PPIA;PGK1;G6PD;RRM2;ACACA;CACYBP;PSMD12;UCHL5;PSMD14;AURKA;GPI;SLC9A3R1;RPA1;PRDX1;FDXR;PSPH;PSMB5;PITPNB;BUB1;ARPC5L;SRD5A1;UNG;PSMA4;ACLY;ATP2A2;NMT1;PFKL;PLOD2;DHCR24;CTSC;HMBS;POLR3G;ACTR2;SQLE;IDH1;LDLR;SERPINH1;EBP;HPRT1;MCM2;ME1;TPI1;HMGCS1;GGA2;IFI30;NUP205;TOMM40;ELOVL6;USO1;TMEM97;DDX39A;ADD3;CCNF;DHCR7;HSPA5;TUBG1;ACSL3;HMGCR;NFYC;TFRC;M6PR;PSMA3;SHMT2;PIK3R3;ABCF2;CANX;MTHFD2;RDH11;SORD;FADS2;TUBA4A;HSPA9;ALDOA;TBK1;CYP51A1	HCC1143	Q1_anchor_vs_Q4_low_information	Q1_anchor	Q4_low_information	hallmark	mean_signed_shift_positive_category_minus_negative_category	exploratory response-program contrast; not a causal mechanism or target-membership enrichment claim	0.2187679907887161	0.6600162218302889	Anchor vs low-info
E2F Targets	-0.805686055892288	-1.7594760876645	1e-10	2.5e-09		198	200	down	PRKDC;DNMT1;NASP;STMN1;SMC4;HMMR;LMNB1;ANP32E;CDKN3;XRCC6;MCM4;HNRNPD;TK1;PAICS;RANBP1;BIRC5;DLGAP5;CDC20;TUBB;TMPO;SMC1A;MKI67;MYBL2;PCNA;SSRP1;UBE2T;MCM3;ILF3;CENPE;GINS1;STAG1;CCNB2;PLK1;ATAD2;MCM5;KPNA2;XPO1;POLD2;KIF4A;RFC3;HMGA1;DEPDC1;NBN;HMGB3;TOP2A;HMGB2;MCM7;SPC25;MELK;CBX5;NAP1L1;GSPT1;MMS22L;LIG1;RAN;RRM2;MCM6;EZH2;PSIP1;JPT1;RPA3;IPO7;AURKA;PA2G4;DEK;BRCA1;RPA1;MSH2;ASF1B;NOP56;CIT;DIAPH3;TIMELESS;TACC3;NUP107;CDCA3;PRIM2;CCP110;HELLS;UNG;DSCC1;KIF22;RACGAP1;PNN;KIF18B;SHMT1;UBR7;CDC25B;BRCA2;BARD1;SRSF1;AURKB;TIPIN;CTPS1;TCF19;MCM2;CTCF;POLA2;LBR;CSE1L;TP53;NOLC1;E2F8;KIF2C;NCAPD2;SRSF2;POLE;BUB1B;DUT;GINS4;NUP205;SNRPB;CHEK2;CENPM;TRIP13;DDX39A;PDS5B;ASF1A;TUBG1;POLD1;SMC3;TFRC;CDK4;LUC7L3;DCTPP1;PLK4;MTHFD2;SMC6;NUP153;USP1	HCC1143	Q1_anchor_vs_Q4_low_information	Q1_anchor	Q4_low_information	hallmark	mean_signed_shift_positive_category_minus_negative_category	exploratory response-program contrast; not a causal mechanism or target-membership enrichment claim	2.5e-09	8.602059991327963	Anchor vs low-info
G2-M Checkpoint	-0.802278877314962	-1.74948348130823	1e-10	2.5e-09		195	200	down	MT2A;NCL;CENPF;NASP;HNRNPU;STMN1;PRC1;HMGN2;TPX2;HSPA8;SMC4;SFPQ;HMMR;LMNB1;CDKN3;RASAL2;HNRNPD;BIRC5;CDC20;SMAD3;G3BP1;TMPO;SMC1A;MKI67;MYBL2;NSD2;CBX1;DKC1;EFNA5;NUSAP1;MCM3;ILF3;RAD23B;KIF23;CENPE;SLC7A5;CCND1;RBL1;NDC80;STAG1;CCNB2;PLK1;MCM5;KPNA2;XPO1;SMC2;CASP8AP2;KIF4A;HMGA1;HMGB3;TOP2A;KPNB1;GSPT1;GINS2;ATRX;MCM6;DTYMK;SMARCC1;EZH2;KNL1;JPT1;CCNA2;TFDP1;MNAT1;UCK2;AURKA;FBXO5;FANCC;KIF20B;PBK;TACC3;CHAF1A;BUB1;DBF4;PRIM2;KIF11;KIF22;RACGAP1;CDC25B;BRCA2;TTK;CUL5;BARD1;CUL3;CDC45;TENT4A;MAP3K20;SRSF1;MAPK14;SQLE;AURKB;MCM2;TROAP;CTCF;CUL4A;POLA2;LBR;NOLC1;KIF2C;SRSF2;POLE;NEK2;HIF1A;MEIS2;CDC7;POLQ;DDX39A;WRN;CCNF;PDS5B;E2F1;NUP98;ODF2;INCENP;PURA;KMT5A;SRSF10;AMD1;CUL1;CDK4;SNRPD1;PLK4;HIRA;EWSR1;MAD2L1;PRPF4B;BUB3;ESPL1;RAD54L;TOP1	HCC1143	Q1_anchor_vs_Q4_low_information	Q1_anchor	Q4_low_information	hallmark	mean_signed_shift_positive_category_minus_negative_category	exploratory response-program contrast; not a causal mechanism or target-membership enrichment claim	2.5e-09	8.602059991327963	Anchor vs low-info
Mitotic Spindle	-0.788792835233653	-1.72386475401254	6.963724398466921e-10	1.16062073307782e-08	0.801215574617779	199	199	down	ARHGAP29;TRIO;CENPF;PRC1;TPX2;MYO1E;SMC4;LMNB1;ANLN;MYH9;RASAL2;SEPTIN9;EPB41L2;BIRC5;VCL;DLGAP5;SMC1A;PDLIM5;NUSAP1;AKAP13;KIF23;CENPE;TBCD;NDC80;SPTBN1;CCNB2;PLK1;FLNA;ACTN4;KIF4A;DST;RASA1;NIN;SAC3D1;TOP2A;CLASP1;CTTN;YWHAE;ECT2;TLK1;ARHGDIA;CKAP5;KIF1B;DYNC1H1;PALLD;AURKA;FBXO5;DLG1;FSCN1;TUBGCP5;KIF20B;CDC42BPA;ALMS1;FLNB;ITSN1;OPHN1;LRPPRC;TIAM1;BUB1;KIF3B;RABGAP1;KIF11;KIF22;CCDC88A;SORBS2;RACGAP1;CEP192;CDC42;FARP1;BRCA2;TTK;SSH2;STAU1;RAPGEF6;RALBP1;MYO9B;FGD6;ARHGEF3;NCK2;CEP250;KNTC1;ARHGAP10;HOOK3;ABR;ARFGEF1;EPB41;CLIP2;KIF2C;PCM1;PXN;NF1;CDK5RAP2;NEK2;GEMIN4;CAPZB;PCNT;SOS1;PIF1;BCAR1;KIF3C;CEP131;MID1;RAPGEF5;SMC3;INCENP;MYH10	HCC1143	Q1_anchor_vs_Q4_low_information	Q1_anchor	Q4_low_information	hallmark	mean_signed_shift_positive_category_minus_negative_category	exploratory response-program contrast; not a causal mechanism or target-membership enrichment claim	1.1606207330778201e-08	7.935309675559473	Anchor vs low-info
TNF-alpha Signaling via NF-kB	0.620034322932335	1.65377483785048	4.90754409640851e-05	0.0004907544096408	0.557332238758646	200	200	up	GADD45A;SOD2;PPP1R15A;BTG1;PLAUR;PNRC1;BTG3;ATF3;EIF1;LAMB3;SQSTM1;KLF6;EDN1;TSC22D1;IRS2;HBEGF;CCNL1;JUN;TUBB2A;SDC4;IRF1;GADD45B;MCL1;CDKN1A;AREG;MAFF;SAT1;TGIF1;SERPINB8;TNF;NFIL3;KLF4;YRDC;INHBA;VEGFA;CEBPB;RCAN1;ZBTB10;TRIB1;IL6;JUNB;SGK1;IFIT2;PTX3;IL23A;RELB;RELA;ICOSLG;TNFRSF9;DNAJB4;MXD1;CXCL1;NFKBIA;TNIP2;DUSP4;CCN1;PHLDA2;KDM6B;LITAF;PTPRE;EFNA1;CXCL3;RHOB;PER1;TANK;NINJ1;MSC;NAMPT;TIPARP;DUSP1;IFIH1;SPSB1;FOSL2;TNFAIP3;RIPK2;BCL6;GEM	HCC1143	Q1_anchor_vs_Q4_low_information	Q1_anchor	Q4_low_information	hallmark	mean_signed_shift_positive_category_minus_negative_category	exploratory response-program contrast; not a causal mechanism or target-membership enrichment claim	0.0004907544096408	3.309135789386514	Anchor vs low-info
Apical Junction	-0.632843419439056	-1.38327343785918	0.0048688724134115	0.0304304525838221	0.218259775284787	200	200	down	EGFR;ACTB;PTK2;ITGB4;MYH9;EPB41L2;VCL;ITGB1;NF2;EXOC4;PFN1;ITGA3;ACTG1;ACTN4;PIK3CB;RASA1;ACTN1;LAMA3;RSU1;CDK8;NEGR1;CDH3;DLG1;FSCN1;TGFBI;CNN2;GAMT;PTEN;YWHAH;VAV2;ADAM9;IRS1;MAP3K20;MAPK14;SYMPK;TJP1;SIRPA;ADRA1B;MSN;CTNNA1;GNAI2;NF1;B4GALT1;TSPAN4;GTF2F1;SLIT2;BAIAP2;ADAM15;MPP5;CALB2;TUBG1;PARVA;SHC1;MAP4K2;MYH10;CNTN1;PIK3R3;STX4;CTNND1;HRAS;EVL;JUP;PPP2R2C;TAOK2;CD99;CLDN7;CDH11;PKD1;RAC2;TSC1;NECTIN1;CERCAM;SGCE;AKT3;CADM2;NLGN2;NECTIN3	HCC1143	Q1_anchor_vs_Q4_low_information	Q1_anchor	Q4_low_information	hallmark	mean_signed_shift_positive_category_minus_negative_category	exploratory response-program contrast; not a causal mechanism or target-membership enrichment claim	0.0304304525838218	1.516691588450414	Anchor vs low-info
Glycolysis	-0.635162030767945	-1.38811280861032	0.004315591457342	0.0304304525838221	0.232056818075608	199	200	down	ENO1;EXT1;IGFBP3;NASP;STMN1;PKM;EGFR;HMMR;LDHA;PAM;HDLBP;PGLS;FUT8;TALDO1;HS6ST2;DEPDC1;PPIA;PGK1;G6PD;PLOD1;ADORA2B;NT5E;AURKA;GOT2;COPB2;PMM2;GPC1;MIF;CLDN3;TXN;TGFBI;POLR3K;PFKP;PYGL;KIF2A;KIF20A;IER3;GUSB;PLOD2;GALK2;MET;SLC16A3;SLC25A10;TPBG;SLC25A13;PGAM1;IDH1;HS2ST1;LHPP;ALDH7A1;ME1;TPI1;ARTN;COL5A1;B4GALT1;QSOX1;CASP6;MPI;HOMER1;GALE;HSPA5;AKR1A1;TSTA3;GYS1;GLCE;IL13RA1;FKBP4;GALK1;TPST1;SDHC;COG2;B4GALT2;ALDH9A1;ALDOA;CHST12;PGM2;PYGB;AGL;AGRN;CLN6;PC;B4GALT7;CD44;ALG1	HCC1143	Q1_anchor_vs_Q4_low_information	Q1_anchor	Q4_low_information	hallmark	mean_signed_shift_positive_category_minus_negative_category	exploratory response-program contrast; not a causal mechanism or target-membership enrichment claim	0.0304304525838218	1.516691588450414	Anchor vs low-info
Myc Targets V1	-0.718803278188062	-1.62801320827276	7.33805202332483e-06	9.17256502915603e-05	0.610526878385931	196	200	down	HNRNPA2B1;HNRNPU;RPS3;TYMS;HSP90AB1;EIF4G2;HNRNPA3;LDHA;HNRNPR;HSPD1;SRSF7;HNRNPA1;SERBP1;PTGES3;PSMA1;HNRNPD;XRCC6;RPS2;HSPE1;SRSF3;SNRPA1;MCM4;PPM1G;PCNA;CCT3;PSMD1;RANBP1;EEF1B2;CDC20;HNRNPC;SET;RAD23B;MCM5;CCT5;RUVBL2;G3BP1;PPIA;RPL6;XPO1;RAN;MCM7;NAP1L1;C1QBP;RRM1;GSPT1;RPL34;RPLP0;SRSF2;CYC1;YWHAE;SRSF1;NOP56;PSMA4;ILF2;SMARCC1;SNRPD3;MCM6;POLD2;TRIM28;SF3B3;CDC45;EIF4H;PGK1;EIF4A1;CCNA2;HPRT1;SLC25A3;SRPK1;KPNB1;EIF4E;GOT2;PSMB3;VBP1;SNRPD2;CLNS1A;KPNA2;TFDP1;FBL;HDGF;FAM120A;CCT2;IMPDH2;SNRPA;PABPC4;HDAC2;VDAC3;NOP16;TARDBP;PSMA2;NOLC1;NPM1;DEK;CTPS1;CDK4;TOMM70;PSMD3;PSMD14;ABCE1;VDAC1;MCM2;APEX1;PHB;PRDX3;DHX15;CANX;CDK2	HCC1143	Q1_anchor_vs_middle	Q1_anchor	middle	hallmark	mean_signed_shift_positive_category_minus_negative_category	exploratory response-program contrast; not a causal mechanism or target-membership enrichment claim	9.172565029156037e-05	4.037509200618238	Anchor vs middle
mTORC1 Signaling	-0.565832881732654	-1.28175333955761	0.0377607288420043	0.157336370175018	0.0800618093065621	198	200	down	ENO1;CALR;LDHA;HSP90B1;HSPD1;HSPE1;MCM4;CCT6A;GMPS;PDAP1;FADS1;TCEA1;PPIA;IMMT;SDF2L1;DHFR;ATP2A2;HSPA4;PLOD2;GAPDH;RRM2;HSPA5;PSMA4;DDX39A;RPA1;ACACA;SLC7A5;PLK1;PSMD12;STIP1;HMBS;FDXR;PGK1;AURKA;HPRT1;CTSC;UCHL5;ACTR2;TFRC;G6PD;BUB1;UNG;SERPINH1;USO1;EBP;SRD5A1;PSMB5;PRDX1;CACYBP;IDH1;IFI30;TUBG1;PITPNB;ARPC5L;ACLY;SLC9A3R1;ACSL3;PSMA3;LDLR;DHCR24;PSMD14;PSPH;ME1;GPI;PFKL;TBK1;MCM2;POLR3G;MAP2K3;GSK3B;HMGCS1;IDI1;NUP205;TOMM40;ELOVL6;CANX;NFYC;NMT1;M6PR;CCNF;RDH11;ADD3;TMEM97;TPI1;CYP51A1	HCC1143	Q1_anchor_vs_middle	Q1_anchor	middle	hallmark	mean_signed_shift_positive_category_minus_negative_category	exploratory response-program contrast; not a causal mechanism or target-membership enrichment claim	0.1573363701750179	0.803170873431818	Anchor vs middle
