cell_line	truth_metric	depmap_endpoint	n_targets	spearman_rho_raw	spearman_pvalue	pearson_r_raw	pearson_pvalue	spearman_rho_aligned	pearson_r_aligned	alignment_note	panel	timepoint	kept_cells	controls_in_kept_cells	targets_in_kept_cells	sg_guides	intergenic_guides	metric	value	object	level	structural_stability	cutoff_stability	bootstrap_status	covariate_status	evidence_tier	allowed_wording	disallowed_wording	endpoint	role	tier	matrix_cells	matrix_cells_unassigned
HCC38	real_shift_mean_abs	depmap_gene_dependency	47.0	0.7257957275155708	7.817813632715767e-09	0.7367887203519019	3.542116170700765e-09	0.7257957275155708	0.7367887203519019	depmap_gene_effect: aligned>0 表示 truth metric 越高，gene effect 越负；depmap_gene_dependency: aligned>0 表示 truth metric 越高，gene dependency 越高	a																						
HCC1143	real_shift_mean_abs	depmap_gene_dependency	48.0	0.7792497165337711	6.855312366129821e-11	0.7610164660837115	3.431439275203321e-10	0.7792497165337711	0.7610164660837115	depmap_gene_effect: aligned>0 表示 truth metric 越高，gene effect 越负；depmap_gene_dependency: aligned>0 表示 truth metric 越高，gene dependency 越高	a																						
											b	13d	15849	3491	12358	26	4																
											b	7d	28034	5381	22653	26	4																
											c							input_score_matrix_path	/home/data/gz0705/WTKO/RNAi/D2_combined_gene_dep_scores.csv														
											c							input_cell_lines	712														
											c							mapped_cell_lines	701														
											c							missing_model_id_mappings	11														
											c							genes	17309														
											c							score_direction	lower_is_more_dependent														
											c							gene_effect_output	/home/data/gz0705/WTKO/depmap/RNAiDEMETER2GeneEffect.csv														
											c							gene_dependency_output	/home/data/gz0705/WTKO/depmap/RNAiDEMETER2GeneDependency.csv														
											d									global_truth_depmap_bridge	global	retained	retained	not_applicable	covariate_audited_but_not_fully_closed	retainable_global_claim	当前证据支持 truth-DepMap bridge 在整体与结构层面上成立；该结论在现有 covariate audit 下仍可保留	bridge has been fully deconfounded; bridge is proved without meaningful confounding risk					
											d									Dixit_K562_temporal_panel	supplementary	A0_confirmed_A1_temporal_stratified_B_not_eligible	not_primary_target	not_primary_target	not_primary_target	A0_confirmed_A1_supporting	7d 和 13d 均确认 backbone_plus_shift_excess；7d rank alignment 更强，13d mean shift 更大；只能写成 architecture form 时间稳定性与 bridge readout temporal stratification	13d is uniformly stronger than 7d; temporal panel proves external model-side generalization; K562 temporal panel establishes content-level convergence					
											d									Replogle_RNAi_expansion_candidate	external_expansion	not_yet_admitted	not_yet_checked	not_yet_checked	not_yet_checked	admission_required	Replogle 7d CRISPRi + DepMap RNAi/shRNA dependency 只能作为 short-horizon / modality-compatible external expansion；先完成 cell line/gene namespace/target overlap/endpoint metadata check，再决定是否下载并正式运行	Replogle RNAi expansion is primary closure; DepMap RNAi is a siRNA matched endpoint; Replogle expansion proves external model-side generalization					
											e																		CRISPR DepMap	primary bridge readout	primary		
											e																		RNAi DEMETER2	cross-platform sensitivity	sensitivity		
											e																		K562 GSE90063	supplementary temporal panel	supplementary		
											f	13d	15849																			19268	3419
											f	7d	28034																			33013	4979
HCC38	real_shift_mean_abs	depmap_gene_dependency						0.7257957275155708			g																						
HCC1143	real_shift_mean_abs	depmap_gene_dependency						0.7792497165337711			g																						
											h									Dixit_K562_supplementary	supplementary	A0_confirmed_A1_supporting_B_not_eligible	not_primary_target	not_primary_target	not_primary_target	A0_confirmed_A1_supporting	K562 13d/7d 支持 formal supplementary external evidence：A0 architecture form confirmed / A1 bridge form supporting / B content-level not eligible；NOT primary co-pillar	Dixit/K562 provides a symmetric primary conclusion with HCC; K562 provides content-level replication established					
											h									Dixit_K562_temporal_panel	supplementary	A0_confirmed_A1_temporal_stratified_B_not_eligible	not_primary_target	not_primary_target	not_primary_target	A0_confirmed_A1_supporting	7d 和 13d 均确认 backbone_plus_shift_excess；7d rank alignment 更强，13d mean shift 更大；只能写成 architecture form 时间稳定性与 bridge readout temporal stratification	13d is uniformly stronger than 7d; temporal panel proves external model-side generalization; K562 temporal panel establishes content-level convergence					
											h									discovery_phenotype_shifter	discovery	not_yet_gated	not_yet_gated	not_yet_gated	upstream_claims_not_yet_fully_closed	gated_downstream_layer	discovery 当前只能写成 gated downstream layer	discovery is a current formal primary deliverable					
