context	profile	umap1	umap2	is_control	is_highlight
K562 13d	control	5.131092071533203	-7.357706069946289	True	False
K562 13d	CREB1	5.460148811340332	-9.010440826416016	False	False
K562 13d	E2F4	4.987846374511719	-8.189717292785645	False	False
K562 13d	EGR1	5.831075191497803	-8.090229988098145	False	False
K562 13d	ELF1	4.10812520980835	-8.549774169921875	False	False
K562 13d	ELK1	6.656441688537598	-7.623875141143799	False	False
K562 13d	ETS1	5.2062087059021	-6.346015453338623	False	False
K562 13d	GABPA	5.984195232391357	-6.919660568237305	False	False
K562 13d	IRF1	6.431313514709473	-8.710470199584961	False	True
K562 13d	NR2C2	3.9432199001312256	-7.594933032989502	False	False
K562 13d	YY1	4.431514263153076	-6.725462436676025	False	True
