target	abs_shift	context
MAML3	0.0039010408237359	HCC38
ZNF24	0.0039710221358838	HCC38
XBP1	0.0040282961697656	HCC38
CDKN2A	0.0040551040534158	HCC38
PCBD1	0.0041690086810655	HCC38
ERC1	0.00417172244801	HCC38
COMMD6	0.0042202270388882	HCC38
NCOA1	0.0043489041564256	HCC38
PEX14	0.004391741095693	HCC38
UBP1	0.004398069047543	HCC38
TMSB4X	0.0045126915949235	HCC38
ZNF566	0.0045411647163488	HCC38
SMAD1	0.0045644798021591	HCC38
ZBTB5	0.0046384099549855	HCC38
RORC	0.0047603589109585	HCC38
ZBTB20	0.0048062658192207	HCC38
PRDX2	0.0048643958897732	HCC38
STAT3	0.0049421595924907	HCC38
MIER1	0.0049938655360828	HCC38
PARK7	0.0050560733285705	HCC38
THAP8	0.0050563694115236	HCC38
ETV3	0.0051298888376656	HCC38
HLX	0.0052991294769277	HCC38
TAB3	0.005355838101385	HCC38
HDGF	0.0053940020400889	HCC38
KLF3	0.0054676604656395	HCC38
BMPR1A	0.0056197913890013	HCC38
MTDH	0.0056310162158605	HCC38
THRA	0.0058419151883759	HCC38
GON4L	0.0060144581054616	HCC38
TMF1	0.00630257681098	HCC38
MYBL1	0.0071407239504648	HCC38
PA2G4	0.0071702138866234	HCC38
VEZF1	0.0073740581188237	HCC38
YBX1	0.0076494599161971	HCC38
ZBTB17	0.0079465191255336	HCC38
RUVBL2	0.0082501146934477	HCC38
ARID1A	0.0085365617536346	HCC38
PFDN5	0.0091179791241103	HCC38
TADA3	0.0091400872937874	HCC38
PMF1	0.0092008578860405	HCC38
RPS3	0.0096911866022176	HCC38
ZNF131	0.0098454685363047	HCC38
ENY2	0.0103397858020701	HCC38
LAMTOR5	0.0106435490794122	HCC38
NPM1	0.0113723052385142	HCC38
PRPF6	0.0144798741040019	HCC38
