target	abs_shift	context
NCOA1	0.0039071575713196	HCC1143
TMSB4X	0.0039703565382887	HCC1143
HDGF	0.0039901671750222	HCC1143
MAML3	0.0042930848646172	HCC1143
ZNF24	0.0043616307953344	HCC1143
ZBTB20	0.0043814448697306	HCC1143
PEX14	0.0044493142820248	HCC1143
ZNF566	0.0044548810181222	HCC1143
COMMD6	0.0045342930040741	HCC1143
SMAD1	0.0045476060135123	HCC1143
RORC	0.0045634026869297	HCC1143
STAT3	0.0045791788860737	HCC1143
XBP1	0.0045885756847594	HCC1143
UBP1	0.0046551429363536	HCC1143
PCBD1	0.004675198066501	HCC1143
MTDH	0.0047338690320834	HCC1143
ERC1	0.0048784834929897	HCC1143
HLX	0.0050212083343797	HCC1143
CDKN2A	0.0050523230156554	HCC1143
THAP8	0.0050716034302432	HCC1143
ZBTB5	0.0053368219337521	HCC1143
THRA	0.0053431820384494	HCC1143
ETV3	0.0053871026377591	HCC1143
KLF3	0.0053919861225157	HCC1143
PRDX2	0.0055213995831513	HCC1143
MIER1	0.0057833931966825	HCC1143
TMF1	0.0058951763799742	HCC1143
PA2G4	0.0059315461556859	HCC1143
VEZF1	0.0060274132373266	HCC1143
TAB3	0.0060275444241772	HCC1143
PARK7	0.0061480042391653	HCC1143
BMPR1A	0.0070281282052424	HCC1143
ARID1A	0.0073327186787757	HCC1143
NPM1	0.0074812035133293	HCC1143
GON4L	0.0076879048971422	HCC1143
YBX1	0.0077493948528648	HCC1143
RPS3	0.007860948328555	HCC1143
MYBL1	0.0084130142568229	HCC1143
LAMTOR5	0.0093777769035242	HCC1143
PFDN5	0.0102329499993855	HCC1143
TADA3	0.0103750807743799	HCC1143
ENY2	0.0105137437444661	HCC1143
ZNF131	0.0105522037854389	HCC1143
ZBTB17	0.010587215682323	HCC1143
RUVBL2	0.0119327730703482	HCC1143
PMF1	0.0127756932567781	HCC1143
PRPF6	0.0154111896961658	HCC1143
