target_gene	n_cell_lines	q1_anchor_count	q2_count	q3_count	q4_count	shift_quantile_mean	depmap_quantile_mean	shift_value_mean	depmap_strength_mean	shared_anchor_call	panel	object_type	object_id	primary_call	stability_fraction	evidence_tier	cell_line	truth_metric	depmap_endpoint	n_replicates	spearman_aligned_mean	spearman_aligned_std	spearman_aligned_q025	spearman_aligned_q50	spearman_aligned_q975	configured_replicates	completed_replicates	formal_interval_citable	sensitivity_claim_status	structural_stability	covariate_cleanliness	final_wording_tier	recommended_writeup	object	level	cutoff_stability	bootstrap_status	covariate_status	allowed_wording	disallowed_wording
SS18L2	1.0	1.0	0.0	0.0	0.0	1.0	0.96875	0.0243279181183303	1.0	not_shared_canonical_anchor	a																													
ENY2	2.0	1.0	0.0	0.0	0.0	0.9055851063829788	0.7586436170212766	0.0104267647732681	0.3191986358860827	not_shared_canonical_anchor	a																													
TADA3	2.0	1.0	0.0	0.0	0.0	0.8526152482269503	0.6088209219858156	0.0097575840340836	0.1427048710233327	not_shared_canonical_anchor	a																													
NPM1	2.0	1.0	0.0	0.0	0.0	0.8435283687943262	0.8113918439716312	0.0094267543759217	0.5089025899006879	not_shared_canonical_anchor	a																													
YBX1	2.0	1.0	0.0	0.0	0.0	0.7473404255319149	0.9530141843971632	0.0076994273845309	0.995673401127587	not_shared_canonical_anchor	a																													
LAMTOR5	2.0	0.0	0.0	0.0	0.0	0.8849734042553192	0.600177304964539	0.0100106629914682	0.1058688184415251	not_shared_canonical_anchor	a																													
ARID1A	2.0	0.0	0.0	0.0	0.0	0.7480053191489362	0.7149822695035462	0.0079346402162051	0.1796880544319818	not_shared_canonical_anchor	a																													
MYBL1	2.0	0.0	0.0	0.0	0.0	0.7362588652482269	0.2943262411347517	0.0077768691036438	0.0177993000638528	not_shared_canonical_anchor	a																													
GON4L	2.0	0.0	0.0	0.0	0.0	0.6837322695035462	0.7477836879432624	0.0068511815013019	0.2311416306665161	not_shared_canonical_anchor	a																													
VEZF1	2.0	0.0	0.0	0.0	0.0	0.6637854609929078	0.474290780141844	0.0067007356780751	0.0485186946589241	not_shared_canonical_anchor	a																													
PA2G4	2.0	0.0	0.0	0.0	0.0	0.6427304964539007	0.6855053191489362	0.0065508800211546	0.2313293137748518	not_shared_canonical_anchor	a																													
BMPR1A	2.0	0.0	0.0	0.0	0.0	0.6205673758865249	0.7679521276595744	0.0063239597971218	0.2700578526945297	not_shared_canonical_anchor	a																													
