target_gene	n_cell_lines	q1_anchor_count	q2_count	q3_count	q4_count	shift_quantile_mean	depmap_quantile_mean	shift_value_mean	depmap_strength_mean	shared_anchor_call
SS18L2	1	1	0	0	0	1.0	0.96875	0.0243279181183303	1.0	not_shared_canonical_anchor
ENY2	2	1	0	0	0	0.9055851063829788	0.7586436170212766	0.0104267647732681	0.3191986358860827	not_shared_canonical_anchor
TADA3	2	1	0	0	0	0.8526152482269503	0.6088209219858156	0.0097575840340836	0.1427048710233327	not_shared_canonical_anchor
NPM1	2	1	0	0	0	0.8435283687943262	0.8113918439716312	0.0094267543759217	0.5089025899006879	not_shared_canonical_anchor
YBX1	2	1	0	0	0	0.7473404255319149	0.9530141843971632	0.0076994273845309	0.995673401127587	not_shared_canonical_anchor
LAMTOR5	2	0	0	0	0	0.8849734042553192	0.600177304964539	0.0100106629914682	0.1058688184415251	not_shared_canonical_anchor
ARID1A	2	0	0	0	0	0.7480053191489362	0.7149822695035462	0.0079346402162051	0.1796880544319818	not_shared_canonical_anchor
MYBL1	2	0	0	0	0	0.7362588652482269	0.2943262411347517	0.0077768691036438	0.0177993000638528	not_shared_canonical_anchor
GON4L	2	0	0	0	0	0.6837322695035462	0.7477836879432624	0.0068511815013019	0.2311416306665161	not_shared_canonical_anchor
VEZF1	2	0	0	0	0	0.6637854609929078	0.474290780141844	0.0067007356780751	0.0485186946589241	not_shared_canonical_anchor
PA2G4	2	0	0	0	0	0.6427304964539007	0.6855053191489362	0.0065508800211546	0.2313293137748518	not_shared_canonical_anchor
BMPR1A	2	0	0	0	0	0.6205673758865249	0.7679521276595744	0.0063239597971218	0.2700578526945297	not_shared_canonical_anchor
TMF1	2	0	0	0	0	0.6110372340425532	0.6101507092198581	0.006098876595477	0.1102030394105996	not_shared_canonical_anchor
TAB3	2	0	0	0	0	0.5678191489361701	0.2539893617021276	0.005691691262781	0.0178024040707619	not_shared_canonical_anchor
THRA	2	0	0	0	0	0.537677304964539	0.5157358156028369	0.0055925486134126	0.0518377480502198	not_shared_canonical_anchor
PARK7	2	0	0	0	0	0.5356826241134752	0.4616578014184397	0.0056020387838678	0.0766957710649123	not_shared_canonical_anchor
KLF3	2	0	0	0	0	0.5265957446808511	0.5800088652482269	0.0054298232940776	0.0993135255751906	not_shared_canonical_anchor
ETV3	2	0	0	0	0	0.4736258865248227	0.6099290780141844	0.0052584957377123	0.1126451393148547	not_shared_canonical_anchor
MIER1	2	0	0	0	0	0.4729609929078013	0.1679964539007092	0.0053886293663826	0.0087314456543256	not_shared_canonical_anchor
