pathway	ES	NES	pval	direction	n_genes_in_set	n_genes_after_intersection	padj	log2err	leading_edge	context	target	n_perturbed	n_control	n_genes_ranked	ranking_method	gene_filter	msigdb_collection	display_group	display_name	exact_gs_name	context_target	row_order	selection_tier	selection_reason	pathway_order	partner_context	spearman_rho	sign_agree_fraction	n_pathways
HALLMARK_APOPTOSIS	0.58593902130022	1.42510771631265	0.0076684614129548	up	161	158	0.0479278838309675	0.211070537868325	SOD2;TIMP2;PMAIP1;LGALS3;GADD45A;ISG20;KRT18;TIMP1;ANXA1;CCND1;IRF1;BID;DDIT3;CDKN1A;BTG3;JUN;SQSTM1;CLU;ATF3;CD44;IGFBP6;GSN;SPTAN1;IGF2R;TNFRSF12A;ETF1;SAT1;SOD1;DFFA;VDAC2;BCL2L1;IL6;HSPB1;PEA15;H1F0;HMOX1;CDKN1B;TNF;MADD;BIK;IL18;DNAJA1;BCL2L11;BCL10;TSPO;CYLD;MCL1;RELA;SLC20A1	HCC1143	PFDN5	57	1325	36601	mean_log_expr_perturbed_minus_control	False	H	Cell death / stress	Apoptosis	HALLMARK_APOPTOSIS	HCC1143 / PFDN5	0	Tier 1	benchmark-relevant anchor	0	HCC38	-0.016950780312124852	0.32	50
HALLMARK_P53_PATHWAY	0.513585309282728	1.27358433026369	0.0387127608730285	up	200	196	0.132256824298347	0.0915140765993025	KRT17;SLC3A2;GADD45A;NUPR1;UPP1;RPS27L;VAMP8;PERP;PPP1R15A;TRIB3;BTG1;DDIT3;CDKN1A;KLF4;JUN;AK1;HINT1;ATF3;TGFA;TM4SF1;TPRKB;RAP2B;MKNK2;SAT1;EPHA2;TPD52L1;SPHK1;HBEGF;KLK8;PMM1;MXD4;TSC22D1;NDRG1;CD81;HIST3H2A;CD82;MXD1;PTPN14;HMOX1;SDC1;CDKN2B;FOXO3;BLCAP;MAPKAPK3;RCHY1;SOCS1;FAM162A;RHBDF2;TM7SF3;SERPINB5;TCN2;PHLDA3;CSRNP2;AEN;GM2A;CDKN2AIP;APP;ZFP36L1;TSPYL2;ST14;RAB40C;CGRRF1;TGFB1;CTSF;PLK3;FGF13;RRAD;ZMAT3;S100A10;TAX1BP3;TRAFD1;NINJ1;SLC7A11;TAP1;CDK5R1;IP6K2	HCC1143	PFDN5	57	1325	36601	mean_log_expr_perturbed_minus_control	False	H	Cell death / stress	P53 Pathway	HALLMARK_P53_PATHWAY	HCC1143 / PFDN5	0	Tier 1	benchmark-relevant anchor	1	HCC38	-0.016950780312124852	0.32	50
HALLMARK_TNFA_SIGNALING_VIA_NFKB	0.661515035486909	1.64146597029667	2.99990370875331e-05	up	200	197	0.0010046770322261	0.575610261071129	SOD2;LAMB3;AREG;TUBB2A;KLF6;GADD45A;IRS2;IFIT2;CCND1;IRF1;SDC4;PLAUR;PPP1R15A;BTG1;EDN1;CDKN1A;BTG3;PNRC1;IFIH1;KLF4;EIF1;JUN;SQSTM1;YRDC;MARCKS;ATF3;CD44;VEGFA;MYC;CEBPB;DUSP5;SAT1;DUSP4;RCAN1;SERPINB8;CXCL1;PHLDA2;LITAF;NFIL3;SPHK1;HBEGF;DUSP1;SGK1;NFKBIE;IL6;TGIF1;TNC;TSC22D1;TANK;TNIP1;MXD1;CCNL1;MAP2K3;TNF;SPSB1;IL18;ZBTB10;NAMPT;PTX3;TNFAIP3;EHD1;TNFRSF9;REL;MCL1;RELA;NFKB1;GEM;TRIB1;DDX58;MAFF;IL6ST;F2RL1;MAP3K8;PANX1	HCC1143	PFDN5	57	1325	36601	mean_log_expr_perturbed_minus_control	False	H	Cell death / stress	Tnfa Signaling Via Nfkb	HALLMARK_TNFA_SIGNALING_VIA_NFKB	HCC1143 / PFDN5	0	Tier 1	benchmark-relevant anchor	2	HCC38	-0.016950780312124852	0.32	50
HALLMARK_INTERFERON_ALPHA_RESPONSE	0.468266964074448	1.07183500703194	0.31841475913905	up	97	93	0.430290215052771	0.0301460999658088	HLA-C;ISG20;ISG15;NCOA7;IFIT2;IRF1;B2M;WARS;IFIH1;IFIT3;CD47;IL4R;PLSCR1;IFI44;SP110;ELF1;PSMB8;TRIM26;GMPR;GBP2;OASL;SAMD9;DDX60;OGFR;PARP12;TRAFD1;TAP1;CMPK2;IRF9;CD74;MOV10;C1S;TRIM25	HCC1143	PFDN5	57	1325	36601	mean_log_expr_perturbed_minus_control	False	H	Inflammatory / interferon	Interferon Alpha Response	HALLMARK_INTERFERON_ALPHA_RESPONSE	HCC1143 / PFDN5	0	Tier 1	benchmark-relevant anchor	3	HCC38	-0.016950780312124852	0.32	50
HALLMARK_INTERFERON_GAMMA_RESPONSE	0.50677461525848	1.2581289225848	0.0458088118339431	up	200	198	0.139052755772796	0.0838535061362348	SOD2;HLA-B;ISG20;HLA-A;IFIT1;ISG15;IFIT2;IRF1;RBCK1;UPP1;B2M;VAMP8;WARS;BTG1;CDKN1A;IFIH1;CFB;IFIT3;IL4R;PIM1;PLSCR1;LATS2;PML;IL6;IFI44;SP110;MVP;PSMB8;APOL6;NAMPT;SOCS1;TRIM26;ARID5B;TNFAIP3;IFNAR2;NFKB1;PNP;DDX58;CASP3;XAF1;OASL;RIPK1;LYSMD2;NCOA3;DDX60;OGFR;ISOC1;IDO1;SPPL2A;PARP12	HCC1143	PFDN5	57	1325	36601	mean_log_expr_perturbed_minus_control	False	H	Inflammatory / interferon	Interferon Gamma Response	HALLMARK_INTERFERON_GAMMA_RESPONSE	HCC1143 / PFDN5	0	Tier 1	benchmark-relevant anchor	4	HCC38	-0.016950780312124852	0.32	50
HALLMARK_GLYCOLYSIS	-0.412601523489453	-1.06580746918994	0.262987886944818	down	200	198	0.410918573351279	0.0438558043137023	IGFBP3;ENO1;NASP;LDHA;HMMR;TSTA3;PMM2;HDLBP;TALDO1;EXT1;MIF;PAM;ADORA2B;CDK1;GALK2;TPI1;HSPA5;HS2ST1;PLOD2;FUT8;GALE;PSMC4;STMN1;SLC16A3;G6PD;POLR3K;PGAM1;PPIA;P4HA1;PGLS;GALK1;GOT2;GYS1;EGFR;HS6ST2;TGFBI;DEPDC1;ALDH7A1;DDIT4;AURKA;COG2;KIF2A;NSDHL;CASP6;GLCE;LHPP;COL5A1;B4GALT2;COPB2;GPC1;GCLC;CHST12;PDK3;ME1;XYLT2;ECD;CAPN5;PAXIP1;CTH;B4GALT1;PLOD1	HCC1143	PFDN5	57	1325	36601	mean_log_expr_perturbed_minus_control	False	H	Metabolic state	Glycolysis	HALLMARK_GLYCOLYSIS	HCC1143 / PFDN5	0	Tier 1	benchmark-relevant anchor	5	HCC38	-0.016950780312124852	0.32	50
HALLMARK_MTORC1_SIGNALING	-0.430975186209676	-1.11309551358947	0.182013422818792	down	200	196	0.313816246239296	0.0535163927028445	ENO1;HSP90B1;CALR;SDF2L1;HSPD1;HSPE1;PDAP1;GAPDH;LDHA;PSMD12;IFI30;PPA1;FDXR;PSMD13;PSMA4;CCT6A;HMBS;TPI1;HSPA5;PSMD14;SLC7A5;PSMA3;TXNRD1;PLOD2;PLK1;IDI1;PSMC4;UNG;TM7SF2;SLC9A3R1;IMMT;G6PD;PPIA;P4HA1;SHMT2;FADS1;PSPH;HPRT1;SERPINH1;POLR3G;CANX;STIP1;DDIT4;AURKA;CYP51A1;EBP;ACLY;DDX39A;ACTR2;HMGCS1;NMT1;ACACA;PFKL;TBK1;MCM4;LDLR;PSME3;ATP2A2;BHLHE40;GCLC;DHCR7;TOMM40;ME1;CTSC;TCEA1;SORD;CCNG1;CTH;ADD3;PRDX1;CYB5B;HSPA4;FADS2;SRD5A1;PIK3R3;SLC6A6	HCC1143	PFDN5	57	1325	36601	mean_log_expr_perturbed_minus_control	False	H	Metabolic state	Mtorc1 Signaling	HALLMARK_MTORC1_SIGNALING	HCC1143 / PFDN5	0	Tier 1	benchmark-relevant anchor	6	HCC38	-0.016950780312124852	0.32	50
HALLMARK_OXIDATIVE_PHOSPHORYLATION	0.556764076554698	1.3736936002262	0.0121872995509942	up	200	183	0.0677072197277457	0.165406383146814	ATP6V0E1;MGST3;NDUFB5;NDUFA6;NDUFS6;MRPS30;MDH1;ATP6V1G1;CYCS;ATP6V0C;MRPL15;NDUFA4;NDUFA8;COX7A2;COX7A2L;SUCLA2;ATP6V0B;HTRA2;COX5B;TIMM10;MRPS22;NDUFS4;NDUFB8;ATP6V1D;NDUFS2;NDUFC2;TIMM50;NDUFB4;NDUFA1;HSPA9;MRPL35;OXA1L;POLR2F;UQCRB;UQCRC1;TIMM9;CYB5A;MFN2;VDAC2;TIMM17A;NDUFA2;OGDH;MRPS15;PDHA1;IDH3B;COX4I1;COX6C;NDUFAB1;COX17;PDP1;SDHC;HADHA;NDUFS3;ISCA1;NDUFB2;SUPV3L1;UQCR11;SLC25A4;GRPEL1;NDUFV1;NDUFB3;SDHA;COX5A;ALAS1;CYB5R3;HCCS;TCIRG1;SDHB;NDUFA9;NDUFB1;ATP6V1F;NDUFS7;PHYH;MRPL11;UQCRQ;COX11;ETFDH;ATP6V1C1;NDUFV2;RHOT1;COX6B1	HCC1143	PFDN5	57	1325	36601	mean_log_expr_perturbed_minus_control	False	H	Metabolic state	Oxidative Phosphorylation	HALLMARK_OXIDATIVE_PHOSPHORYLATION	HCC1143 / PFDN5	0	Tier 1	benchmark-relevant anchor	7	HCC38	-0.016950780312124852	0.32	50
HALLMARK_E2F_TARGETS	-0.60699158267975	-1.56769955460659	0.0009726503857423	down	200	196	0.0121581298217788	0.477270815362862	NAP1L1;DNMT1;NASP;TMPO;TK1;RANBP1;HELLS;HMMR;STAG1;NBN;RFC3;PA2G4;MYBL2;PNN;SMC1A;CCNB2;CDK4;CBX5;CDC20;DLGAP5;ANP32E;GINS1;HNRNPD;PRKDC;CDK1;CSE1L;MCM5;CCP110;NOLC1;CDKN3;SRSF1;POLD2;LMNB1;HMGB3;MKI67;DUT;SSRP1;NCAPD2;TIMELESS;PLK1;XRCC6;SRSF2;UNG;NME1;ORC2;NUP153;STMN1;PAICS;TOP2A;HMGA1;DEPDC1;H2AFZ;LIG1;CENPM;MELK;AURKA;CDCA3;KPNA2;EZH2;RPA3;DDX39A;RAN;LUC7L3;SPC25;ASF1B;NOP56;KIF18B;SMC4;SMC3;PRIM2;MCM4;BRCA1;MAD2L1;ILF3;MCM3;PPM1D;CHEK2;CDKN2A;MCM6;ATAD2;LBR;PCNA;GINS4;MLH1;POLD1;CDC25B;RAD21;CDKN2C;DIAPH3;POLE;MSH2;ZW10;HMGB2;POLA2;ESPL1;CIT;CTCF	HCC1143	PFDN5	57	1325	36601	mean_log_expr_perturbed_minus_control	False	H	Proliferation / cell cycle	E2F Targets	HALLMARK_E2F_TARGETS	HCC1143 / PFDN5	0	Tier 1	benchmark-relevant anchor	8	HCC38	-0.016950780312124852	0.32	50
HALLMARK_G2M_CHECKPOINT	-0.652075956328612	-1.68325022640548	0.0001396567648567	down	200	193	0.0023276127476119	0.518848077743792	MT2A;NCL;HMGN2;G3BP1;NASP;TMPO;PRC1;CENPF;HMMR;SFPQ;STAG1;EFNA5;MYBL2;RASAL2;HSPA8;CBX1;SMC1A;CCNB2;CDK4;NEK2;CDC20;CDC45;HNRNPU;SRSF10;UBE2C;HNRNPD;CDK1;GINS2;SMAD3;MCM5;KIF20B;NOLC1;CDKN3;NUSAP1;SRSF1;SLC7A5;LMNB1;HMGB3;TFDP1;MKI67;SNRPD1;PLK1;SRSF2;EWSR1;DKC1;STMN1;SMARCC1;H2AFV;KIF11;TOP2A;HMGA1;CDC6;ABL1;H2AFZ;RBL1;CHAF1A;CDC7;AURKA;CUL5;KPNA2;EZH2;DBF4;DDX39A;PRPF4B;TROAP;MNAT1;SMC4;FANCC;RAD23B;EXO1;PRIM2;MAD2L1;ILF3;ATF5;MCM3;AMD1;MCM6;CCNA2;LBR;MAPK14;NUP98;TPX2;MEIS1;TNPO2;KIF23;CDC25B;RAD21;CDKN2C;SS18;POLE;PBK;POLQ;TOP1;POLA2;ESPL1;CUL4A;CTCF;CASP8AP2;BUB3;LIG3	HCC1143	PFDN5	57	1325	36601	mean_log_expr_perturbed_minus_control	False	H	Proliferation / cell cycle	G2M Checkpoint	HALLMARK_G2M_CHECKPOINT	HCC1143 / PFDN5	0	Tier 1	benchmark-relevant anchor	9	HCC38	-0.016950780312124852	0.32	50
