axis_id	axis_label	structure_support	annotation_support	consistency_support	external_knowledge_support	final_call
RNA processing / spliceosome	RNA processing	1	macro_axis_summary_available	shared_shift_excess	frozen_annotation_note_available	partially_supported_axis
RNA processing / transcription	RNA processing	4	macro_axis_summary_available	shared_middle	frozen_annotation_note_available	partially_supported_axis
cell cycle / replication	cell-state regulation	3	macro_axis_summary_available	line_skewed	frozen_annotation_note_available	partially_supported_axis
cytoskeleton / cell motility	cell-state regulation	4	macro_axis_summary_available	shared_middle	frozen_annotation_note_available	partially_supported_axis
chromatin remodeling	gene expression machinery	1	macro_axis_summary_available	shared_dual_high	frozen_annotation_note_available	partially_supported_axis
nuclear receptor / co-activator	gene expression machinery	4	macro_axis_summary_available	shared_middle	frozen_annotation_note_available	partially_supported_axis
transcription / chromatin	gene expression machinery	1	macro_axis_summary_available	shared_shift_excess	frozen_annotation_note_available	partially_supported_axis
transcription regulation	gene expression machinery	1	macro_axis_summary_available	heterogeneous	frozen_annotation_note_available	partially_supported_axis
metabolism / transcription	metabolism	4	macro_axis_summary_available	shared_middle	frozen_annotation_note_available	partially_supported_axis
peroxisome / metabolism	metabolism	4	macro_axis_summary_available	shared_middle	frozen_annotation_note_available	partially_supported_axis
proteostasis / chaperone	proteostasis	3	macro_axis_summary_available	line_skewed	frozen_annotation_note_available	partially_supported_axis
ribosomal / translation	ribosome / nucleolar biogenesis	4	macro_axis_summary_available	shared_dual_high	frozen_annotation_note_available	partially_supported_axis
ribosome biogenesis / nucleolar	ribosome / nucleolar biogenesis	1	macro_axis_summary_available	shared_shift_excess	frozen_annotation_note_available	partially_supported_axis
JAK-STAT signaling	signaling / growth control	4	macro_axis_summary_available	shared_middle	frozen_annotation_note_available	partially_supported_axis
NF-κB / MAPK signaling	signaling / growth control	3	macro_axis_summary_available	line_skewed	frozen_annotation_note_available	partially_supported_axis
NF-κB / copper signaling	signaling / growth control	4	macro_axis_summary_available	shared_middle	frozen_annotation_note_available	partially_supported_axis
TGF-beta / BMP signaling	signaling / growth control	3	macro_axis_summary_available	heterogeneous	frozen_annotation_note_available	partially_supported_axis
growth / proliferation	signaling / growth control	3	macro_axis_summary_available	line_skewed	frozen_annotation_note_available	partially_supported_axis
growth factor / proliferation	signaling / growth control	4	macro_axis_summary_available	shared_middle	frozen_annotation_note_available	partially_supported_axis
mTOR / lysosome / signaling	signaling / growth control	2	macro_axis_summary_available	shared_shift_excess	frozen_annotation_note_available	partially_supported_axis
nuclear receptor / metabolism	signaling / growth control	4	macro_axis_summary_available	shared_middle	frozen_annotation_note_available	partially_supported_axis
signaling / oncogene	signaling / growth control	4	macro_axis_summary_available	shared_middle	frozen_annotation_note_available	partially_supported_axis
synaptic / signaling	signaling / growth control	4	macro_axis_summary_available	shared_middle	frozen_annotation_note_available	partially_supported_axis
ER stress / UPR	stress response	4	macro_axis_summary_available	shared_middle	frozen_annotation_note_available	partially_supported_axis
oxidative stress / antioxidant	stress response	4	macro_axis_summary_available	shared_middle	frozen_annotation_note_available	partially_supported_axis
oxidative stress / mitochondrial	stress response	4	macro_axis_summary_available	shared_middle	frozen_annotation_note_available	partially_supported_axis
