model_id	model_label	backbone_recovery_score	shift_excess_identification_score	structure_vs_context_separation_score
shared_mean_baseline	"shared mean
baseline"	0.8066666666666666	0.3333333333333333	0.3526145586462627
gears_hcc_formal_v1	"GEARS
formal"	0.6599999999999999	0.3333333333333333	0.4284153807253488
gears_hcc_formal_v1_e30_lr2e-03_wd1e-06	"GEARS
sweep A"	0.6433333333333333	0.8333333333333333	0.4485243810877402
gears_hcc_formal_v1_e20_lr1e-03_wd1e-06	"GEARS
sweep B"	0.6266666666666667	0.5	0.4591562997768912
lm_g_geneformer_ridge_hcc_formal_v1	"LM +
Geneformer G"	0.6266666666666666	0.1666666666666666	0.3256623817641846
gears_hcc_formal_v1_e30_lr1e-03_wd1e-05	"GEARS
sweep C"	0.6133333333333333	0.9166666666666669	0.427833160600328
lm_train_lowrank_hcc_formal_v1	"LM
low-rank"	0.5366666666666666	0.5833333333333333	0.2862358413992706
geneformer_hcc_formal_v1	Geneformer	0.5333333333333333	0.75	0.401165394979353
gears_hcc_formal_v1_e30_lr5e-04_wd1e-06	"GEARS
sweep D"	0.53	0.9166666666666669	0.4458928896160027
null_model	null	0.5	0.5	0.0
gears_hcc_formal_v1_e40_lr1e-03_wd1e-06	"GEARS
sweep E"	0.4933333333333333	0.6666666666666667	0.4684217036980002
lm_g_scgpt_ridge_hcc_formal_v1	"LM +
scGPT G"	0.4666666666666667	0.1666666666666666	0.2589613597519035
scgpt_hcc_formal_v1	scGPT	0.4466666666666667	0.3333333333333333	0.2948250032704949
