step_order	step	detail	variant_id	epochs	lr	weight_decay	candidate_rank	model_id	config_path
1	pre_specified_neighborhood	GEARS hyperparameter neighborhood defined in advance							
2	finite_sweep_budget	limited candidate set, no open-ended search							
3	truth_and_scoring_unchanged	truth object and scoring system fixed							
4	check_gap_closure	compare sweep candidates to shared-mean baseline							
5	stop_if_gap_remains	stop rule triggered when baseline backbone gap remains open							
0	sweep_recipe_entry	epochs=30, lr=0.001, wd=1e-06	e30_lr1e-03_wd1e-06	30.0	0.001	1e-06	1.0	gears_hcc_formal_v1_e30_lr1e-03_wd1e-06	configs/stage2/generated/gears_hcc_backbone_sweep_v1/e30_lr1e-03_wd1e-06.json
0	sweep_recipe_entry	epochs=30, lr=0.001, wd=1e-05	e30_lr1e-03_wd1e-05	30.0	0.001	1e-05	2.0	gears_hcc_formal_v1_e30_lr1e-03_wd1e-05	configs/stage2/generated/gears_hcc_backbone_sweep_v1/e30_lr1e-03_wd1e-05.json
0	sweep_recipe_entry	epochs=30, lr=0.0005, wd=1e-06	e30_lr5e-04_wd1e-06	30.0	0.0005	1e-06	3.0	gears_hcc_formal_v1_e30_lr5e-04_wd1e-06	configs/stage2/generated/gears_hcc_backbone_sweep_v1/e30_lr5e-04_wd1e-06.json
0	sweep_recipe_entry	epochs=30, lr=0.002, wd=1e-06	e30_lr2e-03_wd1e-06	30.0	0.002	1e-06	4.0	gears_hcc_formal_v1_e30_lr2e-03_wd1e-06	configs/stage2/generated/gears_hcc_backbone_sweep_v1/e30_lr2e-03_wd1e-06.json
0	sweep_recipe_entry	epochs=20, lr=0.001, wd=1e-06	e20_lr1e-03_wd1e-06	20.0	0.001	1e-06	5.0	gears_hcc_formal_v1_e20_lr1e-03_wd1e-06	configs/stage2/generated/gears_hcc_backbone_sweep_v1/e20_lr1e-03_wd1e-06.json
0	sweep_recipe_entry	epochs=40, lr=0.001, wd=1e-06	e40_lr1e-03_wd1e-06	40.0	0.001	1e-06	6.0	gears_hcc_formal_v1_e40_lr1e-03_wd1e-06	configs/stage2/generated/gears_hcc_backbone_sweep_v1/e40_lr1e-03_wd1e-06.json
