cell_line	strat_column	mean_tvd	n_targets_tvd_gt_0.25	median_tvd	panel	context	platform_pair	spearman	n_shared_targets	target_gene	7d_real_shift_mean_abs	13d_real_shift_mean_abs	delta_13d_minus_7d_real_shift_mean_abs	ratio_13d_over_7d_real_shift_mean_abs	target_order	subpanel
HCC1143	barcode_gem_group	0.0553688001480439	0.0	0.04943644796777	a											
HCC38	barcode_gem_group	0.0529180609984402	2.0	0.0422997207243601	a											
HCC1143	transcriptome_detected_genes_quantile_bin	0.0763635715127252	1.0	0.0643932036186256	a											
HCC38	transcriptome_detected_genes_quantile_bin	0.0576238872498433	0.0	0.0448482811520195	a											
HCC1143	transcriptome_total_signal_quantile_bin	0.0779806104417702	0.0	0.0632640516191688	a											
HCC38	transcriptome_total_signal_quantile_bin	0.0706879015433831	2.0	0.0504229109277646	a											
HCC1143	num_umis_over_threshold_bin	0.1038378228257645	3.0	0.0822786816030881	a											
HCC38	num_umis_over_threshold_bin	0.0926564213166551	3.0	0.0575314999730691	a											
HCC1143	num_umis_quantile_bin	0.1331656892393771	2.0	0.1270131410936646	a											
HCC38	num_umis_quantile_bin	0.1087842315983835	6.0	0.0743581581316291	a											
					b	HCC38	crispr	0.7257957275155708	47.0							
					b	HCC38	rnai	0.2763786365610073	48.0							
					b	HCC1143	crispr	0.7792497165337711	48.0							
					b	HCC1143	rnai	0.3844984802431611	48.0							
					b	K562 7d	crispr	0.7333333333333332	10.0							
					b	K562 7d	rnai	0.3333333333333333	9.0							
					b	K562 13d	crispr	0.5151515151515151	10.0							
					b	K562 13d	rnai	0.3	9.0							
					c					YY1	0.0053201925384121	0.005413713961871	9.352142345889996e-05	1.0175785787419664	0.0	delta
					c					ELF1	0.0023201360490387	0.0033302761709936	0.0010101401219548	1.4353796935198824	1.0	delta
					c					GABPA	0.0032335956895071	0.0043769327212049	0.0011433370316977	1.3535807013251182	2.0	delta
					c					EGR1	0.0028422518033918	0.0041187526611999	0.0012765008578081	1.4491160340842384	3.0	delta
					c					CREB1	0.0026383122258462	0.0039865045133055	0.0013481922874592	1.511005586924757	4.0	delta
					c					E2F4	0.0031633745164676	0.0046425123797298	0.0014791378632622	1.4675822782165824	5.0	delta
					c					ELK1	0.0024652698331102	0.0039757957071744	0.0015105258740641	1.6127223291247232	6.0	delta
					c					NR2C2	0.0029624276925827	0.0046086260733258	0.001646198380743	1.555692341407973	7.0	delta
					c					ETS1	0.0028045103468223	0.0044597684393875	0.0016552580925651	1.5902128670841664	8.0	delta
					c					IRF1	0.0032418031709357	0.0049139718663376	0.0016721686954019	1.5158143808340012	9.0	delta
