cell_line	strat_column	mean_tvd	n_targets_tvd_gt_0.25
HCC1143	barcode_gem_group	0.0553688001480439	0
HCC1143	num_umis_over_threshold_bin	0.1038378228257645	3
HCC1143	num_umis_quantile_bin	0.1331656892393771	2
HCC1143	transcriptome_detected_genes_quantile_bin	0.0763635715127252	1
HCC1143	transcriptome_total_signal_quantile_bin	0.0779806104417702	0
HCC38	barcode_gem_group	0.0529180609984402	2
HCC38	num_umis_over_threshold_bin	0.0926564213166551	3
HCC38	num_umis_quantile_bin	0.1087842315983835	6
HCC38	transcriptome_detected_genes_quantile_bin	0.0576238872498433	0
HCC38	transcriptome_total_signal_quantile_bin	0.0706879015433831	2
