timepoint	aligned_spearman	mean_truth_metric	median_truth_metric	subpanel	context	platform_pair	spearman	n_shared_targets
7d	0.7333333333333332	0.0030991873866114	0.0029023397479872	temporal				
13d	0.5151515151515151	0.004382685449453	0.0044183505802962	temporal				
				endpoint	HCC38	crispr	0.7257957275155708	47.0
				endpoint	HCC38	rnai	0.2763786365610073	48.0
				endpoint	HCC1143	crispr	0.7792497165337711	48.0
				endpoint	HCC1143	rnai	0.3844984802431611	48.0
				endpoint	K562 7d	crispr	0.7333333333333332	10.0
				endpoint	K562 7d	rnai	0.3333333333333333	9.0
				endpoint	K562 13d	crispr	0.5151515151515151	10.0
				endpoint	K562 13d	rnai	0.3	9.0
