axis_id	axis_family	structure_support	annotation_support	enrichment_hits	databases	final_call
RNA processing / spliceosome	RNA processing	1	enrichment_hits=1;databases=1@FDR<=0.25	1	1	partially_supported_axis
RNA processing / transcription	RNA processing	4	enrichment_hits=2;databases=1@FDR<=0.25	2	1	partially_supported_axis
cell cycle / replication	cell-state regulation	3	enrichment_hits=16;databases=1@FDR<=0.25	16	1	partially_supported_axis
cytoskeleton / cell motility	cell-state regulation	4	enrichment_hits=5;databases=1@FDR<=0.25	5	1	partially_supported_axis
chromatin remodeling	gene expression machinery	1	enrichment_hits=7;databases=3@FDR<=0.25	7	3	partially_supported_axis
nuclear receptor / co-activator	gene expression machinery	4	enrichment_hits=12;databases=1@FDR<=0.25	12	1	partially_supported_axis
transcription / chromatin	gene expression machinery	1	enrichment_hits=6;databases=2@FDR<=0.25	6	2	partially_supported_axis
transcription regulation	gene expression machinery	1	enrichment_hits=0;databases=0@FDR<=0.25	0	0	partially_supported_axis
metabolism / transcription	metabolism	4	enrichment_hits=1;databases=1@FDR<=0.25	1	1	partially_supported_axis
peroxisome / metabolism	metabolism	4	enrichment_hits=4;databases=1@FDR<=0.25	4	1	partially_supported_axis
proteostasis / chaperone	proteostasis	3	enrichment_hits=0;databases=0@FDR<=0.25	0	0	partially_supported_axis
ribosomal / translation	ribosome / nucleolar biogenesis	4	enrichment_hits=32;databases=3@FDR<=0.25	32	3	partially_supported_axis
ribosome biogenesis / nucleolar	ribosome / nucleolar biogenesis	1	enrichment_hits=29;databases=3@FDR<=0.25	29	3	partially_supported_axis
JAK-STAT signaling	signaling / growth control	4	enrichment_hits=34;databases=2@FDR<=0.25	34	2	partially_supported_axis
NF-κB / MAPK signaling	signaling / growth control	3	enrichment_hits=12;databases=2@FDR<=0.25	12	2	partially_supported_axis
NF-κB / copper signaling	signaling / growth control	4	enrichment_hits=0;databases=0@FDR<=0.25	0	0	partially_supported_axis
TGF-beta / BMP signaling	signaling / growth control	3	enrichment_hits=6;databases=2@FDR<=0.25	6	2	partially_supported_axis
growth / proliferation	signaling / growth control	3	enrichment_hits=9;databases=3@FDR<=0.25	9	3	partially_supported_axis
growth factor / proliferation	signaling / growth control	4	enrichment_hits=7;databases=3@FDR<=0.25	7	3	partially_supported_axis
mTOR / lysosome / signaling	signaling / growth control	2	enrichment_hits=13;databases=1@FDR<=0.25	13	1	partially_supported_axis
nuclear receptor / metabolism	signaling / growth control	4	enrichment_hits=6;databases=1@FDR<=0.25	6	1	partially_supported_axis
signaling / oncogene	signaling / growth control	4	enrichment_hits=11;databases=1@FDR<=0.25	11	1	partially_supported_axis
synaptic / signaling	signaling / growth control	4	enrichment_hits=2;databases=1@FDR<=0.25	2	1	partially_supported_axis
ER stress / UPR	stress response	4	enrichment_hits=30;databases=2@FDR<=0.25	30	2	partially_supported_axis
oxidative stress / antioxidant	stress response	4	enrichment_hits=7;databases=2@FDR<=0.25	7	2	partially_supported_axis
oxidative stress / mitochondrial	stress response	4	enrichment_hits=30;databases=2@FDR<=0.25	30	2	partially_supported_axis
