axis_id	axis_family	structure_support	enrichment_hits	databases	final_call
RNA processing / spliceosome	RNA processing	1	1	1	partially_supported_axis
RNA processing / transcription	RNA processing	4	2	1	partially_supported_axis
cell cycle / replication	cell-state regulation	3	16	1	partially_supported_axis
cytoskeleton / cell motility	cell-state regulation	4	5	1	partially_supported_axis
chromatin remodeling	gene expression machinery	1	7	3	partially_supported_axis
nuclear receptor / co-activator	gene expression machinery	4	12	1	partially_supported_axis
transcription / chromatin	gene expression machinery	1	6	2	partially_supported_axis
transcription regulation	gene expression machinery	1	0	0	partially_supported_axis
metabolism / transcription	metabolism	4	1	1	partially_supported_axis
peroxisome / metabolism	metabolism	4	4	1	partially_supported_axis
proteostasis / chaperone	proteostasis	3	0	0	partially_supported_axis
ribosomal / translation	ribosome / nucleolar biogenesis	4	32	3	partially_supported_axis
ribosome biogenesis / nucleolar	ribosome / nucleolar biogenesis	1	29	3	partially_supported_axis
JAK-STAT signaling	signaling / growth control	4	34	2	partially_supported_axis
NF-κB / MAPK signaling	signaling / growth control	3	12	2	partially_supported_axis
NF-κB / copper signaling	signaling / growth control	4	0	0	partially_supported_axis
TGF-beta / BMP signaling	signaling / growth control	3	6	2	partially_supported_axis
growth / proliferation	signaling / growth control	3	9	3	partially_supported_axis
growth factor / proliferation	signaling / growth control	4	7	3	partially_supported_axis
mTOR / lysosome / signaling	signaling / growth control	2	13	1	partially_supported_axis
nuclear receptor / metabolism	signaling / growth control	4	6	1	partially_supported_axis
signaling / oncogene	signaling / growth control	4	11	1	partially_supported_axis
synaptic / signaling	signaling / growth control	4	2	1	partially_supported_axis
ER stress / UPR	stress response	4	30	2	partially_supported_axis
oxidative stress / antioxidant	stress response	4	7	2	partially_supported_axis
oxidative stress / mitochondrial	stress response	4	30	2	partially_supported_axis
