pathway	ES	NES	pval	padj	log2err	size	n_genes_in_set	direction	leading_edge	context	contrast_id	positive_category	negative_category	collection	ranking_method	claim_boundary	padj_within_context_contrast
ABC Transporter Disorders R-HSA-5619084	-0.510100684262067	-1.02759660834162	0.428820525594719	0.714031366973877	0.0199118866491406	77	77	down	PSMA1;VCP;PSMB1;PSMD2;PSMB9;PSME4;PSMC5;PSME1;PSMB7;PSMC1;PSMD12;PSMD14;PSMD11;PSMB5;PSMA5;PSMA4;PSMB3;PSMD3;PSMB8;PSMC3;ERLIN1;PSME2;PSMB4;PSMA2;PSMA3;ABCA3;PSMD9;PSMD4;RNF185;PSMB2;ERLEC1	HCC1143	endpoint_anchor_vs_low_information	endpoint_anchor	low_information	reactome	mean_signed_shift_positive_category_minus_negative_category	exploratory response-program contrast; not a causal mechanism or target-membership enrichment claim	0.7140313669738764
ABC Transporters In Lipid Homeostasis R-HSA-1369062	-0.461166151686926	-0.756379067501922	0.828408579571022	0.915143144549649	0.0129908588221402	18	18	down	ABCA3;ABCA7;ABCD3;ABCA5;ABCG8;PEX3;ABCA12	HCC1143	endpoint_anchor_vs_low_information	endpoint_anchor	low_information	reactome	mean_signed_shift_positive_category_minus_negative_category	exploratory response-program contrast; not a causal mechanism or target-membership enrichment claim	0.91514314454965
ABC-family Proteins Mediated Transport R-HSA-382556	-0.500790175186487	-1.03685578659495	0.405395640130073	0.696049511125114	0.0202562638677873	102	102	down	PSMA1;VCP;PSMB1;PSMD2;PSMB9;PSME4;PSMC5;PSME1;PSMB7;PSMC1;PSMD12;PSMD14;PSMD11;PSMB5;PSMA5;ABCC1;PSMA4;PSMB3;PSMD3;PSMB8;ABCC3;PSMC3;ERLIN1;PSME2;PSMB4;ABCC5;PSMA2;PSMA3;ABCA3;PSMD9;ABCA7;ABCF1;ABCB8;PSMD4;RNF185;PSMB2;ERLEC1;SEM1;ABCC10	HCC1143	endpoint_anchor_vs_low_information	endpoint_anchor	low_information	reactome	mean_signed_shift_positive_category_minus_negative_category	exploratory response-program contrast; not a causal mechanism or target-membership enrichment claim	0.6960495111251138
ADORA2B Mediated Anti-Inflammatory Cytokine Production R-HSA-9660821	-0.519240005776044	-1.09950970489677	0.283965014577259	0.613798230258267	0.0254326700458688	130	131	down	GPR39;PRKCA;CREB1;ADORA2B;PRKAR2A;PRKAR1B;GNB2;GNB1;PRKAR1A;GNAI2;GNB5;GNB4;GNAS;PRKACB	HCC1143	endpoint_anchor_vs_low_information	endpoint_anchor	low_information	reactome	mean_signed_shift_positive_category_minus_negative_category	exploratory response-program contrast; not a causal mechanism or target-membership enrichment claim	0.6137982302582675
ADP Signaling Thru P2Y Purinoceptor 1 R-HSA-418592	-0.493109591832884	-0.854720964442411	0.701225666906994	0.868116668381048	0.0148296507559318	25	25	down	GNB2;MAPK14;GNB1;GNB5;GNAQ;GNB4	HCC1143	endpoint_anchor_vs_low_information	endpoint_anchor	low_information	reactome	mean_signed_shift_positive_category_minus_negative_category	exploratory response-program contrast; not a causal mechanism or target-membership enrichment claim	0.8681166683810482
ADP Signaling Thru P2Y Purinoceptor 12 R-HSA-392170	-0.474156480946951	-0.804747796091311	0.773701203404755	0.891553636558654	0.0136641063099067	22	22	down	GNB2;GNB1;GNAI2;GNB5;GNB4	HCC1143	endpoint_anchor_vs_low_information	endpoint_anchor	low_information	reactome	mean_signed_shift_positive_category_minus_negative_category	exploratory response-program contrast; not a causal mechanism or target-membership enrichment claim	0.8915536365586538
AKT Phosphorylates Targets In Cytosol R-HSA-198323	0.411086522081088	0.704974551136935	0.86472602739726	0.92865782436136	0.0218839514223438	14	14	up	CDKN1A;GSK3A;CDKN1B;BAD;CHUK;AKT1S1	HCC1143	endpoint_anchor_vs_low_information	endpoint_anchor	low_information	reactome	mean_signed_shift_positive_category_minus_negative_category	exploratory response-program contrast; not a causal mechanism or target-membership enrichment claim	0.9286578243613602
AKT Phosphorylates Targets In Nucleus R-HSA-198693	-0.77700052453089	-1.17445291331341	0.278962444302992	0.611181450128819	0.0312974523991152	10	10	down	CREB1;AKT1;FOXO3;AKT3;RPS6KB2	HCC1143	endpoint_anchor_vs_low_information	endpoint_anchor	low_information	reactome	mean_signed_shift_positive_category_minus_negative_category	exploratory response-program contrast; not a causal mechanism or target-membership enrichment claim	0.6111814501288181
ALK Mutants Bind TKIs R-HSA-9700645	-0.844434063543146	-1.30551222121376	0.0904238618524333	0.400569257178069	0.0583823590311228	12	12	down	NPM1;CLTC;EML4;HIP1;PRKAR1A;BIRC6	HCC1143	endpoint_anchor_vs_low_information	endpoint_anchor	low_information	reactome	mean_signed_shift_positive_category_minus_negative_category	exploratory response-program contrast; not a causal mechanism or target-membership enrichment claim	0.400569257178069
APC Truncation Mutants Have Impaired AXIN Binding R-HSA-5467337	-0.550972285571205	-0.873094640122784	0.680978762696214	0.859229636693893	0.0161954478944192	14	14	down	PPP2R5E;PPP2R5A;CSNK1A1;PPP2R5C	HCC1143	endpoint_anchor_vs_low_information	endpoint_anchor	low_information	reactome	mean_signed_shift_positive_category_minus_negative_category	exploratory response-program contrast; not a causal mechanism or target-membership enrichment claim	0.8592296366938921
