target	shift	context
YBX1	-1.4881367331774717	HCC38
NPM1	-1.0518435699038788	HCC38
MTDH	-0.8654734239111463	HCC38
PA2G4	-0.8254075977257468	HCC38
RPS3	-0.8242814272169086	HCC38
PARK7	-0.8097874615839706	HCC38
TMSB4X	-0.7781792979203432	HCC38
PFDN5	-0.7338350135694895	HCC38
PRDX2	-0.7211307269566529	HCC38
LAMTOR5	-0.7057699630172161	HCC38
HDGF	-0.5190075074973471	HCC38
STAT3	-0.3885314141892705	HCC38
ENY2	-0.3755223867821812	HCC38
RUVBL2	-0.35043222704499005	HCC38
PCBD1	-0.2815585489466187	HCC38
TADA3	-0.24077076570307343	HCC38
ERC1	-0.1993664780310057	HCC38
COMMD6	-0.17447884605471636	HCC38
MIER1	-0.16276525960763666	HCC38
VEZF1	-0.15164352469222064	HCC38
ZNF131	-0.1502556150976782	HCC38
TMF1	-0.13607898129045945	HCC38
XBP1	-0.12393073292719267	HCC38
GON4L	-0.10782481365189389	HCC38
ARID1A	-0.09102909610479354	HCC38
ZNF24	-0.09066961277865443	HCC38
MYBL1	-0.0760646120826628	HCC38
PRPF6	-0.06848830862979971	HCC38
ZBTB20	-0.063220670467599	HCC38
SMAD1	-0.06139414945251817	HCC38
ZBTB17	-0.06059467220589235	HCC38
PMF1	-0.05718359684241636	HCC38
UBP1	-0.04914841930852751	HCC38
THRA	-0.027272525163316227	HCC38
NCOA1	-0.02618986520334926	HCC38
PEX14	-0.025896380996177748	HCC38
THAP8	-0.023409858965754274	HCC38
ZNF566	-0.011577891474160384	HCC38
TAB3	-0.00879085251596877	HCC38
BMPR1A	-0.006744085802195154	HCC38
HLX	-0.006734702516609818	HCC38
RORC	-0.001427133377841285	HCC38
CDKN2A	0.0	HCC38
ZBTB5	0.008896957073292487	HCC38
ETV3	0.012912057984820632	HCC38
KLF3	0.014706470375931036	HCC38
MAML3	0.0181228699910175	HCC38
NPM1	-1.5902060672223415	HCC1143
YBX1	-1.4429992807926273	HCC1143
RPS3	-1.067032532255403	HCC1143
PARK7	-1.0424223177118046	HCC1143
PA2G4	-0.9846714646119803	HCC1143
TMSB4X	-0.9536108832104642	HCC1143
PFDN5	-0.9165730188316621	HCC1143
MTDH	-0.7075259143458705	HCC1143
ENY2	-0.6006009493019757	HCC1143
PRDX2	-0.5904332727622615	HCC1143
LAMTOR5	-0.4462662427131927	HCC1143
RUVBL2	-0.44048806951988606	HCC1143
HDGF	-0.41032575420264583	HCC1143
COMMD6	-0.373584261623079	HCC1143
TADA3	-0.32358536848927477	HCC1143
PCBD1	-0.29532825108125255	HCC1143
XBP1	-0.2800646973754876	HCC1143
PMF1	-0.22800775475570545	HCC1143
STAT3	-0.2272123960902281	HCC1143
PRPF6	-0.187600356992915	HCC1143
VEZF1	-0.1849557239495568	HCC1143
MIER1	-0.15907208808249598	HCC1143
MYBL1	-0.13973706380136525	HCC1143
TMF1	-0.13710746567628923	HCC1143
ARID1A	-0.12396511254273418	HCC1143
GON4L	-0.10088628615601386	HCC1143
ZNF131	-0.09445802521216651	HCC1143
ZNF24	-0.07834838146321588	HCC1143
UBP1	-0.05265381264483637	HCC1143
ZBTB20	-0.044543395420043985	HCC1143
ERC1	-0.043495274217034086	HCC1143
BMPR1A	-0.02393032088567143	HCC1143
NCOA1	-0.0234289021186585	HCC1143
ZBTB17	-0.021001261666628697	HCC1143
SMAD1	-0.015437459773165296	HCC1143
PEX14	-0.01435132641037326	HCC1143
THRA	-0.01406974087168825	HCC1143
TAB3	-0.004885538741500918	HCC1143
RORC	-0.004114614277957845	HCC1143
THAP8	-0.000447455739264406	HCC1143
HLX	-0.00042540482323723	HCC1143
ETV3	0.0007337728472414512	HCC1143
MAML3	0.0013781159302776666	HCC1143
ZBTB5	0.011342797625778757	HCC1143
ZNF566	0.013456169676392654	HCC1143
KLF3	0.03672043676265452	HCC1143
CDKN2A	0.03972151353918241	HCC1143
YY1	-0.09784052909180851	K562 7d
ELF1	-0.03430166841012863	K562 7d
E2F4	-0.020516093299520338	K562 7d
IRF1	-0.007021862950187526	K562 7d
ELK1	-0.004953427083925821	K562 7d
CREB1	-0.004812903829156612	K562 7d
NR2C2	-0.0018549250767071895	K562 7d
ETS1	0.00016868517630997073	K562 7d
GABPA	0.020104405815947773	K562 7d
EGR1	0.06683501643799453	K562 7d
E2F4	-0.03602597518676948	K562 13d
YY1	-0.030698805199808388	K562 13d
ELF1	-0.016535673160737743	K562 13d
CREB1	-0.012758475782840478	K562 13d
IRF1	-0.010174949764579819	K562 13d
EGR1	-2.2281941277131623e-05	K562 13d
ETS1	0.0	K562 13d
ELK1	0.0032993609665810664	K562 13d
NR2C2	0.0036670066501352135	K562 13d
GABPA	0.006710140388092173	K562 13d
