target	abs_shift	context
MAML3	0.0039010408237359715	HCC38
ZNF24	0.003971022135883837	HCC38
XBP1	0.004028296169765673	HCC38
CDKN2A	0.004055104053415835	HCC38
PCBD1	0.00416900868106558	HCC38
ERC1	0.004171722448010009	HCC38
COMMD6	0.004220227038888243	HCC38
NCOA1	0.004348904156425673	HCC38
PEX14	0.004391741095693049	HCC38
UBP1	0.004398069047543032	HCC38
TMSB4X	0.004512691594923522	HCC38
ZNF566	0.004541164716348827	HCC38
SMAD1	0.004564479802159118	HCC38
ZBTB5	0.004638409954985529	HCC38
RORC	0.0047603589109585145	HCC38
ZBTB20	0.00480626581922073	HCC38
PRDX2	0.004864395889773281	HCC38
STAT3	0.004942159592490753	HCC38
MIER1	0.004993865536082876	HCC38
PARK7	0.005056073328570589	HCC38
THAP8	0.005056369411523649	HCC38
ETV3	0.005129888837665661	HCC38
HLX	0.005299129476927784	HCC38
TAB3	0.005355838101385048	HCC38
HDGF	0.005394002040088988	HCC38
KLF3	0.005467660465639567	HCC38
BMPR1A	0.00561979138900136	HCC38
MTDH	0.005631016215860502	HCC38
THRA	0.005841915188375929	HCC38
GON4L	0.0060144581054616415	HCC38
TMF1	0.006302576810980054	HCC38
MYBL1	0.007140723950464897	HCC38
PA2G4	0.0071702138866234725	HCC38
VEZF1	0.007374058118823742	HCC38
YBX1	0.007649459916197103	HCC38
ZBTB17	0.007946519125533668	HCC38
RUVBL2	0.008250114693447786	HCC38
ARID1A	0.008536561753634623	HCC38
PFDN5	0.009117979124110323	HCC38
TADA3	0.00914008729378748	HCC38
PMF1	0.009200857886040558	HCC38
RPS3	0.009691186602217676	HCC38
ZNF131	0.009845468536304707	HCC38
ENY2	0.010339785802070166	HCC38
LAMTOR5	0.010643549079412291	HCC38
NPM1	0.01137230523851424	HCC38
PRPF6	0.014479874104001962	HCC38
NCOA1	0.003907157571319614	HCC1143
TMSB4X	0.003970356538288791	HCC1143
HDGF	0.003990167175022284	HCC1143
MAML3	0.004293084864617274	HCC1143
ZNF24	0.004361630795334456	HCC1143
ZBTB20	0.004381444869730686	HCC1143
PEX14	0.004449314282024882	HCC1143
ZNF566	0.004454881018122255	HCC1143
COMMD6	0.004534293004074199	HCC1143
SMAD1	0.004547606013512387	HCC1143
RORC	0.004563402686929758	HCC1143
STAT3	0.004579178886073782	HCC1143
XBP1	0.004588575684759466	HCC1143
UBP1	0.004655142936353638	HCC1143
PCBD1	0.004675198066501021	HCC1143
MTDH	0.004733869032083436	HCC1143
ERC1	0.004878483492989722	HCC1143
HLX	0.00502120833437971	HCC1143
CDKN2A	0.005052323015655487	HCC1143
THAP8	0.0050716034302432725	HCC1143
ZBTB5	0.005336821933752175	HCC1143
THRA	0.005343182038449481	HCC1143
ETV3	0.00538710263775914	HCC1143
KLF3	0.005391986122515777	HCC1143
PRDX2	0.005521399583151324	HCC1143
MIER1	0.005783393196682597	HCC1143
TMF1	0.005895176379974277	HCC1143
PA2G4	0.005931546155685907	HCC1143
VEZF1	0.006027413237326677	HCC1143
TAB3	0.00602754442417726	HCC1143
PARK7	0.006148004239165333	HCC1143
BMPR1A	0.007028128205242438	HCC1143
ARID1A	0.007332718678775701	HCC1143
NPM1	0.007481203513329398	HCC1143
GON4L	0.0076879048971422	HCC1143
YBX1	0.007749394852864845	HCC1143
RPS3	0.00786094832855505	HCC1143
MYBL1	0.008413014256822941	HCC1143
LAMTOR5	0.009377776903524227	HCC1143
PFDN5	0.010232949999385592	HCC1143
TADA3	0.010375080774379914	HCC1143
ENY2	0.010513743744466194	HCC1143
ZNF131	0.010552203785438943	HCC1143
ZBTB17	0.010587215682323039	HCC1143
RUVBL2	0.011932773070348205	HCC1143
PMF1	0.012775693256778122	HCC1143
PRPF6	0.015411189696165832	HCC1143
ELF1	0.002569361067531229	K562 7d
ELK1	0.002729613455856523	K562 7d
CREB1	0.002921974202558517	K562 7d
ETS1	0.003106021260577741	K562 7d
EGR1	0.00314788233320779	K562 7d
NR2C2	0.0032807276475336745	K562 7d
E2F4	0.003503850662599427	K562 7d
GABPA	0.0035819525068244624	K562 7d
IRF1	0.003590330339879787	K562 7d
YY1	0.005897909879478039	K562 7d
ELF1	0.0034688620558862822	K562 13d
ELK1	0.00414169963913217	K562 13d
CREB1	0.0041530845580193656	K562 13d
EGR1	0.0042909491441568285	K562 13d
GABPA	0.00456006614937056	K562 13d
ETS1	0.004646284746498005	K562 13d
NR2C2	0.004801607772650691	K562 13d
E2F4	0.004836212062614824	K562 13d
IRF1	0.005120011421790129	K562 13d
YY1	0.005640836781107011	K562 13d
