context	target	n_ctrl	n_pert
HCC38	ARID1A	1666	365
HCC38	BMPR1A	1666	212
HCC38	CDKN2A	1666	399
HCC38	COMMD6	1666	395
HCC38	ENY2	1666	93
HCC38	ERC1	1666	433
HCC38	ETV3	1666	244
HCC38	GON4L	1666	167
HCC38	HDGF	1666	254
HCC38	HLX	1666	289
HCC38	KLF3	1666	236
HCC38	LAMTOR5	1666	157
HCC38	MAML3	1666	423
HCC38	MIER1	1666	267
HCC38	MTDH	1666	282
HCC38	MYBL1	1666	220
HCC38	NCOA1	1666	389
HCC38	NPM1	1666	80
HCC38	PA2G4	1666	194
HCC38	PARK7	1666	254
HCC38	PCBD1	1666	428
HCC38	PEX14	1666	439
HCC38	PFDN5	1666	67
HCC38	PMF1	1666	94
HCC38	PRDX2	1666	302
HCC38	PRPF6	1666	25
HCC38	RORC	1666	296
HCC38	RPS3	1666	69
HCC38	RUVBL2	1666	95
HCC38	SMAD1	1666	321
HCC38	STAT3	1666	394
HCC38	TAB3	1666	246
HCC38	TADA3	1666	177
HCC38	THAP8	1666	276
HCC38	THRA	1666	266
HCC38	TMF1	1666	206
HCC38	TMSB4X	1666	352
HCC38	UBP1	1666	371
HCC38	VEZF1	1666	226
HCC38	XBP1	1666	394
HCC38	YBX1	1666	177
HCC38	ZBTB17	1666	139
HCC38	ZBTB20	1666	471
HCC38	ZBTB5	1666	363
HCC38	ZNF131	1666	118
HCC38	ZNF24	1666	472
HCC38	ZNF566	1666	372
HCC1143	ARID1A	1325	195
HCC1143	BMPR1A	1325	93
HCC1143	CDKN2A	1325	169
HCC1143	COMMD6	1325	324
HCC1143	ENY2	1325	161
HCC1143	ERC1	1325	412
HCC1143	ETV3	1325	187
HCC1143	GON4L	1325	115
HCC1143	HDGF	1325	319
HCC1143	HLX	1325	213
HCC1143	KLF3	1325	223
HCC1143	LAMTOR5	1325	274
HCC1143	MAML3	1325	341
HCC1143	MIER1	1325	254
HCC1143	MTDH	1325	290
HCC1143	MYBL1	1325	142
HCC1143	NCOA1	1325	334
HCC1143	NPM1	1325	125
HCC1143	PA2G4	1325	154
HCC1143	PARK7	1325	215
HCC1143	PCBD1	1325	214
HCC1143	PEX14	1325	282
HCC1143	PFDN5	1325	57
HCC1143	PMF1	1325	40
HCC1143	PRDX2	1325	186
HCC1143	PRPF6	1325	23
HCC1143	RORC	1325	230
HCC1143	RPS3	1325	72
HCC1143	RUVBL2	1325	51
HCC1143	SMAD1	1325	299
HCC1143	STAT3	1325	305
HCC1143	TAB3	1325	222
HCC1143	TADA3	1325	133
HCC1143	THAP8	1325	335
HCC1143	THRA	1325	188
HCC1143	TMF1	1325	145
HCC1143	TMSB4X	1325	266
HCC1143	UBP1	1325	267
HCC1143	VEZF1	1325	255
HCC1143	XBP1	1325	314
HCC1143	YBX1	1325	177
HCC1143	ZBTB17	1325	75
HCC1143	ZBTB20	1325	315
HCC1143	ZBTB5	1325	212
HCC1143	ZNF131	1325	43
HCC1143	ZNF24	1325	462
HCC1143	ZNF566	1325	372
K562_7d	CREB1	5381	2713
K562_7d	E2F4	5381	1696
K562_7d	EGR1	5381	2275
K562_7d	ELF1	5381	4220
K562_7d	ELK1	5381	2733
K562_7d	ETS1	5381	1784
K562_7d	GABPA	5381	2020
K562_7d	IRF1	5381	1402
K562_7d	NR2C2	5381	1816
K562_7d	YY1	5381	1994
K562_13d	CREB1	3491	1568
K562_13d	E2F4	3491	840
K562_13d	EGR1	3491	1246
K562_13d	ELF1	3491	2347
K562_13d	ELK1	3491	1507
K562_13d	ETS1	3491	1029
K562_13d	GABPA	3491	1173
K562_13d	IRF1	3491	813
K562_13d	NR2C2	3491	1011
K562_13d	YY1	3491	824
