figure_id	n_panel_manifests	n_inputs	n_outputs	combined_source_sha256	png_sha256	pdf_sha256	git_commit	panel	table_id	title	claim_layer	n_files	total_bytes	tsv_files	summary_kind	suffix	evidence_tier	n_objects	object	allowed_wording	disallowed_wording	n_disallowed_phrases	scope	short_command	command	reruns_gears_training	boundary	status	basis
figure1	6.0	7.0	2.0	f630ada60889fb32b3d824002ff8ed31a0450c4d9837871c83faf4cd2bc44ce1	f75c7050283f79295a06f6c75f61cb23e47682e9395bdc0044e563ceefb7b09e	bb61ce392b399cb06090b9729d5bb123304fc6324929f815758aa44733751d19	9b9a6cc2a3be8085322614f8b69ba38ce5c266f7	a																					
figure2	6.0	16.0	2.0	e4d870b70535da3ab35e8e1cdba92eb8c4e3da7ae0fd7d72851521533c874af8	49a3771890d2e9dff6b68f8075f7f12709321f51bb35be7f063c057f5c659df7	eb698936a67142ec276194c80c467638408bb1ca41b46c19da55729704b9b4b8	9b9a6cc2a3be8085322614f8b69ba38ce5c266f7	a																					
figure3	4.0	3.0	2.0	927d76df1145c3312a11005f5d1aefb5aefeeaa28fe59c8e3c70854237a20cf4	619f72e0ff0e765343e8cb12c292edff220bcdf2579fbd1483d53013c712864c	c2f082cc37738af0e16ff92618edc4b66218cc358b2cd41d9336c86e860beec5	9b9a6cc2a3be8085322614f8b69ba38ce5c266f7	a																					
figure4	3.0	13.0	2.0	f841d1522d877cb298d14916791e8315f0315e33c96bb4e6fc9eb2e4fc132778	67e5db8e5850d0e8020352f4300e07dd60d41de44d6814c26cfb611c496c393b	f554004f6d75e98771e351358f9fce9389cce154086b4952e2028d08ccd01a2b	9b9a6cc2a3be8085322614f8b69ba38ce5c266f7	a																					
figure5	2.0	4.0	2.0	e5c52e3d39414834d22cd2d2ce7a541cafc75310429428ec815f36d1c4f157cb	72b3867ffa4398b3ee1affa301785cd1c0b1736659837a935bc790d0648e37bc	8f732df7e4f1425f4ebe4e8e410f2c9dc4fe395072227f3ad2791fa5260dd138	392579c9bfdf0f06bf3c7dc4026fd1c7965b4cee	a																					
figure6	3.0	5.0	2.0	dbcb3d5bb80223bc371b97ffc04dc0a45d6ccf6744141f92398c920288a9585b	90803513fdc7fce169e859e906fa4916b3f1c0c6d3883d2143aab92c0ec552eb	ad483bd8044a6d5b31f9b724a3266a7f17cdbe28c2699bd5fb841bd55a1b7001	9b9a6cc2a3be8085322614f8b69ba38ce5c266f7	a																					
								b	supp_table_10_figure_reproducibility	Main figure source data and manifests	reproducibility	16.0	87845.0	0.0	table_group														
								b	supp_table_1_truth_bridge_hcc	HCC truth-DepMap bridge summaries	truth_object	5.0	22019.0	5.0	table_group														
								b	supp_table_2_truth_decomposition	Target-level and axis-level truth decomposition	truth_object_decomposition	5.0	25549.0	5.0	table_group														
								b	supp_table_3_anchor_claim_governance	Anchor tiering, sensitivity and final claim matrix	claim_governance	3.0	12434.0	3.0	table_group														
								b	supp_table_4_model_comparison	HCC model comparison and GEARS diagnostic summaries	model_recovery	4.0	12241.0	4.0	table_group														
								b	supp_table_5_gears_sweep_and_controls	GEARS sweep and linear-control support tables	model_controls	9.0	12621.0	2.0	table_group														
								b	supp_table_6_axis_annotation	Axis annotation and validation	axis_interpretation	3.0	74983.0	3.0	table_group														
								b	supp_table_7_k562_temporal	K562 7d and 13d temporal supplementary evidence	supplementary_external	5.0	7166.0	5.0	table_group														
								b	supp_table_8_endpoint_hierarchy	CRISPR versus RNAi endpoint hierarchy	endpoint_boundary	3.0	8335.0	3.0	table_group														
								b	supp_table_9_covariate_audit	Covariate audit and barcode-gem-group boundary	covariate_boundary	2.0	6163.0	1.0	table_group														
								b	suffix_json			22.0	90555.0		hash_suffix	json													
