figure_id	n_panel_manifests	n_inputs	n_outputs	combined_source_sha256	png_sha256	pdf_sha256	git_commit	panel	table_id	title	claim_layer	n_files	total_bytes	tsv_files	summary_kind	suffix	scope	short_command	command	reruns_gears_training	boundary	status	basis
figure1	6.0	7.0	2.0	f630ada60889fb32b3d824002ff8ed31a0450c4d9837871c83faf4cd2bc44ce1	09b86fc41da9f32867793fc6bc35404d61460f638fd6a628111b1f7c633cc4d9	5f4f0863578e7316ccbb0a2f24d92e6b5164d9091d9a4cda585dbebb065824b6	9b9a6cc2a3be8085322614f8b69ba38ce5c266f7	a															
figure2	6.0	16.0	2.0	e4d870b70535da3ab35e8e1cdba92eb8c4e3da7ae0fd7d72851521533c874af8	1ee8ba30032c01ea92d694c9a237ad618af634d86daeee4ad4cb67f4dce8d8bf	01731d76aae8aedb81e1124be2ea8b275709a3062b5a5938a9bc61b52bef2d9a	9b9a6cc2a3be8085322614f8b69ba38ce5c266f7	a															
figure3	4.0	3.0	2.0	927d76df1145c3312a11005f5d1aefb5aefeeaa28fe59c8e3c70854237a20cf4	662876be6f0384a3a3bb75bcbdef471b75d2be99f228f2942c360b7f5c252807	0ede355ca61ff27d237ddffd9242031ebd1c8b639d46ae6049f98846e19fec1c	9b9a6cc2a3be8085322614f8b69ba38ce5c266f7	a															
figure4	3.0	13.0	2.0	f841d1522d877cb298d14916791e8315f0315e33c96bb4e6fc9eb2e4fc132778	98c4d3daceb180599ab3d44af7ae93bdf1cc847e4382be629fa3bb4a9b8d3537	1e4d3fa7314fbccdd7943a6ae51fc232addce8cd727af6f2f1830c8bed173bae	9b9a6cc2a3be8085322614f8b69ba38ce5c266f7	a															
figure5	2.0	4.0	2.0	e5c52e3d39414834d22cd2d2ce7a541cafc75310429428ec815f36d1c4f157cb	450978f2b7b53bd9e72c302afcd7868ece6a4ad559ffcb0d5714530555295f06	b66ce7719d05b2a1e059732f40aa59392ff58a649baf2ac67f32774cc31d1e4a	9b9a6cc2a3be8085322614f8b69ba38ce5c266f7	a															
figure6	3.0	5.0	2.0	dbcb3d5bb80223bc371b97ffc04dc0a45d6ccf6744141f92398c920288a9585b	14d65a7bba27206d6f9e7e9d7b44c46cd7cbec944475c6a379d6faab76ae5a1f	735f1b8b701a7b61e8113136d20a1d539c16b32d701145e8c43891f319c343ef	9b9a6cc2a3be8085322614f8b69ba38ce5c266f7	a															
								b	supp_table_10_figure_reproducibility	Main figure source data and manifests	reproducibility	16.0	87845.0	0.0	table_group								
								b	supp_table_1_truth_bridge_hcc	HCC truth-DepMap bridge summaries	truth_object	5.0	22019.0	5.0	table_group								
								b	supp_table_2_truth_decomposition	Target-level and axis-level truth decomposition	truth_object_decomposition	5.0	25549.0	5.0	table_group								
								b	supp_table_3_anchor_claim_governance	Anchor tiering, sensitivity and final claim matrix	claim_governance	3.0	12434.0	3.0	table_group								
								b	supp_table_4_model_comparison	HCC model comparison and GEARS diagnostic summaries	model_recovery	4.0	12241.0	4.0	table_group								
								b	supp_table_5_gears_sweep_and_controls	GEARS sweep and linear-control support tables	model_controls	9.0	12621.0	2.0	table_group								
								b	supp_table_6_axis_annotation	Axis annotation and validation	axis_interpretation	3.0	74983.0	3.0	table_group								
								b	supp_table_7_k562_temporal	K562 7d and 13d temporal supplementary evidence	supplementary_external	5.0	7166.0	5.0	table_group								
								b	supp_table_8_endpoint_hierarchy	CRISPR versus RNAi endpoint hierarchy	endpoint_boundary	3.0	8335.0	3.0	table_group								
								b	supp_table_9_covariate_audit	Covariate audit and barcode-gem-group boundary	covariate_boundary	2.0	6163.0	1.0	table_group								
								b	suffix_json			22.0	90555.0		hash_suffix	json							
								b	suffix_md			2.0	6438.0		hash_suffix	md							
								b	suffix_tsv			31.0	172363.0		hash_suffix	tsv							
								c							entrypoint		main_figures	build_all_main_figures.py	pixi run --environment core python scripts/manuscript/build_all_main_figures.py	no			
								c							entrypoint		supplementary_tables	build_supplementary_table_index.py	pixi run --environment core python scripts/manuscript/build_supplementary_table_index.py	no			
								c							entrypoint		extended_data_figure11	build_extended_data_figure11.py	pixi run --environment core python scripts/manuscript/build_extended_data_figure11.py	no			
								c							boundary						GEARS training	exempt from figure-stage rerun	runtime cost; frozen predictions and scores hashed
								c							boundary						figure source data	rerun	all main figures and ED rebuild source data from frozen reports
								c							boundary						hash manifests	recorded	input, source data and output SHA256 tracked
								c							boundary						claim wording	governed	final claim matrix controls allowed and disallowed wording
