cell_line	truth_metric	depmap_endpoint	n_targets	spearman_rho_raw	spearman_pvalue	pearson_r_raw	pearson_pvalue	spearman_rho_aligned	pearson_r_aligned	alignment_note	panel	timepoint	matrix_cells	kept_cells	controls_in_kept_cells	targets_in_kept_cells	matrix_cells_unassigned	metric	value	endpoint	tier	admission	object	level	structural_stability	cutoff_stability	bootstrap_status	covariate_status	evidence_tier	allowed_wording	disallowed_wording
HCC38	real_shift_mean_abs	depmap_gene_dependency	47.0	0.7257957275155708	7.817813632715767e-09	0.7367887203519019	3.542116170700765e-09	0.7257957275155708	0.7367887203519019	depmap_gene_effect: aligned>0 表示 truth metric 越高，gene effect 越负；depmap_gene_dependency: aligned>0 表示 truth metric 越高，gene dependency 越高	a																				
HCC1143	real_shift_mean_abs	depmap_gene_dependency	48.0	0.7792497165337711	6.855312366129821e-11	0.7610164660837115	3.431439275203321e-10	0.7792497165337711	0.7610164660837115	depmap_gene_effect: aligned>0 表示 truth metric 越高，gene effect 越负；depmap_gene_dependency: aligned>0 表示 truth metric 越高，gene dependency 越高	a																				
											b	13d	19268	15849	3491	12358	3419														
											b	7d	33013	28034	5381	22653	4979														
											c							input_score_matrix_path	/home/data/gz0705/WTKO/RNAi/D2_combined_gene_dep_scores.csv												
											c							input_cell_lines	712												
											c							mapped_cell_lines	701												
											c							missing_model_id_mappings	11												
											c							genes	17309												
											c							score_direction	lower_is_more_dependent												
											c							gene_effect_output	/home/data/gz0705/WTKO/depmap/RNAiDEMETER2GeneEffect.csv												
											c							gene_dependency_output	/home/data/gz0705/WTKO/depmap/RNAiDEMETER2GeneDependency.csv												
											d									CRISPR DepMap	primary	global bridge									
											d									RNAi DEMETER2	sensitivity	admission required									
											d									K562 GSE90063	supplementary	temporal support									
											e												Dixit_K562_supplementary	supplementary	A0_confirmed_A1_supporting_B_not_eligible	not_primary_target	not_primary_target	not_primary_target	A0_confirmed_A1_supporting	K562 13d/7d 支持 formal supplementary external evidence：A0 architecture form confirmed / A1 bridge form supporting / B content-level not eligible；NOT primary co-pillar	Dixit/K562 provides a symmetric primary conclusion with HCC; K562 provides content-level replication established
											e												Dixit_K562_temporal_panel	supplementary	A0_confirmed_A1_temporal_stratified_B_not_eligible	not_primary_target	not_primary_target	not_primary_target	A0_confirmed_A1_supporting	7d 和 13d 均确认 backbone_plus_shift_excess；7d rank alignment 更强，13d mean shift 更大；只能写成 architecture form 时间稳定性与 bridge readout temporal stratification	13d is uniformly stronger than 7d; temporal panel proves external model-side generalization; K562 temporal panel establishes content-level convergence
											e												discovery_phenotype_shifter	discovery	not_yet_gated	not_yet_gated	not_yet_gated	upstream_claims_not_yet_fully_closed	gated_downstream_layer	discovery 当前只能写成 gated downstream layer	discovery is a current formal primary deliverable
