context	target	expression_control	expression_perturbed
HCC38	ARID1A	0.3453377932011671	0.25430869709637355
HCC38	BMPR1A	0.4919387716015872	0.48519468579939207
HCC38	CDKN2A	0.0	0.0
HCC38	COMMD6	0.5569688420837176	0.3824899960290012
HCC38	ENY2	1.3251324262636834	0.9496100394815022
HCC38	ERC1	1.1250777682034827	0.925711290172477
HCC38	ETV3	0.09977097704416885	0.11268303502898948
HCC38	GON4L	0.5221827268180124	0.4143579131661185
HCC38	HDGF	1.2909423891193306	0.7719348816219834
HCC38	HLX	0.013104809432676903	0.006370106916067085
HCC38	KLF3	0.21209008763563728	0.2267965580115683
HCC38	LAMTOR5	1.4994687109774216	0.7936987479602056
HCC38	MAML3	0.019990380952731823	0.03811325094374932
HCC38	MIER1	0.5140016179980074	0.3512363583903707
HCC38	MTDH	2.1767164375021526	1.3112430135910063
HCC38	MYBL1	0.6186016328585443	0.5425370207758815
HCC38	NCOA1	0.2794101748506761	0.25322030964732684
HCC38	NPM1	2.5542043616564376	1.5023607917525588
HCC38	PA2G4	1.71702164672781	0.8916140490020633
HCC38	PARK7	1.710567265548525	0.9007798039645543
HCC38	PCBD1	0.775830772818279	0.49427222387166025
HCC38	PEX14	0.40668505849781567	0.3807886775016379
HCC38	PFDN5	2.0418437454004583	1.3080087318309688
HCC38	PMF1	0.5067607732222534	0.4495771763798371
HCC38	PRDX2	1.1204492668940536	0.3993185399374006
HCC38	PRPF6	0.7501733642260896	0.6816850555962899
HCC38	RORC	0.001427133377841285	0.0
HCC38	RPS3	2.872508160213884	2.0482267329969757
HCC38	RUVBL2	0.8453965111815326	0.49496428413654253
HCC38	SMAD1	0.17200746606734474	0.11061331661482657
HCC38	STAT3	1.0368426916090743	0.6483112774198038
HCC38	TAB3	0.057935140079965045	0.049144287563996275
HCC38	TADA3	0.5235151402351582	0.2827443745320848
HCC38	THAP8	0.06801493929734657	0.0446050803315923
HCC38	THRA	0.07225646014691206	0.04498393498359583
HCC38	TMF1	0.3045405731231822	0.16846159183272277
HCC38	TMSB4X	2.2786495856813316	1.5004702877609883
HCC38	UBP1	0.2790985776824063	0.2299501583738788
HCC38	VEZF1	0.3214663458514829	0.16982282115926228
HCC38	XBP1	0.2590864958308512	0.13515576290365852
HCC38	YBX1	2.7538956941782975	1.2657589610008257
HCC38	ZBTB17	0.16681712488114528	0.10622245267525293
HCC38	ZBTB20	0.522172414363789	0.45895174389619003
HCC38	ZBTB5	0.032252914613265814	0.0411498716865583
HCC38	ZNF131	0.5681403834197247	0.4178847683220465
HCC38	ZNF24	0.46056972560992115	0.3699001128312667
HCC38	ZNF566	0.12095232002737133	0.10937442855321095
HCC1143	ARID1A	0.35617850355897807	0.2322133910162439
HCC1143	BMPR1A	0.15554220130072938	0.13161188041505795
HCC1143	CDKN2A	0.3922839858040306	0.43200549934321303
HCC1143	COMMD6	1.077316247861834	0.7037319862387551
HCC1143	ENY2	1.946445248306935	1.3458442990049593
HCC1143	ERC1	0.5055874868859743	0.46209221266894024
HCC1143	ETV3	0.06944819522725347	0.07018196807449492
HCC1143	GON4L	0.3374881304704646	0.23660184431445075
HCC1143	HDGF	0.915727350983555	0.5054015967809091
HCC1143	HLX	0.004762195914178069	0.004336791090940839
HCC1143	KLF3	0.32716754868777487	0.3638879854504294
HCC1143	LAMTOR5	0.9693553893748605	0.5230891466616678
HCC1143	MAML3	0.018263488529920435	0.019641604460198102
HCC1143	MIER1	0.39818609275051275	0.23911400466801677
HCC1143	MTDH	1.3839579495378933	0.6764320351920228
HCC1143	MYBL1	0.5285678197828075	0.3888307559814423
HCC1143	NCOA1	0.09953146025901184	0.07610255814035334
HCC1143	NPM1	3.200219458361781	1.6100133911394396
HCC1143	PA2G4	1.8033421374653973	0.818670672853417
HCC1143	PARK7	1.828021715441076	0.7855993977292716
HCC1143	PCBD1	0.6593165487438917	0.3639882976626391
HCC1143	PEX14	0.209960639581057	0.19560931317068375
HCC1143	PFDN5	1.9577072921258454	1.0411342732941833
HCC1143	PMF1	0.4057354744443542	0.17772771968864876
HCC1143	PRDX2	1.0675689459474895	0.477135673185228
HCC1143	PRPF6	0.7216963514738823	0.5340959944809673
HCC1143	RORC	0.008620181383712858	0.004505567105755013
HCC1143	RPS3	3.4133886358164847	2.3463561035610816
HCC1143	RUVBL2	0.8470247934206425	0.40653672390075646
HCC1143	SMAD1	0.09875244739555014	0.08331498762238485
HCC1143	STAT3	0.4265814802859512	0.1993690841957231
HCC1143	TAB3	0.06120312229675651	0.05631758355525559
HCC1143	TADA3	0.5820443536826683	0.2584589851933935
HCC1143	THAP8	0.03881186089013737	0.038364405150872964
HCC1143	THRA	0.044054448742703256	0.029984707871015006
HCC1143	TMF1	0.21153586877889968	0.07442840310261045
HCC1143	TMSB4X	2.694746527720992	1.741135644510528
HCC1143	UBP1	0.19415155034964826	0.1414977377048119
HCC1143	VEZF1	0.35488260512219644	0.16992688117263963
HCC1143	XBP1	0.5603312799694902	0.28026658259400256
HCC1143	YBX1	2.365043609778736	0.9220443289861086
HCC1143	ZBTB17	0.0754022248142971	0.05440096314766841
HCC1143	ZBTB20	0.3526567327377557	0.30811333731771173
HCC1143	ZBTB5	0.05789391300829832	0.06923671063407708
HCC1143	ZNF131	0.5956981160308014	0.5012400908186349
HCC1143	ZNF24	0.2996439352278122	0.2212955537645963
HCC1143	ZNF566	0.07489248878639708	0.08834865846278973
K562 7d	CREB1	0.11366272772172323	0.10884982389256662
K562 7d	E2F4	0.22688731699631492	0.2063712236967946
K562 7d	EGR1	0.17050495635974713	0.23733997279774166
K562 7d	ELF1	0.22176661967414812	0.1874649512640195
K562 7d	ELK1	0.13795500512109865	0.13300157803717283
K562 7d	ETS1	0.00014403692325626926	0.00031272209956624
K562 7d	GABPA	0.10747919376164655	0.12758359957759433
K562 7d	IRF1	0.036696051489196246	0.02967418853900872
K562 7d	NR2C2	0.035527095116727594	0.033672170040020405
K562 7d	YY1	0.6593188510050945	0.561478321913286
K562 13d	CREB1	0.10369052002991308	0.0909320442470726
K562 13d	E2F4	0.31596492304907015	0.27993894786230067
K562 13d	EGR1	0.054015750621496335	0.0539934686802192
K562 13d	ELF1	0.1292229806462932	0.11268730748555546
K562 13d	ELK1	0.07644302801112893	0.07974238897771
K562 13d	ETS1	0.0	0.0
K562 13d	GABPA	0.03996441447722233	0.0466745548653145
K562 13d	IRF1	0.05076790365603194	0.04059295389145212
K562 13d	NR2C2	0.018749280299497153	0.022416286949632366
K562 13d	YY1	0.53078581369142	0.5000870084916116
Replogle K562 essential	AAAS	0.21558089554309845	0.024300655350089073
Replogle K562 essential	AAMP	0.501615583896637	0.14949963986873627
Replogle K562 essential	AARS	0.30789297819137573	0.030358463525772095
Replogle K562 essential	AARS2	0.10507944971323013	0.005403162445873022
