target	expression_control	expression_perturbed
ARID1A	0.3453377932011671	0.2543086970963735
BMPR1A	0.4919387716015872	0.485194685799392
CDKN2A	0.0	0.0
COMMD6	0.5569688420837176	0.3824899960290012
ENY2	1.3251324262636834	0.9496100394815022
ERC1	1.1250777682034827	0.925711290172477
ETV3	0.0997709770441688	0.1126830350289894
GON4L	0.5221827268180124	0.4143579131661185
HDGF	1.2909423891193306	0.7719348816219834
HLX	0.0131048094326769	0.006370106916067
KLF3	0.2120900876356372	0.2267965580115683
LAMTOR5	1.4994687109774216	0.7936987479602056
MAML3	0.0199903809527318	0.0381132509437493
MIER1	0.5140016179980074	0.3512363583903707
MTDH	2.1767164375021526	1.3112430135910065
MYBL1	0.6186016328585443	0.5425370207758815
NCOA1	0.2794101748506761	0.2532203096473268
NPM1	2.5542043616564376	1.5023607917525588
PA2G4	1.71702164672781	0.8916140490020633
PARK7	1.710567265548525	0.9007798039645544
PCBD1	0.775830772818279	0.4942722238716602
PEX14	0.4066850584978156	0.3807886775016379
PFDN5	2.0418437454004583	1.3080087318309688
PMF1	0.5067607732222534	0.4495771763798371
PRDX2	1.1204492668940536	0.3993185399374006
PRPF6	0.7501733642260896	0.6816850555962899
RORC	0.0014271333778412	0.0
RPS3	2.872508160213884	2.048226732996976
RUVBL2	0.8453965111815326	0.4949642841365425
SMAD1	0.1720074660673447	0.1106133166148265
STAT3	1.0368426916090745	0.6483112774198038
TAB3	0.057935140079965	0.0491442875639962
TADA3	0.5235151402351582	0.2827443745320848
THAP8	0.0680149392973465	0.0446050803315923
THRA	0.072256460146912	0.0449839349835958
TMF1	0.3045405731231822	0.1684615918327227
TMSB4X	2.278649585681332	1.5004702877609883
UBP1	0.2790985776824063	0.2299501583738788
VEZF1	0.3214663458514829	0.1698228211592622
XBP1	0.2590864958308512	0.1351557629036585
YBX1	2.753895694178297	1.2657589610008255
ZBTB17	0.1668171248811452	0.1062224526752529
ZBTB20	0.522172414363789	0.45895174389619
ZBTB5	0.0322529146132658	0.0411498716865583
ZNF131	0.5681403834197247	0.4178847683220465
ZNF24	0.4605697256099211	0.3699001128312667
ZNF566	0.1209523200273713	0.1093744285532109
