target	expression_control	expression_perturbed
ARID1A	0.356178503558978	0.2322133910162439
BMPR1A	0.1555422013007293	0.1316118804150579
CDKN2A	0.3922839858040306	0.432005499343213
COMMD6	1.077316247861834	0.7037319862387551
ENY2	1.946445248306935	1.3458442990049593
ERC1	0.5055874868859743	0.4620922126689402
ETV3	0.0694481952272534	0.0701819680744949
GON4L	0.3374881304704646	0.2366018443144507
HDGF	0.915727350983555	0.5054015967809091
HLX	0.004762195914178	0.0043367910909408
KLF3	0.3271675486877748	0.3638879854504294
LAMTOR5	0.9693553893748604	0.5230891466616678
MAML3	0.0182634885299204	0.0196416044601981
MIER1	0.3981860927505127	0.2391140046680167
MTDH	1.3839579495378933	0.6764320351920228
MYBL1	0.5285678197828075	0.3888307559814423
NCOA1	0.0995314602590118	0.0761025581403533
NPM1	3.200219458361781	1.6100133911394396
PA2G4	1.8033421374653973	0.818670672853417
PARK7	1.828021715441076	0.7855993977292716
PCBD1	0.6593165487438917	0.3639882976626391
PEX14	0.209960639581057	0.1956093131706837
PFDN5	1.9577072921258452	1.0411342732941833
PMF1	0.4057354744443542	0.1777277196886487
PRDX2	1.0675689459474895	0.477135673185228
PRPF6	0.7216963514738823	0.5340959944809673
RORC	0.0086201813837128	0.004505567105755
RPS3	3.4133886358164847	2.3463561035610816
RUVBL2	0.8470247934206425	0.4065367239007564
SMAD1	0.0987524473955501	0.0833149876223848
STAT3	0.4265814802859512	0.1993690841957231
TAB3	0.0612031222967565	0.0563175835552555
TADA3	0.5820443536826683	0.2584589851933935
THAP8	0.0388118608901373	0.0383644051508729
THRA	0.0440544487427032	0.029984707871015
TMF1	0.2115358687788996	0.0744284031026104
TMSB4X	2.694746527720992	1.741135644510528
UBP1	0.1941515503496482	0.1414977377048119
VEZF1	0.3548826051221964	0.1699268811726396
XBP1	0.5603312799694902	0.2802665825940025
YBX1	2.365043609778736	0.9220443289861086
ZBTB17	0.0754022248142971	0.0544009631476684
ZBTB20	0.3526567327377557	0.3081133373177117
ZBTB5	0.0578939130082983	0.069236710634077
ZNF131	0.5956981160308014	0.5012400908186349
ZNF24	0.2996439352278122	0.2212955537645963
ZNF566	0.074892488786397	0.0883486584627897
