target_gene	umap1	umap2
NAF1	5.3361745	13.257585
BUB1	8.723466	15.541945
UBL5	2.8061297	13.373832
C9orf16	5.1086035	12.998931
TIMM9	10.195968	15.250091
SMG5	9.948041	16.440159
ZNF687	5.9508224	14.521029
MED9	5.7570577	7.9130507
RPL3	7.232592	16.241528
PSTK	7.1167912	16.2415
RNF8	10.557234	15.872929
MED1	5.7292247	7.987178
HNRNPH1	5.7545295	11.81441
RPL10A	-1.2193158	14.15727
SLC35B1	5.2294807	14.234117
LIN54	8.183279	16.071377
EIF1AX	0.70023876	14.125294
OR7A17	7.2265368	15.752353
NUP98	4.7582345	11.851826
OIP5	9.949805	14.236412
ANAPC15	7.614515	15.386122
RRM2	10.623071	14.318921
N6AMT1	3.1632283	13.128643
RPS20	1.4673033	7.2238507
WTAP	5.423319	14.535095
RIOK2	2.8435473	7.3426385
CIAO1	6.593427	14.115104
POP7	5.5826187	11.974095
EIF3E	8.418674	11.942189
MRPS14	1.1648723	11.80114
MYO1H	7.8247676	15.21381
MRPL2	11.902829	11.428379
MED10	5.470676	8.799415
TRA2B	1.8665253	12.571805
PSMC4	3.77815	10.337049
NAA38	2.641656	13.483992
LENG8	7.6116443	16.494003
CDAN1	4.8408065	13.167661
KLC2	7.0163894	15.525982
CHORDC1	4.069639	14.224998
PPP4C	10.420023	14.439903
RAB18	4.37045	13.986177
TUBGCP2	12.531966	14.067717
EIF3M	8.535712	11.722783
CADM4	6.094872	15.080615
RPL5	-0.77110785	14.270626
TICRR	13.209835	13.232871
RPL13	-1.1895263	14.216929
KIF11	9.624227	15.289014
ASF1B	8.353133	16.018356
CNOT3	10.499103	14.165965
WDR36	2.9822743	7.4193854
RPL31	-1.666486	13.943132
SNAPC3	5.610295	13.969647
MED12	5.766571	7.911475
PRODH	6.9821796	15.738134
NBAS	5.9166393	13.137054
CKAP5	6.8738837	13.399946
ELP5	6.626715	16.277164
ZNF407	8.559588	15.404735
SNX15	8.394331	15.2682
RPS6	0.7933228	7.3625135
TUBD1	6.3449535	14.814527
SEC13	5.680361	14.917817
EIF4E	-0.021262752	14.141186
H2AFZ	3.6821604	14.031116
EEF1G	4.730681	12.114966
DNAJA1	4.5086713	12.769948
LSG1	0.049514696	14.401618
FBXO5	12.368952	14.081926
MTOR	5.8892217	13.594301
SFSWAP	2.3383815	12.930227
USP8	8.239175	15.856072
HTATSF1	8.69684	16.46824
SUPT5H	5.771681	7.8996797
WDR4	8.266526	15.408219
AP2M1	6.93443	14.693514
PPP2R3C	3.7278166	14.064505
LTB4R2	5.6159897	15.225231
EIF4G1	-0.1271723	14.1808405
RPA1	6.8023567	14.889673
TRRAP	10.836083	13.741816
BRF1	6.0453095	15.477601
NUP205	8.98461	15.9852495
PRPF40A	3.0296865	11.989423
HSPA9	1.1421607	11.670163
SLU7	2.3359556	11.998251
DDX46	5.6770964	14.025998
NOP16	-0.5506726	14.259037
PMPCA	8.358295	14.72245
NSUN4	9.321296	13.491071
HARS2	9.702559	13.805676
POLA1	12.42145	13.779179
SNRNP40	5.2430463	14.901052
EMC3	9.085717	14.733859
ERH	11.586013	14.117055
MRPS7	1.7019342	13.79806
