object_type	object_id	primary_call	stability_fraction	evidence_tier
target_anchor	ARID1A	not_shared_anchor	0.0	background_or_negative
target_anchor	BMPR1A	not_shared_anchor	0.0	background_or_negative
target_anchor	CDKN2A	not_shared_anchor	0.0	background_or_negative
target_anchor	COMMD6	not_shared_anchor	0.0	background_or_negative
target_anchor	ERC1	not_shared_anchor	0.0	background_or_negative
target_anchor	ETV3	not_shared_anchor	0.0	background_or_negative
target_anchor	GON4L	not_shared_anchor	0.0	background_or_negative
target_anchor	HDGF	not_shared_anchor	0.0	background_or_negative
target_anchor	HLX	not_shared_anchor	0.0	background_or_negative
target_anchor	KLF3	not_shared_anchor	0.0	background_or_negative
target_anchor	LAMTOR5	not_shared_anchor	0.0	background_or_negative
target_anchor	MAML3	not_shared_anchor	0.0	background_or_negative
target_anchor	MIER1	not_shared_anchor	0.0	background_or_negative
target_anchor	MTDH	not_shared_anchor	0.0	background_or_negative
target_anchor	MYBL1	not_shared_anchor	0.0	background_or_negative
target_anchor	NCOA1	not_shared_anchor	0.0	background_or_negative
target_anchor	PA2G4	not_shared_anchor	0.0	background_or_negative
target_anchor	PARK7	not_shared_anchor	0.0	background_or_negative
target_anchor	PCBD1	not_shared_anchor	0.0	background_or_negative
target_anchor	PEX14	not_shared_anchor	0.0	background_or_negative
target_anchor	PRDX2	not_shared_anchor	0.0	background_or_negative
target_anchor	RORC	not_shared_anchor	0.0	background_or_negative
target_anchor	SMAD1	not_shared_anchor	0.0	background_or_negative
target_anchor	SS18L2	not_shared_anchor	0.0	background_or_negative
target_anchor	STAT3	not_shared_anchor	0.0	background_or_negative
target_anchor	TAB3	not_shared_anchor	0.0	background_or_negative
target_anchor	TADA3	not_shared_anchor	0.0	background_or_negative
target_anchor	THAP8	not_shared_anchor	0.0	background_or_negative
target_anchor	THRA	not_shared_anchor	0.0	background_or_negative
target_anchor	TMF1	not_shared_anchor	0.0	background_or_negative
target_anchor	TMSB4X	not_shared_anchor	0.0	background_or_negative
target_anchor	UBP1	not_shared_anchor	0.0	background_or_negative
target_anchor	VEZF1	not_shared_anchor	0.0	background_or_negative
target_anchor	XBP1	not_shared_anchor	0.0	background_or_negative
target_anchor	YBX1	not_shared_anchor	0.0	background_or_negative
target_anchor	ZBTB20	not_shared_anchor	0.0	background_or_negative
target_anchor	ZBTB5	not_shared_anchor	0.0	background_or_negative
target_anchor	ZNF24	not_shared_anchor	0.0	background_or_negative
target_anchor	ZNF566	not_shared_anchor	0.0	background_or_negative
target_anchor	PFDN5	stable_shared_anchor	1.0	primary_evidence
target_anchor	PMF1	stable_shared_anchor	1.0	primary_evidence
target_anchor	PRPF6	stable_shared_anchor	1.0	primary_evidence
target_anchor	ZNF131	stable_shared_anchor	1.0	primary_evidence
target_anchor	ENY2	cutoff_sensitive_shared_anchor	0.3333333333333333	supporting_but_sensitive
target_anchor	NPM1	cutoff_sensitive_shared_anchor	0.3333333333333333	supporting_but_sensitive
target_anchor	RPS3	cutoff_sensitive_shared_anchor	0.6666666666666666	supporting_but_sensitive
target_anchor	RUVBL2	cutoff_sensitive_shared_anchor	0.6666666666666666	supporting_but_sensitive
target_anchor	ZBTB17	cutoff_sensitive_shared_anchor	0.6666666666666666	supporting_but_sensitive
