model_id	object_role	cell_line	export_status	backbone_recovery_score	shift_excess_identification_score	structure_vs_context_separation_score	cosine_similarity_mean	l2_distance_mean	top20_overlap_mean	backbone_cosine_similarity_mean	backbone_l2_distance_mean	backbone_top20_overlap_mean	backbone_target_count	shift_excess_cosine_similarity_mean	shift_excess_l2_distance_mean	shift_excess_top20_overlap_mean	shift_excess_target_count	context_deviation_cosine_similarity_mean	context_deviation_l2_distance_mean	context_deviation_top20_overlap_mean	context_deviation_target_count
null_model		HCC38	contract_validated	0.5	0.5	0.0	0.0	0.3876762072815405	0.4627659574468084	0.0	0.5142821617991488	0.4833333333333334	6	0.0	0.8186488784461469	0.45	1	0.0	0.3579109973247841	0.4599999999999999	40
null_model		HCC1143	contract_validated	0.5	0.5	0.0	0.0	0.4395996738572114	0.4553191489361701	0.0	0.6396895894212518	0.5083333333333333	6	0.0	0.5526408290413128	0.45	1	0.0	0.4067601576430027	0.4475	40
shared_mean_baseline	baseline	HCC38	contract_validated	0.7733333333333333	0.5	0.356991953371764	0.1625962845248893	0.448117964701647	0.5723404255319149	0.4078339178685614	0.4734442193924852	0.5916666666666667	6	-0.1432580785357818	0.8851034474949351	0.5	1	0.1334569985998552	0.4333943894281891	0.5712499999999999	40
shared_mean_baseline	baseline	HCC1143	contract_validated	0.84	0.1666666666666666	0.3482371639207613	0.1533593973578599	0.5284464067398589	0.5670212765957446	0.4085835059443753	0.5903076255599328	0.6333333333333333	6	-0.0769816870477608	0.6555213695915926	0.55	1	0.1208343081800231	0.5159903498455544	0.5575	40
gears_hcc_formal_v1	entrant	HCC38	contract_validated	0.6	0.1666666666666666	0.4257862954100095	0.1448491664517591	0.5797607298011724	0.5351063829787235	0.1793469737147646	0.6365135117006142	0.5833333333333334	6	0.2155450763402789	0.8781607118480842	0.55	1	0.1379070976150953	0.5637878129650834	0.5275000000000001	40
gears_hcc_formal_v1	entrant	HCC1143	contract_validated	0.7199999999999999	0.5	0.4310444660406881	0.1187064501877382	0.674046169528947	0.4829787234042552	0.1342212468406277	0.7542386799490793	0.4916666666666666	6	0.0792122470185877	0.6934291217736468	0.65	1	0.1173665857690336	0.6615327191598096	0.4775	40
gears_hcc_formal_v1_e20_lr1e-03_wd1e-06	entrant	HCC38	contract_validated	0.5933333333333334	0.5	0.4609447214541419	0.1635744395400226	0.6466282263596849	0.5010638297872341	0.1042842590061696	0.7257695411166768	0.5166666666666667	6	-0.0060018340439551	0.9229509442477596	0.45	1	0.1767073734597	0.6278489611989342	0.5	40
gears_hcc_formal_v1_e20_lr1e-03_wd1e-06	entrant	HCC1143	contract_validated	0.6599999999999999	0.5	0.4573678780996404	0.2370552167555585	0.6181937828013306	0.5138297872340426	0.3063984059073538	0.7030240513868261	0.5750000000000001	6	0.2112052532419064	0.783711978442633	0.65	1	0.2272999874706306	0.6013312876224738	0.50125	40
gears_hcc_formal_v1_e30_lr1e-03_wd1e-05	entrant	HCC38	contract_validated	0.5399999999999999	0.8333333333333334	0.4198360315062858	0.1450732646065148	0.5260282076361252	0.5063829787234043	0.225888183706757	0.5599024592907571	0.5166666666666667	6	-0.2208499617557056	0.929772034780814	0.55	1	0.142099107400534	0.5108534742093133	0.5037499999999999	40
gears_hcc_formal_v1_e30_lr1e-03_wd1e-05	entrant	HCC1143	contract_validated	0.6866666666666666	1.0	0.4358302896943701	0.1062244074093771	0.6660670663793232	0.5276595744680851	0.213193129170111	0.7241051992450633	0.5916666666666667	6	0.2694013001859954	0.8727469195054205	0.55	1	0.0860996768258516	0.6521943501213098	0.5175000000000001	40
