axis_id	axis_family	architecture_role	consistency_class	axis_annotation_confidence	n_targets	targets	fraction_q1_mean	fraction_q2_mean	fraction_q3_mean	shift_lift_mean	depmap_lift_mean	shift_r2_mean	depmap_r2_mean	sharedness_delta	explanatory_call	formal_call_eligible	call_tier
chromatin remodeling	gene expression machinery	canonical_backbone	shared_dual_high	high	2	ARID1A; RUVBL2	0.5	0.0	0.0	0.0025538843549852	0.3596681136710968	0.0457102885494596	0.0516473950639248	-0.0059371065144651	mixed_or_low_signal_axis	True	formal
transcription regulation	gene expression machinery	context_deviation	heterogeneous	low	18	ETV3; GON4L; HLX; KLF3; MAML3; MIER1; MYBL1; PMF1; THAP8; TMF1; UBP1; VEZF1; ZBTB17; ZBTB20; ZBTB5; ZNF131; ZNF24; ZNF566	0.1666666666666666	0.0	0.0	-0.0002895890719978	-0.0524816399481384	0.0119799375335992	0.0172372187300257	-0.0052572811964264	mixed_or_low_signal_axis	True	formal
nuclear receptor / metabolism	signaling / growth control	context_deviation	shared_middle	low	2	RORC; THRA	0.0	0.0	0.0	-0.0013319429878878	-0.1216788926007566	0.0124717439812113	0.0067876650656432	0.005684078915568	mixed_or_low_signal_axis	True	formal
TGF-beta / BMP signaling	signaling / growth control	context_deviation	heterogeneous	medium	2	BMPR1A; SMAD1	0.0	0.0	0.0	-0.0010191563415874	-0.0791071369204745	0.0080398551381607	0.0028084397561723	0.0052314153819884	mixed_or_low_signal_axis	True	formal
proteostasis / chaperone	proteostasis	context_deviation	line_skewed	medium	1	PFDN5	1.0	0.0	0.0	0.0032163068676816	0.6701642225257974	0.0351846655998828	0.0871909235205539	-0.052006257920671	preliminary_dependency_heavy_axis	False	preliminary
ribosomal / translation	ribosome / nucleolar biogenesis	canonical_backbone	shared_dual_high	high	1	RPS3	1.0	0.0	0.0	0.00231690977132	0.7753167243832226	0.0237625515304477	0.1158481284956462	-0.0920855769651985	preliminary_dependency_heavy_axis	False	preliminary
RNA processing / transcription	RNA processing	context_deviation	shared_middle	high	1	YBX1	0.5	0.0	0.0	0.0012402696904646	0.7709901255108096	0.0053510116361707	0.1145923282065776	-0.1092413165704069	preliminary_dependency_heavy_axis	False	preliminary
ribosome biogenesis / nucleolar	ribosome / nucleolar biogenesis	context_deviation	shared_shift_excess	high	1	NPM1	0.5	0.0	0.0	0.0029675966818554	0.2842193142839105	0.0491582655306062	0.03923951613219	0.0099187493984161	preliminary_mixed_or_low_signal_axis	False	preliminary
nuclear receptor / co-activator	gene expression machinery	context_deviation	shared_middle	medium	1	NCOA1	0.0	0.0	0.0	-0.0023311268301936	-0.1892593719793967	0.0184880600067985	0.0068993829410221	0.0115886770657764	preliminary_mixed_or_low_signal_axis	False	preliminary
cytoskeleton / cell motility	cell-state regulation	context_deviation	shared_middle	high	1	TMSB4X	0.0	0.0	0.0	-0.0022176336274601	-0.1114561734143488	0.016785412811708	0.0041888263678804	0.0125965864438276	preliminary_mixed_or_low_signal_axis	False	preliminary
ER stress / UPR	stress response	context_deviation	shared_middle	high	1	XBP1	0.0	0.0	0.0	-0.0021507217668037	-0.2147350852924363	0.0162456435268426	0.0088982986407474	0.0073473448860951	preliminary_mixed_or_low_signal_axis	False	preliminary
NF-κB / copper signaling	signaling / growth control	context_deviation	shared_middle	medium	1	COMMD6	0.0	0.0	0.0	-0.0020818976725851	-0.1526975169517808	0.0149622440874706	0.0054930875937286	0.0094691564937419	preliminary_mixed_or_low_signal_axis	False	preliminary
metabolism / transcription	metabolism	context_deviation	shared_middle	low	1	PCBD1	0.0	0.0	0.0	-0.002037054320283	-0.2085428277762812	0.0145285688694307	0.0083828909256136	0.006145677943817	preliminary_mixed_or_low_signal_axis	False	preliminary
peroxisome / metabolism	metabolism	context_deviation	shared_middle	medium	1	PEX14	0.0	0.0	0.0	-0.0020386300052073	-0.2108108697539006	0.0141771840514517	0.0086335804762432	0.0055436035752085	preliminary_mixed_or_low_signal_axis	False	preliminary
cell cycle / replication	cell-state regulation	context_deviation	line_skewed	high	1	CDKN2A	0.0	0.0	0.0	-0.0019054441595306	-0.2229463895689933	0.0135146831560443	0.0095905792774376	0.0039241038786066	preliminary_mixed_or_low_signal_axis	False	preliminary
synaptic / signaling	signaling / growth control	context_deviation	shared_middle	low	1	ERC1	0.0	0.0	0.0	-0.0019340547235664	-0.2067764839409114	0.0133845565928478	0.0083371926086237	0.005047363984224	preliminary_mixed_or_low_signal_axis	False	preliminary
growth factor / proliferation	signaling / growth control	context_deviation	shared_middle	medium	1	HDGF	0.0	0.0	0.0	-0.0017670730865107	-0.2005208589981218	0.0119657754361656	0.0077512113361277	0.0042145641000379	preliminary_mixed_or_low_signal_axis	False	preliminary
JAK-STAT signaling	signaling / growth control	context_deviation	shared_middle	high	1	STAT3	0.0	0.0	0.0	-0.001698488454784	-0.2110357326023516	0.0098463022917731	0.0085784413687654	0.0012678609230077	preliminary_mixed_or_low_signal_axis	False	preliminary
signaling / oncogene	signaling / growth control	context_deviation	shared_middle	high	1	MTDH	0.0	0.0	0.0	-0.0012767150700943	-0.2014033418734466	0.006162566499227	0.0078132025657203	-0.0016506360664933	preliminary_mixed_or_low_signal_axis	False	preliminary
oxidative stress / antioxidant	stress response	context_deviation	shared_middle	high	1	PRDX2	0.0	0.0	0.0	-0.001266259957604	-0.0630570765564325	0.0058663755681859	0.0007878525818761	0.0050785229863098	preliminary_mixed_or_low_signal_axis	False	preliminary
oxidative stress / mitochondrial	stress response	context_deviation	shared_middle	medium	1	PARK7	0.0	0.0	0.0	-0.0008571189101983	-0.147987504551865	0.0034392429600541	0.0050062526099397	-0.0015670096498856	preliminary_mixed_or_low_signal_axis	False	preliminary
NF-κB / MAPK signaling	signaling / growth control	context_deviation	line_skewed	medium	1	TAB3	0.0	0.0	0.0	-0.0007674664312851	-0.2068808715460154	0.0023197200472579	0.0082441423603604	-0.0059244223131025	preliminary_mixed_or_low_signal_axis	False	preliminary
growth / proliferation	signaling / growth control	context_deviation	line_skewed	medium	1	PA2G4	0.0	0.0	0.0	9.172232708838006e-05	0.0066460381580744	0.0019107990652549	0.0038350710616956	-0.0019242719964406	preliminary_mixed_or_low_signal_axis	False	preliminary
RNA processing / spliceosome	RNA processing	canonical_backbone	shared_shift_excess	high	1	PRPF6	1.0	0.0	0.0	0.0084863742060175	0.7739565322106198	0.2456341088499313	0.1154327916242644	0.1302013172256668	preliminary_shared_signal_axis	False	preliminary
mTOR / lysosome / signaling	signaling / growth control	shift_excess	shared_shift_excess	high	1	LAMTOR5	0.0	0.0	0.0	0.0035515052974019	-0.1188144571752522	0.0471206748830778	0.0028366077924279	0.0442840670906499	preliminary_transcriptomic_heavy_axis	False	preliminary
transcription / chromatin	gene expression machinery	canonical_backbone	shared_shift_excess	high	2	ENY2; TADA3	0.5	0.0	0.0	0.0036330167096096	0.0062684778379303	0.0918059091099973	0.0003096163305515	0.0914962927794458	transcriptomic_heavy_axis	True	formal
