variant_id	epochs	lr	weight_decay	materialization_export_sanity	change_count	candidate_rank	model_id	config_path	run_command	panel	phase	status	n	object_role	backbone_recovery_score	shift_excess_identification_score	structure_vs_context_separation_score	cosine_similarity_mean	l2_distance_mean	top20_overlap_mean	rule	baseline_backbone	best_sweep_backbone	decision	boundary
e30_lr1e-03_wd1e-06	30.0	0.001	1e-06	default_only	0.0	1.0	gears_hcc_formal_v1_e30_lr1e-03_wd1e-06	configs/generated/gears_hcc_backbone_sweep_v1/e30_lr1e-03_wd1e-06.json	PYTHONPATH=src pixi run --environment gears python scripts/pipeline/gears_hcc_predictions.py --config configs/generated/gears_hcc_backbone_sweep_v1/e30_lr1e-03_wd1e-06.json	a															
e30_lr1e-03_wd1e-05	30.0	0.001	1e-05	default_only	1.0	2.0	gears_hcc_formal_v1_e30_lr1e-03_wd1e-05	configs/generated/gears_hcc_backbone_sweep_v1/e30_lr1e-03_wd1e-05.json	PYTHONPATH=src pixi run --environment gears python scripts/pipeline/gears_hcc_predictions.py --config configs/generated/gears_hcc_backbone_sweep_v1/e30_lr1e-03_wd1e-05.json	a															
e30_lr5e-04_wd1e-06	30.0	0.0005	1e-06	default_only	1.0	3.0	gears_hcc_formal_v1_e30_lr5e-04_wd1e-06	configs/generated/gears_hcc_backbone_sweep_v1/e30_lr5e-04_wd1e-06.json	PYTHONPATH=src pixi run --environment gears python scripts/pipeline/gears_hcc_predictions.py --config configs/generated/gears_hcc_backbone_sweep_v1/e30_lr5e-04_wd1e-06.json	a															
e30_lr2e-03_wd1e-06	30.0	0.002	1e-06	default_only	1.0	4.0	gears_hcc_formal_v1_e30_lr2e-03_wd1e-06	configs/generated/gears_hcc_backbone_sweep_v1/e30_lr2e-03_wd1e-06.json	PYTHONPATH=src pixi run --environment gears python scripts/pipeline/gears_hcc_predictions.py --config configs/generated/gears_hcc_backbone_sweep_v1/e30_lr2e-03_wd1e-06.json	a															
e20_lr1e-03_wd1e-06	20.0	0.001	1e-06	default_only	1.0	5.0	gears_hcc_formal_v1_e20_lr1e-03_wd1e-06	configs/generated/gears_hcc_backbone_sweep_v1/e20_lr1e-03_wd1e-06.json	PYTHONPATH=src pixi run --environment gears python scripts/pipeline/gears_hcc_predictions.py --config configs/generated/gears_hcc_backbone_sweep_v1/e20_lr1e-03_wd1e-06.json	a															
e40_lr1e-03_wd1e-06	40.0	0.001	1e-06	default_only	1.0	6.0	gears_hcc_formal_v1_e40_lr1e-03_wd1e-06	configs/generated/gears_hcc_backbone_sweep_v1/e40_lr1e-03_wd1e-06.json	PYTHONPATH=src pixi run --environment gears python scripts/pipeline/gears_hcc_predictions.py --config configs/generated/gears_hcc_backbone_sweep_v1/e40_lr1e-03_wd1e-06.json	a															
e20_lr1e-03_wd1e-06										b	export_HCC1143	completed	1.0												
e20_lr1e-03_wd1e-06										b	export_HCC1143	started	1.0												
e20_lr1e-03_wd1e-06										b	export_HCC38	completed	1.0												
e20_lr1e-03_wd1e-06										b	export_HCC38	started	1.0												
