variant_id	phase	status	n
e20_lr1e-03_wd1e-06	export_HCC1143	completed	1
e20_lr1e-03_wd1e-06	export_HCC1143	started	1
e20_lr1e-03_wd1e-06	export_HCC38	completed	1
e20_lr1e-03_wd1e-06	export_HCC38	started	1
e20_lr1e-03_wd1e-06	smoke	completed	1
e20_lr1e-03_wd1e-06	smoke	started	1
e20_lr1e-03_wd1e-06	train	completed	1
e20_lr1e-03_wd1e-06	train	started	1
e30_lr1e-03_wd1e-05	export_HCC1143	completed	1
e30_lr1e-03_wd1e-05	export_HCC1143	started	1
e30_lr1e-03_wd1e-05	export_HCC38	completed	1
e30_lr1e-03_wd1e-05	export_HCC38	started	1
e30_lr1e-03_wd1e-05	smoke	completed	1
e30_lr1e-03_wd1e-05	smoke	started	1
e30_lr1e-03_wd1e-05	train	skipped_existing	1
e30_lr2e-03_wd1e-06	export_HCC1143	completed	1
e30_lr2e-03_wd1e-06	export_HCC1143	started	1
e30_lr2e-03_wd1e-06	export_HCC38	completed	1
e30_lr2e-03_wd1e-06	export_HCC38	started	1
e30_lr2e-03_wd1e-06	smoke	completed	1
e30_lr2e-03_wd1e-06	smoke	started	1
e30_lr2e-03_wd1e-06	train	completed	1
e30_lr2e-03_wd1e-06	train	started	1
e30_lr5e-04_wd1e-06	export_HCC1143	completed	1
e30_lr5e-04_wd1e-06	export_HCC1143	started	1
e30_lr5e-04_wd1e-06	export_HCC38	completed	1
e30_lr5e-04_wd1e-06	export_HCC38	started	1
e30_lr5e-04_wd1e-06	smoke	completed	1
e30_lr5e-04_wd1e-06	smoke	started	1
e30_lr5e-04_wd1e-06	train	completed	1
e30_lr5e-04_wd1e-06	train	started	1
e40_lr1e-03_wd1e-06	export_HCC1143	completed	1
e40_lr1e-03_wd1e-06	export_HCC1143	started	1
e40_lr1e-03_wd1e-06	export_HCC38	completed	1
e40_lr1e-03_wd1e-06	export_HCC38	started	1
e40_lr1e-03_wd1e-06	smoke	completed	1
e40_lr1e-03_wd1e-06	smoke	started	1
e40_lr1e-03_wd1e-06	train	completed	1
e40_lr1e-03_wd1e-06	train	started	1
