axis_id	bootstrap_replicates_completed	bootstrap_shift_r2_mean	bootstrap_shift_r2_p10	bootstrap_shift_r2_p90	bootstrap_dep_r2_mean	bootstrap_dep_r2_p10	bootstrap_dep_r2_p90	bootstrap_dominant_call	bootstrap_dominant_call_fraction	bootstrap_stability_call
ribosomal / translation	126	0.0458421347817157	0.0101543540099529	0.0813097675266462	0.1725311671619864	0.0962533796597226	0.2782461957775696	preliminary_dependency_heavy_axis	0.6746031746031746	moderately_stable_axis_call
proteostasis / chaperone	127	0.0569181755946385	0.0246817362503415	0.0926116010197582	0.1341231561074251	0.0637813567892498	0.1963954375452971	preliminary_shared_signal_axis	0.5275590551181102	moderately_stable_axis_call
ribosome biogenesis / nucleolar	137	0.0887045228656395	0.0024984293934236	0.175697680011688	0.0741474112028329	0.000729392206743	0.1578303764483779	preliminary_shared_signal_axis	0.5255474452554745	moderately_stable_axis_call
ER stress / UPR	133	0.0257182133208219	0.0127397945755661	0.0440615649643023	0.0144988084867351	0.0077497256543345	0.0240512810351236	preliminary_mixed_or_low_signal_axis	1.0	stable_axis_call
JAK-STAT signaling	130	0.0170930887700935	0.0085350448674011	0.0310718826348331	0.0138138725586434	0.0074006748778291	0.0241305875944823	preliminary_mixed_or_low_signal_axis	1.0	stable_axis_call
NF-κB / MAPK signaling	126	0.0040751811597616	0.0004808851056228	0.0079310345210808	0.0127831615120673	0.0065798126442534	0.0186685433675851	preliminary_mixed_or_low_signal_axis	1.0	stable_axis_call
NF-κB / copper signaling	126	0.0250846564978131	0.0124889685171088	0.0378592626171542	0.0096751701168294	0.0012031910105726	0.0197570463581505	preliminary_mixed_or_low_signal_axis	1.0	stable_axis_call
RNA processing / spliceosome	131	0.337743728927481	0.2314343044767035	0.4597594699065702	0.1783148425361179	0.0947577464265564	0.2646804436956161	preliminary_shared_signal_axis	1.0	stable_axis_call
RNA processing / transcription	128	0.0099148848341742	0.0021289383676607	0.0198813446937111	0.1677411919881641	0.083160917124183	0.2807613407641842	preliminary_dependency_heavy_axis	1.0	stable_axis_call
TGF-beta / BMP signaling	147	0.0130707755796418	0.002729979004288	0.0243315790357231	0.007447181728311	0.0005217214640519	0.0142065109998283	mixed_or_low_signal_axis	1.0	stable_axis_call
cell cycle / replication	131	0.0230068202311546	0.0093082753826376	0.0426589607930441	0.0156698499503412	0.0085029580895883	0.0266085641759174	preliminary_mixed_or_low_signal_axis	1.0	stable_axis_call
cytoskeleton / cell motility	135	0.0270521709569127	0.0134557863017158	0.0453128747048112	0.0065933849213692	9.650386256919418e-05	0.0145164648855217	preliminary_mixed_or_low_signal_axis	1.0	stable_axis_call
growth / proliferation	133	0.0040019749602703	0.0005999092771172	0.0082783808162027	0.0071960735422209	0.0017758440202973	0.0136930460377822	preliminary_mixed_or_low_signal_axis	1.0	stable_axis_call
growth factor / proliferation	127	0.0191824616328592	0.0036120900799641	0.0397117382638859	0.0127732076808689	0.0068662818556382	0.021699803731645	preliminary_mixed_or_low_signal_axis	1.0	stable_axis_call
metabolism / transcription	127	0.0235984987645911	0.0116617160197356	0.0362966022487791	0.0137663044175143	0.0071634627467122	0.0222238140916421	preliminary_mixed_or_low_signal_axis	1.0	stable_axis_call
nuclear receptor / co-activator	133	0.0305240416488002	0.0145247926811551	0.0524179866133866	0.0110226953249427	0.0053762753735904	0.0183798926827366	preliminary_mixed_or_low_signal_axis	1.0	stable_axis_call
nuclear receptor / metabolism	149	0.015423417613045	0.0048901515475552	0.0244358803457856	0.0090631569028696	0.0028313234830302	0.0175508935993427	mixed_or_low_signal_axis	1.0	stable_axis_call
oxidative stress / antioxidant	130	0.0100624208888525	0.0041826063131036	0.0187658776857755	0.0017811002026119	0.0003296323418202	0.0037212171604143	preliminary_mixed_or_low_signal_axis	1.0	stable_axis_call
oxidative stress / mitochondrial	128	0.0065823249455541	0.0009317434191362	0.0125049862197601	0.0088515010802539	0.0018517643546273	0.0171619765288963	preliminary_mixed_or_low_signal_axis	1.0	stable_axis_call
peroxisome / metabolism	133	0.0244161903617133	0.0126986963834352	0.0381623694130374	0.0145281769126691	0.007346733871585	0.0241351469858204	preliminary_mixed_or_low_signal_axis	1.0	stable_axis_call
signaling / oncogene	123	0.0086396637564412	0.0014872591426851	0.0155718252942576	0.0111151672064266	0.0061521693082921	0.018600094603035	preliminary_mixed_or_low_signal_axis	1.0	stable_axis_call
synaptic / signaling	129	0.0211283757919922	0.0107588993766298	0.0364451338110462	0.0125215638339283	0.0061973270296348	0.01942651888156	preliminary_mixed_or_low_signal_axis	1.0	stable_axis_call
transcription regulation	150	0.0278887626613017	0.0050050181871597	0.0563570295273862	0.0306582625867716	0.0059721654243593	0.0633665475574978	mixed_or_low_signal_axis	0.9933333333333332	stable_axis_call
transcription / chromatin	150	0.107909326978854	0.0511441893428736	0.1826168710136366	0.0071687887661913	0.0004175817831841	0.0162113392013242	transcriptomic_heavy_axis	0.9733333333333334	stable_axis_call
mTOR / lysosome / signaling	130	0.0819524460745063	0.0318659153021376	0.1630367770253985	0.0048330743293632	0.0011949611444957	0.0090843430650639	preliminary_transcriptomic_heavy_axis	0.8769230769230769	stable_axis_call
chromatin remodeling	149	0.0666781447528545	0.0107278732347667	0.1495344189664291	0.090374460077951	0.0035440425796464	0.1893006862153463	shared_backbone_axis	0.4496644295302013	unstable_axis_call
