timepoint	role	dataset_label	n_formal_bridgeable_targets	target_genes	n_cells_with_single_feature	n_control_cells	qc_guide_rows	qc_sg_guides	qc_intergenic_guides	truth_metric	depmap_endpoint	aligned_spearman	mean_truth_metric	median_truth_metric	panel	object_type	object_id	observed_pattern	evidence_tier	claim_boundary	panel_question	primary_truth_metric	primary_depmap_endpoint	rank_bridge_call	mean_shift_call	interpretation_boundary
7d	temporal_sensitivity_early_bridge_probe	dixit_2016_k562_tf_7d_gse90063	10.0	CREB1/E2F4/EGR1/ELF1/ELK1/ETS1/GABPA/IRF1/NR2C2/YY1	28034.0	5381.0	30.0	26.0	4.0	real_shift_L2	depmap_gene_dependency	0.8060606060606059	0.9720892794674388	0.8735270168636752	a											
7d	temporal_sensitivity_early_bridge_probe	dixit_2016_k562_tf_7d_gse90063	10.0	CREB1/E2F4/EGR1/ELF1/ELK1/ETS1/GABPA/IRF1/NR2C2/YY1	28034.0	5381.0	30.0	26.0	4.0	real_shift_L2	depmap_gene_effect	0.8060606060606059	0.9720892794674388	0.8735270168636752	a											
7d	temporal_sensitivity_early_bridge_probe	dixit_2016_k562_tf_7d_gse90063	10.0	CREB1/E2F4/EGR1/ELF1/ELK1/ETS1/GABPA/IRF1/NR2C2/YY1	28034.0	5381.0	30.0	26.0	4.0	real_shift_mean_abs	depmap_gene_dependency	0.7333333333333332	0.0030991873866114	0.0029023397479872	a											
7d	temporal_sensitivity_early_bridge_probe	dixit_2016_k562_tf_7d_gse90063	10.0	CREB1/E2F4/EGR1/ELF1/ELK1/ETS1/GABPA/IRF1/NR2C2/YY1	28034.0	5381.0	30.0	26.0	4.0	real_shift_mean_abs	depmap_gene_effect	0.7333333333333332	0.0030991873866114	0.0029023397479872	a											
13d	primary_formal_supplementary_bridge_test	dixit_2016_k562_tf_13d_gse90063	10.0	CREB1/E2F4/EGR1/ELF1/ELK1/ETS1/GABPA/IRF1/NR2C2/YY1	15849.0	3491.0	30.0	26.0	4.0	real_shift_L2	depmap_gene_dependency	0.5030303030303029	1.2552720100079928	1.2684663756470982	b											
13d	primary_formal_supplementary_bridge_test	dixit_2016_k562_tf_13d_gse90063	10.0	CREB1/E2F4/EGR1/ELF1/ELK1/ETS1/GABPA/IRF1/NR2C2/YY1	15849.0	3491.0	30.0	26.0	4.0	real_shift_L2	depmap_gene_effect	0.5030303030303029	1.2552720100079928	1.2684663756470982	b											
13d	primary_formal_supplementary_bridge_test	dixit_2016_k562_tf_13d_gse90063	10.0	CREB1/E2F4/EGR1/ELF1/ELK1/ETS1/GABPA/IRF1/NR2C2/YY1	15849.0	3491.0	30.0	26.0	4.0	real_shift_mean_abs	depmap_gene_dependency	0.5151515151515151	0.004382685449453	0.0044183505802962	b											
13d	primary_formal_supplementary_bridge_test	dixit_2016_k562_tf_13d_gse90063	10.0	CREB1/E2F4/EGR1/ELF1/ELK1/ETS1/GABPA/IRF1/NR2C2/YY1	15849.0	3491.0	30.0	26.0	4.0	real_shift_mean_abs	depmap_gene_effect	0.5151515151515151	0.004382685449453	0.0044183505802962	b											
7d	temporal_sensitivity_early_bridge_probe	dixit_2016_k562_tf_7d_gse90063	10.0	CREB1/E2F4/EGR1/ELF1/ELK1/ETS1/GABPA/IRF1/NR2C2/YY1	28034.0	5381.0	30.0	26.0	4.0	real_shift_mean_abs	depmap_gene_dependency	0.7333333333333332	0.0030991873866114	0.0029023397479872	c											
13d	primary_formal_supplementary_bridge_test	dixit_2016_k562_tf_13d_gse90063	10.0	CREB1/E2F4/EGR1/ELF1/ELK1/ETS1/GABPA/IRF1/NR2C2/YY1	15849.0	3491.0	30.0	26.0	4.0	real_shift_mean_abs	depmap_gene_dependency	0.5151515151515151	0.004382685449453	0.0044183505802962	c											
