timepoint	role	summary_kind	truth_metric	depmap_endpoint	platform_pair	n_shared_targets	spearman	interpretation	panel	object	level	structural_stability	cutoff_stability	bootstrap_status	covariate_status	evidence_tier	allowed_wording	disallowed_wording	metric	value
HCC38	primary	endpoint_consistency		depmap_gene_dependency	CRISPR_DepMap_vs_DEMETER2_RNAi	47.0	0.1411927958729406	CRISPR DepMap 是 matched primary endpoint；DEMETER2 RNAi 是 cross-platform sensitivity endpoint。	a											
HCC38	primary	truth_endpoint_bridge	real_shift_mean_abs	depmap_gene_dependency	crispr	47.0	0.7257957275155708	RNAi 不替代 CRISPR 主线，也不提供等价 primary evidence。	a											
HCC38	primary	truth_endpoint_bridge	real_shift_mean_abs	depmap_gene_dependency	rnai	48.0	0.2763786365610073	RNAi 不替代 CRISPR 主线，也不提供等价 primary evidence。	a											
HCC38	primary	truth_endpoint_bridge	real_shift_L2	depmap_gene_dependency	crispr	47.0	0.7019745023314382	RNAi 不替代 CRISPR 主线，也不提供等价 primary evidence。	a											
HCC38	primary	truth_endpoint_bridge	real_shift_L2	depmap_gene_dependency	rnai	48.0	0.2627008250108554	RNAi 不替代 CRISPR 主线，也不提供等价 primary evidence。	a											
HCC38	primary	endpoint_consistency		depmap_gene_effect	CRISPR_DepMap_vs_DEMETER2_RNAi	47.0	0.1409574468085106	CRISPR DepMap 是 matched primary endpoint；DEMETER2 RNAi 是 cross-platform sensitivity endpoint。	a											
HCC38	primary	truth_endpoint_bridge	real_shift_mean_abs	depmap_gene_effect	crispr	47.0	0.7253700277520815	RNAi 不替代 CRISPR 主线，也不提供等价 primary evidence。	a											
HCC38	primary	truth_endpoint_bridge	real_shift_mean_abs	depmap_gene_effect	rnai	48.0	0.2763786365610073	RNAi 不替代 CRISPR 主线，也不提供等价 primary evidence。	a											
HCC38	primary	truth_endpoint_bridge	real_shift_L2	depmap_gene_effect	crispr	47.0	0.7017807585568918	RNAi 不替代 CRISPR 主线，也不提供等价 primary evidence。	a											
HCC38	primary	truth_endpoint_bridge	real_shift_L2	depmap_gene_effect	rnai	48.0	0.2627008250108554	RNAi 不替代 CRISPR 主线，也不提供等价 primary evidence。	a											
HCC1143	primary	endpoint_consistency		depmap_gene_dependency	CRISPR_DepMap_vs_DEMETER2_RNAi	47.0	0.2307558942118978	CRISPR DepMap 是 matched primary endpoint；DEMETER2 RNAi 是 cross-platform sensitivity endpoint。	a											
HCC1143	primary	truth_endpoint_bridge	real_shift_mean_abs	depmap_gene_dependency	crispr	48.0	0.7792497165337711	RNAi 不替代 CRISPR 主线，也不提供等价 primary evidence。	a											
HCC1143	primary	truth_endpoint_bridge	real_shift_mean_abs	depmap_gene_dependency	rnai	48.0	0.3844984802431611	RNAi 不替代 CRISPR 主线，也不提供等价 primary evidence。	a											
HCC1143	primary	truth_endpoint_bridge	real_shift_L2	depmap_gene_dependency	crispr	48.0	0.7612248502417618	RNAi 不替代 CRISPR 主线，也不提供等价 primary evidence。	a											
HCC1143	primary	truth_endpoint_bridge	real_shift_L2	depmap_gene_dependency	rnai	48.0	0.3971993052540165	RNAi 不替代 CRISPR 主线，也不提供等价 primary evidence。	a											
HCC1143	primary	endpoint_consistency		depmap_gene_effect	CRISPR_DepMap_vs_DEMETER2_RNAi	47.0	0.2246762257169288	CRISPR DepMap 是 matched primary endpoint；DEMETER2 RNAi 是 cross-platform sensitivity endpoint。	a											
