model_id	object_role	cell_line	endpoint_category	n_targets	predicted_shift_mean_abs_median	response_aligned_magnitude_median
cellot_hcc_formal_v1	entrant	HCC1143	endpoint_anchor	13	0.8126082635940389	1.155124876595023
cellot_hcc_formal_v1	entrant	HCC1143	dependency_excess	2	1.2381245993632586	0.701796889967143
cellot_hcc_formal_v1	entrant	HCC1143	low_information	11	0.7654055479834688	1.5696421751077725
cellot_hcc_formal_v1	entrant	HCC1143	middle	19	0.5706548684454978	0.7606535334714865
cellot_hcc_formal_v1	entrant	HCC1143	shift_excess	2	1.3053586112057909	1.6198526923119343
cellot_hcc_formal_v1	entrant	HCC38	endpoint_anchor	11	0.9277019608528057	1.3263454422206298
cellot_hcc_formal_v1	entrant	HCC38	dependency_excess	5	0.7650971292181218	1.103777665444598
cellot_hcc_formal_v1	entrant	HCC38	low_information	11	0.679724947886264	0.8197913380789421
cellot_hcc_formal_v1	entrant	HCC38	middle	15	0.7193596218811705	1.174686673814206
cellot_hcc_formal_v1	entrant	HCC38	shift_excess	5	0.8755091235358664	1.5397632383953388
cellot_hcc_sens_iter100_seed1	entrant	HCC1143	endpoint_anchor	13	17.527745510669465	20.131332232973726
cellot_hcc_sens_iter100_seed1	entrant	HCC1143	dependency_excess	2	18.225863324834947	20.76947115202045
cellot_hcc_sens_iter100_seed1	entrant	HCC1143	low_information	11	18.004132027321674	10.084016969100055
cellot_hcc_sens_iter100_seed1	entrant	HCC1143	middle	19	18.17986403120325	15.869219001295475
cellot_hcc_sens_iter100_seed1	entrant	HCC1143	shift_excess	2	16.188441641787264	16.59803879597257
cellot_hcc_sens_iter100_seed1	entrant	HCC38	endpoint_anchor	11	18.53352325520617	14.81504025180725
cellot_hcc_sens_iter100_seed1	entrant	HCC38	dependency_excess	5	16.334048656707115	26.850757043031084
cellot_hcc_sens_iter100_seed1	entrant	HCC38	low_information	11	18.522860973439318	12.688361432709627
cellot_hcc_sens_iter100_seed1	entrant	HCC38	middle	15	17.80606710149887	15.290290795989504
cellot_hcc_sens_iter100_seed1	entrant	HCC38	shift_excess	5	18.80055912504805	13.380113158106411
cellot_hcc_sens_iter200_seed2	entrant	HCC1143	endpoint_anchor	13	17.86740745382106	18.408499447790096
cellot_hcc_sens_iter200_seed2	entrant	HCC1143	dependency_excess	2	17.285270853245514	20.899286677915107
cellot_hcc_sens_iter200_seed2	entrant	HCC1143	low_information	11	17.870036246928763	9.56964227093795
cellot_hcc_sens_iter200_seed2	entrant	HCC1143	middle	19	17.983757039333913	15.130779589668276
cellot_hcc_sens_iter200_seed2	entrant	HCC1143	shift_excess	2	17.416124506199615	19.190003910246837
cellot_hcc_sens_iter200_seed2	entrant	HCC38	endpoint_anchor	11	18.797515300994224	13.06269911914898
cellot_hcc_sens_iter200_seed2	entrant	HCC38	dependency_excess	5	19.007902388877056	27.33253050928854
cellot_hcc_sens_iter200_seed2	entrant	HCC38	low_information	11	19.245519516315866	12.663556246760574
