model_family	model_id	run_type	cell_line	params_json	metric_value	metric
scGen	scgen_hcc_formal_v1	formal	HCC1143	{}	0.5201202590194265	total-shift endpoint ρ
scGen	scgen_hcc_formal_v1	formal	HCC38	{}	0.4868177613320999	total-shift endpoint ρ
CPA	cpa_v0.8.8	formal	HCC1143	{}	-0.1604995374653099	total-shift endpoint ρ
CPA	cpa_v0.8.8	formal	HCC38	{}	-0.1557585568917668	total-shift endpoint ρ
GEARS	gears_hcc_formal_v1	formal	HCC1143	{}	0.0158418131359852	total-shift endpoint ρ
GEARS	gears_hcc_formal_v1	formal	HCC38	{}	0.2273358001850139	total-shift endpoint ρ
CellOT	cellot_hcc_formal_v1	formal	HCC1143	{}	0.0448658649398704	total-shift endpoint ρ
CellOT	cellot_hcc_formal_v1	formal	HCC38	{}	0.2172756706753006	total-shift endpoint ρ
GEARS	gears_hcc_formal_v1_e20_lr1e-03_wd1e-06	finite_budget_existing	HCC1143	{}	-0.2291859389454209	total-shift endpoint ρ
GEARS	gears_hcc_formal_v1_e20_lr1e-03_wd1e-06	finite_budget_existing	HCC38	{}	0.1195652173913043	total-shift endpoint ρ
GEARS	gears_hcc_formal_v1_e30_lr1e-03_wd1e-05	finite_budget_existing	HCC1143	{}	0.0568917668825161	total-shift endpoint ρ
GEARS	gears_hcc_formal_v1_e30_lr1e-03_wd1e-05	finite_budget_existing	HCC38	{}	0.1274283071230342	total-shift endpoint ρ
GEARS	gears_hcc_formal_v1_e30_lr2e-03_wd1e-06	finite_budget_existing	HCC1143	{}	0.4927150786308972	total-shift endpoint ρ
GEARS	gears_hcc_formal_v1_e30_lr2e-03_wd1e-06	finite_budget_existing	HCC38	{}	0.1376040703052728	total-shift endpoint ρ
GEARS	gears_hcc_formal_v1_e30_lr5e-04_wd1e-06	finite_budget_existing	HCC1143	{}	0.2277983348751156	total-shift endpoint ρ
GEARS	gears_hcc_formal_v1_e30_lr5e-04_wd1e-06	finite_budget_existing	HCC38	{}	0.2511563367252544	total-shift endpoint ρ
GEARS	gears_hcc_formal_v1_e40_lr1e-03_wd1e-06	finite_budget_existing	HCC1143	{}	-0.1666281221091582	total-shift endpoint ρ
GEARS	gears_hcc_formal_v1_e40_lr1e-03_wd1e-06	finite_budget_existing	HCC38	{}	0.0779370952821461	total-shift endpoint ρ
scGen	scgen_hcc_sens_e60_seed1	finite_budget	HCC1143	"{""batch_size"": 128, ""early_stopping_patience"": 10, ""max_epochs"": 60, ""seed"": 1}"	0.551572617946346	total-shift endpoint ρ
scGen	scgen_hcc_sens_e60_seed1	finite_budget	HCC38	"{""batch_size"": 128, ""early_stopping_patience"": 10, ""max_epochs"": 60, ""seed"": 1}"	0.4471554116558742	total-shift endpoint ρ
scGen	scgen_hcc_sens_e100_seed2	finite_budget	HCC1143	"{""batch_size"": 128, ""early_stopping_patience"": 10, ""max_epochs"": 100, ""seed"": 2}"	0.5241674375578168	total-shift endpoint ρ
scGen	scgen_hcc_sens_e100_seed2	finite_budget	HCC38	"{""batch_size"": 128, ""early_stopping_patience"": 10, ""max_epochs"": 100, ""seed"": 2}"	0.4443802035152636	total-shift endpoint ρ
CPA	cpa_hcc_sens_e200_latent64_seed2	finite_budget	HCC1143	"{""batch_size"": 256, ""early_stopping_patience"": 12, ""max_epochs"": 200, ""n_latent"": 64, ""seed"": 2}"	-0.1604995374653099	total-shift endpoint ρ
CPA	cpa_hcc_sens_e200_latent64_seed2	finite_budget	HCC38	"{""batch_size"": 256, ""early_stopping_patience"": 12, ""max_epochs"": 200, ""n_latent"": 64, ""seed"": 2}"	-0.0682238667900092	total-shift endpoint ρ
CPA	cpa_hcc_sens_e200_latent32_seed1	finite_budget	HCC1143	"{""batch_size"": 256, ""early_stopping_patience"": 12, ""max_epochs"": 200, ""n_latent"": 32, ""seed"": 1}"	0.2306891766882516	total-shift endpoint ρ
CPA	cpa_hcc_sens_e200_latent32_seed1	finite_budget	HCC38	"{""batch_size"": 256, ""early_stopping_patience"": 12, ""max_epochs"": 200, ""n_latent"": 32, ""seed"": 1}"	-0.2265263644773358	total-shift endpoint ρ
CellOT	cellot_hcc_sens_iter100_seed1	finite_budget	HCC1143	"{""gene_space"": ""axis"", ""max_control_cells"": 256, ""max_target_cells"": 256, ""max_targets"": 0, ""n_iters"": 100, ""seed"": 1}"	-0.1506706753006475	total-shift endpoint ρ
CellOT	cellot_hcc_sens_iter100_seed1	finite_budget	HCC38	"{""gene_space"": ""axis"", ""max_control_cells"": 256, ""max_target_cells"": 256, ""max_targets"": 0, ""n_iters"": 100, ""seed"": 1}"	0.0456753006475485	total-shift endpoint ρ
CellOT	cellot_hcc_sens_iter200_seed2	finite_budget	HCC1143	"{""gene_space"": ""axis"", ""max_control_cells"": 256, ""max_target_cells"": 256, ""max_targets"": 0, ""n_iters"": 200, ""seed"": 2}"	0.165009250693802	total-shift endpoint ρ
CellOT	cellot_hcc_sens_iter200_seed2	finite_budget	HCC38	"{""gene_space"": ""axis"", ""max_control_cells"": 256, ""max_target_cells"": 256, ""max_targets"": 0, ""n_iters"": 200, ""seed"": 2}"	-0.1355226641998149	total-shift endpoint ρ
CellOT	cellot_hcc_sens_iter500_seed1_full	finite_budget	HCC1143	"{""gene_space"": ""axis"", ""max_control_cells"": 256, ""max_target_cells"": 256, ""max_targets"": 0, ""n_iters"": 500, ""seed"": 1}"	0.285268270120259	total-shift endpoint ρ
CellOT	cellot_hcc_sens_iter500_seed1_full	finite_budget	HCC38	"{""gene_space"": ""axis"", ""max_control_cells"": 256, ""max_target_cells"": 256, ""max_targets"": 0, ""n_iters"": 500, ""seed"": 1}"	0.0500693802035152	total-shift endpoint ρ
scGen	scgen_hcc_formal_v1	formal	HCC1143	{}	0.4420675300647548	response-aligned endpoint ρ
scGen	scgen_hcc_formal_v1	formal	HCC38	{}	0.4449583718778908	response-aligned endpoint ρ
CPA	cpa_v0.8.8	formal	HCC1143	{}	0.0463691026827012	response-aligned endpoint ρ
CPA	cpa_v0.8.8	formal	HCC38	{}	0.3043478260869565	response-aligned endpoint ρ
GEARS	gears_hcc_formal_v1	formal	HCC1143	{}	0.1628122109158187	response-aligned endpoint ρ
GEARS	gears_hcc_formal_v1	formal	HCC38	{}	0.3751156336725254	response-aligned endpoint ρ
CellOT	cellot_hcc_formal_v1	formal	HCC1143	{}	0.1387604070305272	response-aligned endpoint ρ
CellOT	cellot_hcc_formal_v1	formal	HCC38	{}	0.1958834412580943	response-aligned endpoint ρ
GEARS	gears_hcc_formal_v1_e20_lr1e-03_wd1e-06	finite_budget_existing	HCC1143	{}	-0.1512488436632747	response-aligned endpoint ρ
GEARS	gears_hcc_formal_v1_e20_lr1e-03_wd1e-06	finite_budget_existing	HCC38	{}	0.054232192414431	response-aligned endpoint ρ
GEARS	gears_hcc_formal_v1_e30_lr1e-03_wd1e-05	finite_budget_existing	HCC1143	{}	0.220282146160962	response-aligned endpoint ρ
GEARS	gears_hcc_formal_v1_e30_lr1e-03_wd1e-05	finite_budget_existing	HCC38	{}	0.206059204440333	response-aligned endpoint ρ
GEARS	gears_hcc_formal_v1_e30_lr2e-03_wd1e-06	finite_budget_existing	HCC1143	{}	0.3524514338575393	response-aligned endpoint ρ
GEARS	gears_hcc_formal_v1_e30_lr2e-03_wd1e-06	finite_budget_existing	HCC38	{}	-0.1104301572617946	response-aligned endpoint ρ
GEARS	gears_hcc_formal_v1_e30_lr5e-04_wd1e-06	finite_budget_existing	HCC1143	{}	0.3376503237742831	response-aligned endpoint ρ
GEARS	gears_hcc_formal_v1_e30_lr5e-04_wd1e-06	finite_budget_existing	HCC38	{}	0.0809435707678075	response-aligned endpoint ρ
GEARS	gears_hcc_formal_v1_e40_lr1e-03_wd1e-06	finite_budget_existing	HCC1143	{}	0.1552960222016651	response-aligned endpoint ρ
GEARS	gears_hcc_formal_v1_e40_lr1e-03_wd1e-06	finite_budget_existing	HCC38	{}	0.3770814061054579	response-aligned endpoint ρ
scGen	scgen_hcc_sens_e60_seed1	finite_budget	HCC1143	"{""batch_size"": 128, ""early_stopping_patience"": 10, ""max_epochs"": 60, ""seed"": 1}"	0.4592969472710453	response-aligned endpoint ρ
scGen	scgen_hcc_sens_e60_seed1	finite_budget	HCC38	"{""batch_size"": 128, ""early_stopping_patience"": 10, ""max_epochs"": 60, ""seed"": 1}"	0.448427382053654	response-aligned endpoint ρ
scGen	scgen_hcc_sens_e100_seed2	finite_budget	HCC1143	"{""batch_size"": 128, ""early_stopping_patience"": 10, ""max_epochs"": 100, ""seed"": 2}"	0.450277520814061	response-aligned endpoint ρ
scGen	scgen_hcc_sens_e100_seed2	finite_budget	HCC38	"{""batch_size"": 128, ""early_stopping_patience"": 10, ""max_epochs"": 100, ""seed"": 2}"	0.4335106382978724	response-aligned endpoint ρ
CPA	cpa_hcc_sens_e200_latent64_seed2	finite_budget	HCC1143	"{""batch_size"": 256, ""early_stopping_patience"": 12, ""max_epochs"": 200, ""n_latent"": 64, ""seed"": 2}"	0.0463691026827012	response-aligned endpoint ρ
CPA	cpa_hcc_sens_e200_latent64_seed2	finite_budget	HCC38	"{""batch_size"": 256, ""early_stopping_patience"": 12, ""max_epochs"": 200, ""n_latent"": 64, ""seed"": 2}"	-0.0568917668825161	response-aligned endpoint ρ
CPA	cpa_hcc_sens_e200_latent32_seed1	finite_budget	HCC1143	"{""batch_size"": 256, ""early_stopping_patience"": 12, ""max_epochs"": 200, ""n_latent"": 32, ""seed"": 1}"	0.2168131359851988	response-aligned endpoint ρ
CPA	cpa_hcc_sens_e200_latent32_seed1	finite_budget	HCC38	"{""batch_size"": 256, ""early_stopping_patience"": 12, ""max_epochs"": 200, ""n_latent"": 32, ""seed"": 1}"	0.4906336725254394	response-aligned endpoint ρ
