pathway	ES	NES	pval	direction	n_genes_in_set	n_genes_after_intersection	padj	log2err	leading_edge	context	target	n_perturbed	n_control	n_genes_ranked	ranking_method	gene_filter	msigdb_collection
HALLMARK_ADIPOGENESIS	-0.444946216545264	-1.1274922352105	0.165598564470649	down	200	189	0.511802173098539	0.0549208699749138	SDHB;CD151;MGLL;MGST3;ETFB;GADD45A;RAB34;REEP5;ECHS1;UQCR10;MTCH2;ARL4A;TST;RIOK3;DDT;PIM3;CYC1;CMPK1;ECH1;COX7B;SCP2;ESRRA;PGM1;RETSAT;BCKDHA;MYLK;UCP2;GBE1;AK2;PLIN2;DHCR7;COQ5;ACOX1;TOB1;STOM;SORBS1;LPCAT3;DGAT1;UQCRC1;JAGN1;ABCB8;G3BP2;SNCG;SDHC;PFKL;IDH3A;NKIRAS1;ATP1B3;YWHAG;BCL6;NDUFA5;PRDX3;COL4A1;MRPL15;CDKN2C;ARAF	HCC1143	ARID1A	195	1325	36601	mean_log_expr_perturbed_minus_control	False	H
HALLMARK_ALLOGRAFT_REJECTION	-0.412562780597912	-1.0516468095183	0.300230355771692	down	200	199	0.568159020326932	0.039585706789632	EIF5A;TGFB2;FLNA;CAPG;RIPK2;HIF1A;EIF4G3;IRF7;CD47;IL11;UBE2D1;DARS;TAP2;B2M;IL18;GALNT1;TPD52;BCL3;DEGS1;IL15;INHBB;EIF3A;UBE2N;LCK;BCL10;GLMN;CSF1;EIF3J;RPS19	HCC1143	ARID1A	195	1325	36601	mean_log_expr_perturbed_minus_control	False	H
HALLMARK_ANDROGEN_RESPONSE	-0.410755339089197	-0.963020238557512	0.512851600387973	down	101	97	0.674804737352596	0.0278604558742744	TMEM50A;TSC22D1;KRT19;ARID5B;SMS;GNAI3;NCOA4;BMPR1B;UBE2J1;B2M;NDRG1;SGK1;VAPA;ELL2;TNFAIP8;TPD52;UAP1;ACTN1;LMAN1;SPCS3;ZBTB10;SLC38A2;CDK6;STK39;UBE2I;ABHD2;MYL12A;SRP19;SEC24D;DHCR24;PGM3;ACSL3;ELK4;GSR;HERC3;ZMIZ1;SAT1;XRCC6	HCC1143	ARID1A	195	1325	36601	mean_log_expr_perturbed_minus_control	False	H
HALLMARK_ANGIOGENESIS	-0.533770538636516	-1.07642271594533	0.329532231789621	down	36	36	0.568159020326932	0.0355286646087992	S100A4;JAG1;STC1;FGFR1;VCAN;FSTL1	HCC1143	ARID1A	195	1325	36601	mean_log_expr_perturbed_minus_control	False	H
HALLMARK_APICAL_JUNCTION	-0.410437865625659	-1.04407428358605	0.321128909229596	down	200	194	0.568159020326932	0.0379536890969766	MSN;ACTG1;EPB41L2;CAP1;TGFBI;LAMC2;RAC2;PARVA;ARPC2;MYH9;VASP;FSCN1;SIRPA;SLIT2;ACTN4;PFN1;AKT3;LAMB3;TSPAN4;ZYX;MDK;CDH3;BMP1;ACTN1;ADAM15;MMP2;MYL12B;JUP;GTF2F1;CNTN1;MPP5;GNAI1;MAPK13;VCAN;CD276;COL16A1;STX4;IRS1	HCC1143	ARID1A	195	1325	36601	mean_log_expr_perturbed_minus_control	False	H
HALLMARK_APICAL_SURFACE	0.456810542539243	0.920138165940029	0.594078486334969	up	44	43	0.707236293255915	0.02014338877967	AFAP1L2;NCOA6;ADAM10;SULF2;ADIPOR2;GATA3;PLAUR;FLOT2;GSTM3;MDGA1	HCC1143	ARID1A	195	1325	36601	mean_log_expr_perturbed_minus_control	False	H
HALLMARK_APOPTOSIS	-0.404984871304694	-1.00926765839039	0.413561847988078	down	161	158	0.608179188217761	0.0322849878496221	IER3;TNFRSF12A;JUN;ANXA1;SOD2;TGFB2;GADD45A;PMAIP1;MCL1;KRT18;HSPB1;ATF3;IL18;EBP;PEA15;HMGB2;CD44;CAV1;BMP2;ISG20;HMOX1;TOP2A;DPYD;DFFA;MMP2;RETSAT;NEDD9;SQSTM1;BCL10;ERBB3;CASP4;VDAC2;CASP3;CFLAR;ENO2;RELA;CDC25B;CASP7;FAS;GNA15;IGF2R;GSR;GCH1;PSEN1;RARA;SLC20A1;TIMP2	HCC1143	ARID1A	195	1325	36601	mean_log_expr_perturbed_minus_control	False	H
HALLMARK_BILE_ACID_METABOLISM	0.41793182632115	0.972697212000547	0.507152588555858	up	112	112	0.674804737352596	0.0221563964846981	PHYH;IDI1;FDXR;IDH2;SLC23A2;SOD1;PRDX5;ISOC1;BCAR3;NUDT12;PEX7;SLC35B2;FADS1;PEX16;LONP2;PEX26;SULT2B1;PEX13;GNPAT;NEDD4;FADS2;HSD17B6;PEX6;HSD17B11;IDH1	HCC1143	ARID1A	195	1325	36601	mean_log_expr_perturbed_minus_control	False	H
HALLMARK_CHOLESTEROL_HOMEOSTASIS	-0.474456385993699	-1.07013492188039	0.306171074577079	down	74	72	0.568159020326932	0.0375798658794348	FABP5;ACTG1;ANXA5;ALCAM;TNFRSF12A;CD9;LGMN;JAG1;TRIB3;ATF3;MAL2;EBP;ETHE1;ECH1;ERRFI1;GNAI1;DHCR7	HCC1143	ARID1A	195	1325	36601	mean_log_expr_perturbed_minus_control	False	H
HALLMARK_COAGULATION	-0.568361551010565	-1.39095903740963	0.016385424309122	down	138	136	0.136545202576017	0.17632375173773	S100A13;CTSB;F3;ANXA1;GNG12;S100A1;CRIP2;CD9;CAPN2;WDR1;ISCU;LGMN;SERPINE1;TFPI2;FYN;THBS1;DUSP14;RABIF;BMP1;PEF1;MAFF;CSRP1;PRSS23;MMP2;LAMP2;PREP;SIRT2;GNB2;KLF7;ARF4;FURIN;MMP14	HCC1143	ARID1A	195	1325	36601	mean_log_expr_perturbed_minus_control	False	H
