context	target	n_genes_total	n_genes_after_filter	gene_filter_applied	max_rank	min_rank
HCC1143	ARID1A	36601	36601	False	0.2484705524050249	-0.35859953384194043
HCC1143	BMPR1A	36601	36601	False	0.27845539748715586	-0.5532835181529279
HCC1143	CDKN2A	36601	36601	False	0.13778511959885265	-0.21505927307431705
HCC1143	COMMD6	36601	36601	False	0.1380890890045201	-0.373584261623079
HCC1143	ENY2	36601	36601	False	0.3229407099412882	-0.6006009493019757
HCC1143	ERC1	36601	36601	False	0.21134469053476357	-0.2115412923201374
HCC1143	ETV3	36601	36601	False	0.20673481763445667	-0.2134560024528832
HCC1143	GON4L	36601	36601	False	0.33835721562640986	-0.28147333686886356
HCC1143	HDGF	36601	36601	False	0.08109418240200794	-0.41032575420264583
HCC1143	HLX	36601	36601	False	0.11822550930853226	-0.20232951765537033
HCC1143	KLF3	36601	36601	False	0.2811801424572531	-0.21595923176065446
HCC1143	LAMTOR5	36601	36601	False	0.42697051453685964	-0.6709071456408309
HCC1143	MAML3	36601	36601	False	0.12387233222960603	-0.10398057816816064
HCC1143	MIER1	36601	36601	False	0.19333357285264618	-0.22313219156701747
HCC1143	MTDH	36601	36601	False	0.21200838085273332	-0.7075259143458705
HCC1143	MYBL1	36601	36601	False	0.543608786449462	-0.5549277560526309
HCC1143	NCOA1	36601	36601	False	0.11680218154018052	-0.13648870844555772
HCC1143	NPM1	36601	36601	False	0.2797564115089114	-1.5902060672223415
HCC1143	PA2G4	36601	36601	False	0.2491442233567669	-0.9846714646119803
HCC1143	PARK7	36601	36601	False	0.16341988715956868	-1.0424223177118046
HCC1143	PCBD1	36601	36601	False	0.13101789926821183	-0.29532825108125255
HCC1143	PEX14	36601	36601	False	0.1380706259513209	-0.17448975608551587
HCC1143	PFDN5	36601	36601	False	0.5491053252148791	-0.9165730188316621
HCC1143	PMF1	36601	36601	False	0.3368447859362157	-0.459081836143735
HCC1143	PRDX2	36601	36601	False	0.13089933695758993	-0.5904332727622615
HCC1143	PRPF6	36601	36601	False	0.314400115384996	-0.6970783520478556
HCC1143	RORC	36601	36601	False	0.1241875128893346	-0.1663434819597771
HCC1143	RPS3	36601	36601	False	0.19647289040858884	-1.067032532255403
HCC1143	RUVBL2	36601	36601	False	0.3424158835879607	-0.45296245460902096
HCC1143	SMAD1	36601	36601	False	0.12135883970934513	-0.14684680501448422
HCC1143	STAT3	36601	36601	False	0.14938094929093626	-0.23640926648506255
HCC1143	TAB3	36601	36601	False	0.15353944872990377	-0.21880983503248308
HCC1143	TADA3	36601	36601	False	0.8059445429309937	-0.5245241711721325
HCC1143	THAP8	36601	36601	False	0.22212731793086515	-0.3093260444068804
HCC1143	THRA	36601	36601	False	0.25589301759736705	-0.3399843574026351
HCC1143	TMF1	36601	36601	False	0.15848081361711808	-0.2840373299154215
HCC1143	TMSB4X	36601	36601	False	0.15660148436422539	-0.9536108832104642
HCC1143	UBP1	36601	36601	False	0.10644346411977601	-0.1771909792405686
HCC1143	VEZF1	36601	36601	False	0.31700625160494056	-0.2786167328796043
HCC1143	XBP1	36601	36601	False	0.11992540326491241	-0.2800646973754876
HCC1143	YBX1	36601	36601	False	0.3446733027633062	-1.4429992807926273
HCC1143	ZBTB17	36601	36601	False	0.3860205991487684	-0.5598878785446832
HCC1143	ZBTB20	36601	36601	False	0.12434452858425349	-0.18128576513454875
HCC1143	ZBTB5	36601	36601	False	0.1985946088434567	-0.12479815490256485
HCC1143	ZNF131	36601	36601	False	0.2594650184286078	-0.38274220872174114
HCC1143	ZNF24	36601	36601	False	0.11284935667076912	-0.14490278604658324
HCC1143	ZNF566	36601	36601	False	0.10095050543254724	-0.19922282397652546
